CycID	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
0610005C13Rik	1	default	1	24	28.6802899444729	9.28740873940361	55.987825	0.896292248263078	0.85480914756831	0.386937026723368	0.00346360253169586	0.0232131664334744
0610007C21Rik	0	default	1	24	5.08870336393992	6.97308353520343	63.443675	0.47340631151447	0.262768836120258	0.092432514990524	0.201228330403838	0.323285542139812
0610007L01Rik	0	default	1	24	0.729839592656932	7.45771826403341	8.64981	0.774666190342412	0.684532666479377	0.0749365492568839	0.0241027112608938	0.0709389387730481
0610007N19Rik	0	burg	1	22.5962264150943	1.6901820331784	9.73403868202469	7.4737025	0.761869557514627	0.666617380520478	0.186890277961823	0.0276717928176178	0.0777801700897649
0610007P08Rik	1	burg	1	27.8511627906977	0.020674980180051	18.5530972233866	1.0731125	0.0693368621335447	-0.302928393013037	0.0551436570198155	0.835567003338008	1
0610007P14Rik	1	default	1	24	22.415551161822	17.0136580721787	121.458825	0.77844875995484	0.689828263936777	0.160493723021472	0.0231039088717042	0.0689816004572654
0610007P22Rik	0	default	1	24	0.50937361546375	4.42280376820328	6.277785	0.320891460587196	0.0492480448220742	0.11406933221124	0.380056337433569	0.551291224935178
0610008F07Rik	0	burg	1	22.8549618320611	0.901287877656872	2.23582950372078	4.2130925	0.38938209419801	0.145134931877214	0.246340053124363	0.291355914447154	0.439318942039418
0610009B14Rik	0	burg	1	23.1196911196911	0.0291387108908305	10.0762253390041	0.0508312	0.296095713974706	0.0145339995645891	0.769251884606214	0.415703828273598	0.595584088643561
0610009B22Rik	0	mle	1	24.0481927710843	2.62276226968868	23.1678188678312	15.85755	0.77018102688871	0.678253437644194	0.134605306770769	0.0253200581910882	0.073306846757845
0610009D07Rik	0	default	1	24	4.62320314149736	6.07635106587095	54.0616	0.602175458422231	0.443045641791124	0.088763842223944	0.0998226115171128	0.184007401879762
0610009L18Rik	1	mle	1	23.8565737051793	0.680917695539818	21.9126648640606	2.3038225	0.960654387385345	0.944916142339483	0.215252164371402	0.000307072397112584	0.00489611046883485
0610009O20Rik	1	default	1	24	0.209782183520071	5.63795758382676	6.24322	0.813279415442329	0.738591181619261	0.0292991987711306	0.015065394059441	0.0546722104487144
0610010B08Rik	0	burg	1	22.8549618320611	0.0399460291966258	21.1694881941734	0.30261925	0.396510762964414	0.15511506815018	0.15151174219057	0.282926627394598	0.428497534705764
0610010F05Rik	0	mle	1	24.2429149797571	0.183616069172194	10.1940668144057	1.313535	0.664791526451296	0.530708137031814	0.12358213790633	0.0650560170778539	0.138873654735203
0610010K14Rik	0	default	1	24	1.07582499249047	5.21451661426729	21.1297	0.7948311686986	0.71276363617804	0.0454776616345043	0.019066828554817	0.0611289460681791
0610010O12Rik	1	default	1	24	43.6817096188121	21.2314207760368	435.3935	0.951508480273097	0.932111872382336	0.0750022216607711	0.000517802911261134	0.00673694022632425
0610011F06Rik	1	default	1	24	7.61921830637267	8.2604596537795	53.414425	0.87540513884673	0.825567194385422	0.115477587811422	0.00547961853648915	0.0307396664276483
0610011L14Rik	0	burg	1	23.1196911196911	0.723508006420554	5.98924893464798	7.13806	0.592717914150656	0.429805079810918	0.0928566507369553	0.10586155536831	0.192485333948178
0610012G03Rik	0	burg	1	27.4678899082569	1.05438403105971	6.10212128696017	24.81225	0.444887249607236	0.22284214945013	0.0477129442179994	0.229590020542028	0.361308768996293
0610012H03Rik	0	burg	1	22.7680608365019	0.0557649273245038	7.30562191201461	0.246679	0.586459005809922	0.421042608133891	0.205904981948368	0.109975619926166	0.198368833553726
0610030E20Rik	0	default	1	24	1.08623598142725	19.6239684835486	8.6701075	0.824117335600144	0.753764269840202	0.106870488213779	0.0129735129605314	0.0509715980410137
0610031J06Rik	0	burg	1	25.5897435897436	5.03909830057411	8.38369843513333	81.4998	0.334996049274389	0.0689944689841453	0.077131619549904	0.360628930189071	0.526735154328396
0610031O16Rik	NA	NA	NA	NA	0	NA	0	NA	NA	NA	1	1
0610037L13Rik	0	default	1	24	0.375174383183258	8.10087087492286	9.101625	0.731686223943424	0.624360713520794	0.0371928048219728	0.0372912918195241	0.0954143556530564
0610037P05Rik	1	yule-walker	1	21.4623655913978	2.2024814659737	15.4996441869024	27.227375	0.558175377809978	0.381445528933969	0.0749044134411653	0.129755204621963	0.226290975719374
0610038B21Rik	0	default	1	24	0.0306817026452217	19.4037135382146	0.0394526	0.71186803749936	0.596615252499105	0.724425565500577	0.0445634282087841	0.108156393366817
0610038L08Rik	0	default	1	24	0.104274662808735	4.64845064188379	0.4635925	0.680447536761383	0.552626551465936	0.220445809546737	0.057723867885568	0.130232793969738
0610039K10Rik	0	mle	1	23.952	0.0992572963045149	9.84762454729691	0.26978925	0.973179854566145	0.962451796392603	0.266596261994474	0.000117802042712389	0.00268669501923363
0610040B10Rik	0	burg	1	22.5112781954887	0.588658627098199	19.4788493443586	2.0128525	0.562296504755535	0.387215106657749	0.272034054793682	0.126750603732876	0.222188096984809
0610040F04Rik	0	default	1	24	0.143943505253575	15.633651165592	0.231499625	0.765526914632864	0.671737680486009	0.566082274531147	0.0266214983601394	0.0757363233890086
0610040J01Rik	0	mle	1	24.1451612903226	6.51085391530774	9.92471067012002	36.48385	0.96317636005047	0.948446904070658	0.130063101801802	0.000260205689748827	0.00440550579376053
0610043K17Rik	0	burg	1	23.952	0.0373268427872498	16.9235791278391	0.084186325	0.784303725945492	0.698025216323689	0.384230333588699	0.021607603795107	0.0661899491651284
0910001L09Rik	0	mle	1	24.1451612903226	9.75744372745378	10.5600168074735	69.37925	0.777976664458676	0.689167330242147	0.113908562843287	0.0232271838408307	0.0691317781076311
100043387	1	default	1	24	0.276851684970972	22.8175800322704	0.560967	0.962682655282251	0.947755717395152	0.35581485865656	0.000269015210206947	0.00450876181385236
1100001G20Rik	0	burg	1	24.4408163265306	1.68915456367103	0.76960438506228	5.4655875	0.824437515754216	0.754212522055903	0.254428314079725	0.0129145504728483	0.0508429831866424
1110001A16Rik	0	burg	1	25.0543933054393	0.859033885978486	8.92784087393161	8.52615	0.391035769087497	0.147450076722495	0.116909345114325	0.289387294738348	0.437030423104271
1110001J03Rik	0	burg	1	22.7680608365019	2.29428146348559	12.9432490538957	51.08575	0.717342262541939	0.604279167558714	0.0384816811006999	0.0424768395291844	0.104723891042164
1110002B05Rik	0	burg	1	22.5962264150943	9.40201414078011	2.92007879198305	87.13855	0.744943328970698	0.642920660558977	0.0895832830994544	0.0328542621070244	0.0870627248834253
1110002L01Rik	0	mle	1	23.7619047619048	0.299804253132812	20.1010370979436	1.031795	0.890003768399106	0.846005275758749	0.228353831850336	0.00401277230009889	0.0252090526646504
1110002N22Rik	0	mle	1	23.4823529411765	0.430192430586092	13.8280584515087	1.868485	0.91333374056291	0.878667236788075	0.178123579739744	0.00221118526410269	0.0174549974635591
1110003E01Rik	0	default	1	24	2.95718005023195	6.9888911299096	34.6266	0.481620441128195	0.274268617579473	0.0975778020352694	0.193472689738538	0.312846048472942
