CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	0.0869475840210501	0.0208333333333333	24	9	29.5873983345106
0610007C21Rik	0.0869475840210501	0.0208333333333333	24	6	4.59972961161849
0610007L01Rik	1	1	30	21	0.189009642611163
0610007N19Rik	1	0.732142857142857	24	12	1.4384708605017
0610007P08Rik	0.0869475840210501	0.0208333333333333	24	21	0.386216774136624
0610007P14Rik	1	1	30	12	15.3283072491714
0610007P22Rik	1	1	24	0	0.375215606834924
0610008F07Rik	0.0869475840210501	0.0208333333333333	24	6	1.92626140243543
0610009B14Rik	0.0869475840210501	0.0208333333333333	24	3	0.0127290180768687
0610009B22Rik	0.0869475840210501	0.0208333333333333	24	0	5.35820770045824
0610009D07Rik	1	0.732142857142857	24	6	7.00191276866543
0610009L18Rik	1	1	24	18	0.71731033203907
0610009O20Rik	1	1	30	27	1.4324498462599
0610010B08Rik	1	0.732142857142857	24	18	0.0303921565621789
0610010F05Rik	0.538684382434383	0.169642857142857	30	15	0.192138590117915
0610010K14Rik	0.538684382434383	0.169642857142857	30	0	0.385231774390433
0610010O12Rik	1	1	24	6	63.9786680083682
0610011F06Rik	1	0.732142857142857	24	12	4.22948850098921
0610011L14Rik	0.0869475840210501	0.0208333333333333	24	0	0.93983330054457
0610012G03Rik	0.0869475840210501	0.0208333333333333	24	0	4.15959099566893
0610012H03Rik	0.0869475840210501	0.0208333333333333	24	6	0.235795362788372
0610030E20Rik	1	0.732142857142857	24	18	1.09768428284275
0610031J06Rik	1	1	30	3	1.30680404231085
0610031O16Rik	1	1	0	0	0
0610037L13Rik	1	1	30	27	0.838628642487245
0610037P05Rik	0.0869475840210501	0.0208333333333333	24	3	1.49655614704227
0610038B21Rik	1	1	0	0	0
0610038L08Rik	0.0869475840210501	0.0208333333333333	24	3	0.0326396954661804
0610039K10Rik	0.538684382434383	0.169642857142857	24	15	0.101292692851582
0610040B10Rik	0.0869475840210501	0.0208333333333333	24	9	0.372015948650054
0610040F04Rik	0.0869475840210501	0.0208333333333333	24	15	0.188051866476047
0610040J01Rik	1	0.732142857142857	24	12	12.2170020566115
0610043K17Rik	1	1	0	0	0
0910001L09Rik	0.0869475840210501	0.0208333333333333	24	9	5.09081527115255
100043387	1	1	30	27	0.229215734189431
1100001G20Rik	1	1	30	27	0.265418894279401
1110001A16Rik	0.0869475840210501	0.0208333333333333	24	6	0.700541294723231
1110001J03Rik	0.538684382434383	0.169642857142857	30	0	8.70950493455283
1110002B05Rik	1	0.732142857142857	24	0	7.45753702312298
1110002L01Rik	0.0869475840210501	0.0208333333333333	24	21	0.064652540770839
1110002N22Rik	1	0.732142857142857	24	0	0.427180884184324
1110003E01Rik	1	0.732142857142857	24	6	3.65524708398762
1110004E09Rik	1	1	30	27	1.76626788659025
1110004F10Rik	1	0.732142857142857	24	6	1.5304265618611
1110005A03Rik	1	0.732142857142857	24	0	2.36572119587506
1110006O24Rik	1	0.732142857142857	24	18	0.125672674006723
1110007C09Rik	0.0869475840210501	0.0208333333333333	24	12	10.8785903411816
1110008F13Rik	1	0.732142857142857	24	0	0.796980053075359
1110008J03Rik	0.0869475840210501	0.0208333333333333	24	18	0.590582654714816
1110008L16Rik	0.538684382434383	0.169642857142857	30	0	0.867407888481538
1110008P14Rik	1	1	30	27	4.97244559598192
1110012J17Rik	1	0.732142857142857	24	18	0.00429026432883221
1110012L19Rik	1	0.732142857142857	24	0	1.11600541954329
1110014N23Rik	1	1	30	21	1.11998643072137
1110015O18Rik	1	1	0	0	0
1110017D15Rik	1	1	0	0	0
1110017F19Rik	1	1	30	27	5.10877578339469
1110018G07Rik	0.0869475840210501	0.0208333333333333	24	0	1.89497546290183
1110018J18Rik	1	1	30	18	0.585562196568392
1110019D14Rik	1	1	24	18	0.108477251301829
1110020A21Rik	0.0869475840210501	0.0208333333333333	24	6	0.532156896259106
1110020G09Rik	1	0.732142857142857	24	6	0.274891296720176
1110021J02Rik	0.538684382434383	0.169642857142857	30	0	0.791195919605251
1110021L09Rik	0.0869475840210501	0.0208333333333333	24	0	2.95800444239863
1110028C15Rik	1	0.732142857142857	24	6	0.127204974401554
1110028F11Rik	1	1	30	12	0.095747915026908
1110028F18Rik	0.0869475840210501	0.0208333333333333	24	3	0.115767168662471
1110031I02Rik	0.0869475840210501	0.0208333333333333	24	9	1.54719913471085
1110032A03Rik	0.0869475840210501	0.0208333333333333	24	6	2.43181093117866
1110032A04Rik	0.538684382434383	0.169642857142857	30	15	0.251994472038575
1110032F04Rik	1	1	0	0	0
1110034A24Rik	1	0.732142857142857	24	12	0.210360731869092
1110034B05Rik	1	0.732142857142857	24	0	0.923810260882883
1110034G24Rik	0.538684382434383	0.169642857142857	30	0	0.500433611181344
1110035M17Rik	1	1	0	0	0
1110036E04Rik	1	1	0	0	0
1110037F02Rik	1	1	24	0	0.170985490758719
1110038B12Rik	1	1	24	6	8.21177247127562
1110038D17Rik	0.0869475840210501	0.0208333333333333	24	6	17.0350508869214
1110038F14Rik	0.538684382434383	0.169642857142857	30	0	9.49050437437337
1110046J04Rik	0.0869475840210501	0.0208333333333333	24	6	2.2925639282935
1110049F12Rik	0.0869475840210501	0.0208333333333333	24	21	4.24454987542849
1110050K14Rik	0.0869475840210501	0.0208333333333333	24	15	0.974594669907701
1110051M20Rik	1	1	30	12	0.0967894833155958
1110054M08Rik	0.0869475840210501	0.0208333333333333	24	0	1.49167711025208
1110054O05Rik	0.0869475840210501	0.0208333333333333	24	0	0.419190577556915
1110057K04Rik	1	0.732142857142857	24	0	4.34810566353326
1110058L19Rik	1	1	24	6	0.70017713473092
1110059E24Rik	0.0869475840210501	0.0208333333333333	24	0	15.7766129484437
1110059G10Rik	1	0.732142857142857	24	6	0.518440085364259
1110059M19Rik	1	1	0	0	0
1110065P20Rik	1	1	30	27	1.24832631150673
1110067D22Rik	0.0869475840210501	0.0208333333333333	24	15	2.22888542711374
1190002F15Rik	1	1	24	6	0.183561384862122
1190002H23Rik	1	1	30	12	2.37756876999384
1190002N15Rik	1	1	24	12	0.244736728036476
1190003J15Rik	1	1	30	27	5.81397337627203
1190003K10Rik	1	1	0	0	0
1190005F20Rik	1	0.732142857142857	24	6	1.17934804500198
1190005I06Rik	0.538684382434383	0.169642857142857	24	9	0.415091479546377
1190007F08Rik	1	1	30	27	1.09767014070713
1190007I07Rik	0.0869475840210501	0.0208333333333333	24	3	0.759004883391735
1200009I06Rik	0.0869475840210501	0.0208333333333333	24	6	16.071830029589
1200011I18Rik	0.0869475840210501	0.0208333333333333	24	0	0.421007841984565
1200011M11Rik	1	0.732142857142857	24	0	0.77678508340467
1200014J11Rik	0.0869475840210501	0.0208333333333333	24	3	0.346287868416582
1200016B10Rik	0.0869475840210501	0.0208333333333333	24	3	0.709245779199637
1300001I01Rik	0.0869475840210501	0.0208333333333333	24	0	1.94475224476346
1300002E11Rik	1	1	24	0	3.16373716038485
1300002K09Rik	1	1	30	15	0.30600753062629
1300010F03Rik	0.0869475840210501	0.0208333333333333	24	6	2.46941486980216
1300014I06Rik	0.0869475840210501	0.0208333333333333	24	3	6.42597429538899
1300015D01Rik	0.538684382434383	0.169642857142857	24	15	0.0245486614777924
1300017J02Rik	1	1	0	0	0
1300018I17Rik	0.0869475840210501	0.0208333333333333	24	12	0.40427062447388
1300018J18Rik	1	1	24	0	0.296832820140394
1500001M20Rik	0.0869475840210501	0.0208333333333333	24	9	0.437532927460895
1500002O10Rik	1	1	24	18	0.128620602177489
1500002O20Rik	0.0869475840210501	0.0208333333333333	24	0	0.864922408145667
1500003O03Rik	1	1	30	12	11.237553098651
1500004A13Rik	1	0.732142857142857	24	18	0.27953217994646
1500009C09Rik	1	1	0	0	0
1500009L16Rik	0.0869475840210501	0.0208333333333333	24	0	1.8282139761561
1500010J02Rik	1	0.732142857142857	24	18	0.194758420742211
1500011B03Rik	1	0.732142857142857	24	12	0.555499551766247
1500011H22Rik	0.0869475840210501	0.0208333333333333	24	0	0.494776756931851
1500011K16Rik	0.0869475840210501	0.0208333333333333	24	3	2.99530432510622
1500012F01Rik	1	1	30	27	2.61459803411538
1500012K07Rik	1	1	30	0	0.299763070641632
1500015A07Rik	1	0.732142857142857	24	0	0.18093801870392
1500015L24Rik	1	1	0	0	0
1500015O10Rik	1	1	0	0	0
1500016L03Rik	1	1	0	0	0
1500017E21Rik	1	0.732142857142857	24	12	0.133586860589136
1500031L02Rik	1	0.732142857142857	24	6	4.19505240074543
1500032L24Rik	1	0.732142857142857	24	6	68.3768721873486
1520402A15Rik	1	0.732142857142857	24	18	0.0987322945522449
1600002D24Rik	1	1	0	0	0
1600002H07Rik	1	1	30	27	0.182360010440886
1600002K03Rik	1	1	30	27	4.88674425410211
1600010M07Rik	1	0.732142857142857	24	0	0.327827078126754
1600012F09Rik	0.0869475840210501	0.0208333333333333	24	21	0.512645345292435
1600012H06Rik	1	0.732142857142857	24	0	1.92891305286488
1600014C10Rik	1	0.732142857142857	24	12	2.63878462156586
1600014C23Rik	1	1	0	0	0
1600014K23Rik	1	1	0	0	0
1600015I10Rik	1	1	0	0	0
1600016N20Rik	1	1	30	21	0.50872797372466
1600019K03Rik	1	1	0	0	0
1600020E01Rik	1	1	30	18	0.978423653127824
1600021P15Rik	0.538684382434383	0.169642857142857	30	15	1.43443681631503
1600025M17Rik	1	1	0	0	0
1600027N09Rik	0.0869475840210501	0.0208333333333333	24	0	0.644796531628389
1600029D21Rik	0.0869475840210501	0.0208333333333333	24	0	108.524026415404
1600029I14Rik	0.538684382434383	0.169642857142857	30	0	0.0181860793053368
1600029O15Rik	1	1	30	27	0.0800448411837078
1700001C02Rik	1	1	0	0	0
1700001C19Rik	1	1	24	12	0.0267572741534895
1700001D01Rik	1	1	0	0	0
1700001F09Rik	1	1	0	0	0
1700001G11Rik	0.538684382434383	0.169642857142857	24	9	0.0967813515876122
1700001G17Rik	1	1	0	0	0
1700001J03Rik	1	1	30	27	0.213496043336873
1700001J11Rik	1	1	0	0	0
1700001K19Rik	1	0.732142857142857	24	12	0.106314211658179
1700001K23Rik	1	1	0	0	0
1700001L05Rik	1	1	24	12	0.21533558162813
1700001L19Rik	1	1	30	9	0.00417702117782517
1700001O22Rik	1	0.732142857142857	24	12	0.183923423534089
1700001P01Rik	1	1	0	0	0
1700003C15Rik	1	1	0	0	0
1700003D09Rik	0.0869475840210501	0.0208333333333333	24	18	0.217640042628017
1700003E16Rik	0.538684382434383	0.169642857142857	30	0	0.134452111801935
1700003F12Rik	1	1	0	0	0
1700003F17Rik	0.538684382434383	0.169642857142857	24	0	0.31068539553723
1700003G13Rik	1	1	0	0	0
1700003G18Rik	1	1	30	0	0.146617176865468
1700003H04Rik	1	1	0	0	0
1700003L19Rik	1	1	0	0	0
1700003M02Rik	1	1	0	0	0
1700003M07Rik	1	1	0	0	0
1700003P14Rik	1	1	0	0	0
1700006A11Rik	1	1	0	0	0
1700006E09Rik	1	1	0	0	0
1700006F04Rik	1	1	0	0	0
1700006H21Rik	1	1	0	0	0
1700007B14Rik	1	1	0	0	0
1700007F19Rik	1	1	0	0	0
1700007G11Rik	1	1	0	0	0
1700007I08Rik	1	1	0	0	0
1700007J10Rik	1	0.732142857142857	24	18	0.253706731109218
1700007K09Rik	1	1	0	0	0
1700007K13Rik	1	1	0	0	0
1700007L15Rik	1	1	30	27	0.553445406566899
1700007P06Rik	1	1	0	0	0
1700008A04Rik	1	1	0	0	0
1700008F21Rik	1	1	0	0	0
1700008I05Rik	1	1	0	0	0
1700008J07Rik	0.0869475840210501	0.0208333333333333	24	18	0.285261017666277
1700008K24Rik	1	1	0	0	0
