CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	0.0771606166746272	0.0208333333333333	24	9	28.9777662231106
0610007C21Rik	0.0771606166746272	0.0208333333333333	24	9	5.51981695529843
0610007L01Rik	0.0771606166746272	0.0208333333333333	24	9	0.659476068405822
0610007N19Rik	0.0771606166746272	0.0208333333333333	24	9	3.05692514555272
0610007P08Rik	1	0.732142857142857	24	0	0.353621626397658
0610007P14Rik	1	0.732142857142857	24	18	17.0226411629115
0610007P22Rik	1	1	24	6	0.410673476377523
0610008F07Rik	0.0771606166746272	0.0208333333333333	24	9	1.31453979049704
0610009B14Rik	0.499291723901099	0.169642857142857	24	0	0.0881351327099755
0610009B22Rik	0.0771606166746272	0.0208333333333333	24	0	4.2756625738007
0610009D07Rik	0.0771606166746272	0.0208333333333333	24	9	7.37901281507222
0610009L18Rik	0.0771606166746272	0.0208333333333333	24	12	1.60187263103219
0610009O20Rik	0.0771606166746272	0.0208333333333333	24	6	1.07580993456674
0610010B08Rik	1	1	24	6	0.0584165660675548
0610010F05Rik	1	1	24	18	0.0702065109836688
0610010K14Rik	0.0771606166746272	0.0208333333333333	24	9	7.55801689672959
0610010O12Rik	0.499291723901099	0.169642857142857	30	15	41.0440131139732
0610011F06Rik	0.0771606166746272	0.0208333333333333	24	9	8.33975879867038
0610011L14Rik	1	1	24	12	0.390955803784137
0610012G03Rik	1	0.732142857142857	24	12	6.90624122117089
0610012H03Rik	0.0771606166746272	0.0208333333333333	24	0	0.198236325445477
0610030E20Rik	0.0771606166746272	0.0208333333333333	24	18	1.71763308218024
0610031J06Rik	1	0.732142857142857	24	12	24.3450500801498
0610031O16Rik	1	1	0	0	0
0610037L13Rik	0.0771606166746272	0.0208333333333333	24	6	2.91334711363279
0610037P05Rik	0.0771606166746272	0.0208333333333333	24	9	4.53244840138859
0610038B21Rik	1	1	30	6	0.00717706311836534
0610038L08Rik	1	0.732142857142857	24	12	0.234645960715553
0610039K10Rik	0.499291723901099	0.169642857142857	24	15	0.155527782968591
0610040B10Rik	1	0.732142857142857	24	6	0.449433534588264
0610040F04Rik	1	0.732142857142857	24	12	0.107332445423087
