CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	0.582041874488661	0.247873827561328	24	12	16.8729113019953
0610007C21Rik	0.128199133203855	0.0324589646464646	24	8	9.60031805749164
0610007L01Rik	0.582041874488661	0.247873827561328	24	6	0.826982593801102
0610007N19Rik	0.582041874488661	0.247873827561328	24	12	0.39159573542111
0610007P08Rik	0.128199133203855	0.0324589646464646	24	2	0.108390277167742
0610007P14Rik	0.128199133203855	0.0324589646464646	28	14	17.5989685449176
0610007P22Rik	1	1	24	10	0.616427407567185
0610008F07Rik	0.582041874488661	0.247873827561328	24	22	0.964316872843154
0610009B14Rik	1	1	0	0	0
0610009B22Rik	0.000880451820417746	2.63798701298701e-05	24	4	3.92189705117307
0610009D07Rik	0.582041874488661	0.247873827561328	24	6	1.99842518498942
0610009L18Rik	1	1	20	8	0.371181562648254
0610009O20Rik	1	1	28	22	0.584080807861806
0610010B08Rik	1	1	28	14	0.0088286170718437
0610010F05Rik	0.582041874488661	0.247873827561328	24	8	0.00550836182544318
0610010K14Rik	1	0.558904371091871	20	18	0.565826846305474
0610010O12Rik	0.0149491017088225	0.00193362193362193	24	18	60.0001317040221
0610011F06Rik	0.128199133203855	0.0324589646464646	24	10	4.60496220179927
0610011L14Rik	0.128199133203855	0.0324589646464646	24	4	0.402414469173265
0610012G03Rik	0.128199133203855	0.0324589646464646	24	12	0.722733841050772
0610012H03Rik	0.128199133203855	0.0324589646464646	24	10	0.225572012945977
0610030E20Rik	0.582041874488661	0.247873827561328	24	22	1.49643593888947
0610031J06Rik	0.128199133203855	0.0324589646464646	24	10	9.43117811543183
0610031O16Rik	1	1	0	0	0
0610037L13Rik	0.128199133203855	0.0324589646464646	24	8	0.605361186441615
0610037P05Rik	0.128199133203855	0.0324589646464646	24	10	1.26055925882126
0610038B21Rik	1	1	28	0	0.0236738643234475
0610038L08Rik	0.000880451820417746	2.63798701298701e-05	24	10	0.106818378793165
0610039K10Rik	1	1	28	0	0.210028603813969
0610040B10Rik	0.0149491017088225	0.00193362193362193	24	2	0.369865636928466
0610040F04Rik	0.582041874488661	0.247873827561328	24	12	0.244151102200297
0610040J01Rik	0.0149491017088225	0.00193362193362193	24	14	7.70513046255545
0610043K17Rik	0.582041874488661	0.247873827561328	24	8	0.0738735667509022
0910001L09Rik	1	1	24	10	3.22299270864829
100043387	1	1	24	22	0.0800649937269716
1100001G20Rik	1	1	24	0	0.190046261152384
1110001A16Rik	1	1	24	8	0.401841712680503
1110001J03Rik	1	1	28	0	0.587817867200386
1110002B05Rik	1	1	24	22	13.3158813499145
1110002L01Rik	0.128199133203855	0.0324589646464646	24	0	0.0756137565394023
1110002N22Rik	0.128199133203855	0.0324589646464646	24	6	0.408137791460188
1110003E01Rik	0.0149491017088225	0.00193362193362193	24	6	2.39567777466002
1110004E09Rik	0.0149491017088225	0.00193362193362193	24	0	0.956962962318814
1110004F10Rik	1	1	28	8	1.83400518069402
1110005A03Rik	0.128199133203855	0.0324589646464646	24	2	1.86810540521674
1110006O24Rik	1	1	28	14	0.268879651643224
1110007C09Rik	0.000880451820417746	2.63798701298701e-05	24	14	11.6832425028328
1110008F13Rik	0.582041874488661	0.247873827561328	28	0	2.30682273653612
1110008J03Rik	1	1	28	22	0.200553160814034
1110008L16Rik	0.0149491017088225	0.00193362193362193	24	8	0.194638212589409
1110008P14Rik	0.582041874488661	0.247873827561328	24	6	2.04594276068516
1110012J17Rik	1	1	28	0	0.0261898563169264
1110012L19Rik	0.0149491017088225	0.00193362193362193	24	4	1.15494578998323
1110014N23Rik	1	1	28	14	0.804828938346529
1110015O18Rik	1	1	0	0	0
1110017D15Rik	0.360121126479522	0.0968455387205387	24	22	0.0690191372767003
1110017F19Rik	0.128199133203855	0.0324589646464646	24	22	4.17624336036587
1110018G07Rik	0.128199133203855	0.0324589646464646	24	0	0.880560074611608
1110018J18Rik	0.0149491017088225	0.00193362193362193	24	0	0.949460559370425
1110019D14Rik	1	1	28	0	0.200319815576243
1110020A21Rik	0.582041874488661	0.247873827561328	28	0	0.269683455276737
