CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	0.0229616370810858	0.00193362193362193	24	12	27.6873317027842
0610007C21Rik	1	1	24	10	6.0140138846697
0610007L01Rik	1	1	24	10	0.647624958753136
0610007N19Rik	0.176012329736762	0.0324589646464646	24	12	0.533589848151181
0610007P08Rik	1	1	24	0	0.119109308863749
0610007P14Rik	0.176012329736762	0.0324589646464646	24	18	29.5917116858758
0610007P22Rik	1	1	28	0	0.24807073650977
0610008F07Rik	0.726507351714648	0.247873827561328	24	18	0.953250651717585
0610009B14Rik	0.0949111713358789	0.0089799031986532	24	22	0.0921855110632902
0610009B22Rik	0.00146461794470446	2.63798701298701e-05	24	0	3.84984287017016
0610009D07Rik	1	1	28	0	2.38160634971441
0610009L18Rik	0.0229616370810858	0.00193362193362193	24	16	1.09281938818819
0610009O20Rik	1	1	24	12	0.37446253811296
0610010B08Rik	1	1	24	10	0.0201938382998379
0610010F05Rik	0.726507351714648	0.247873827561328	24	12	0.039739401102684
0610010K14Rik	0.726507351714648	0.247873827561328	24	0	0.235749400847596
0610010O12Rik	0.0229616370810858	0.00193362193362193	24	22	51.7800153727285
0610011F06Rik	1	1	28	2	4.30882588183835
0610011L14Rik	1	1	28	0	0.600185164803329
0610012G03Rik	1	1	28	0	3.99356232344632
0610012H03Rik	0.726507351714648	0.247873827561328	24	6	0.138627577344841
0610030E20Rik	0.0229616370810858	0.00193362193362193	24	18	1.7783947678876
0610031J06Rik	1	1	20	14	6.11633223590741
0610031O16Rik	1	1	0	0	0
0610037L13Rik	0.47893660018195	0.0968455387205387	28	2	0.965264395929945
0610037P05Rik	1	1	24	10	1.50005632560914
0610038B21Rik	0.0949111713358789	0.0089799031986532	24	16	0.0302691906929307
0610038L08Rik	1	1	28	0	0.0620742526699376
0610039K10Rik	1	1	24	18	0.138785969263827
0610040B10Rik	0.176012329736762	0.0324589646464646	24	0	0.619319474302238
0610040F04Rik	1	1	28	0	0.123398265045036
0610040J01Rik	1	0.558904371091871	20	18	5.6891690293926
0610043K17Rik	1	1	20	6	0.0614801061970456
0910001L09Rik	1	1	20	14	5.24432815334815
100043387	1	1	24	6	0.0659702342575801
1100001G20Rik	0.0229616370810858	0.00193362193362193	24	12	0.393022676905544
1110001A16Rik	1	1	28	2	1.33502820948192
1110001J03Rik	1	1	28	2	5.23043350509783
1110002B05Rik	1	1	24	18	6.76623407849595
1110002L01Rik	0.726507351714648	0.247873827561328	24	22	0.123463672422296
1110002N22Rik	0.176012329736762	0.0324589646464646	24	4	0.451226050278572
1110003E01Rik	1	1	28	0	3.23628631613459
1110004E09Rik	1	1	24	22	0.292353298681578
1110004F10Rik	1	1	28	0	2.37824759250377
1110005A03Rik	1	1	28	0	0.681424662893852
1110006O24Rik	0.176012329736762	0.0324589646464646	24	0	0.218769645710962
1110007C09Rik	1	1	20	16	9.81980400237194
1110008F13Rik	1	1	28	0	3.15397378350362
1110008J03Rik	0.176012329736762	0.0324589646464646	24	10	0.265596378081479
1110008L16Rik	0.00146461794470446	2.63798701298701e-05	24	6	0.588935095914652
1110008P14Rik	1	1	28	0	4.49376966045769
1110012J17Rik	1	1	28	10	0.0186461229771768
1110012L19Rik	1	1	28	24	1.77799878809014
1110014N23Rik	1	1	28	24	1.18498722158195
1110015O18Rik	1	1	0	0	0
1110017D15Rik	1	1	20	6	0.0700551901324948
1110017F19Rik	0.0229616370810858	0.00193362193362193	24	20	3.06643926729358
1110018G07Rik	0.0229616370810858	0.00193362193362193	24	0	1.06886261044159
1110018J18Rik	0.726507351714648	0.247873827561328	24	22	0.378825386952881
1110019D14Rik	1	1	20	0	0.0992848631464031
1110020A21Rik	1	1	28	22	0.232118407526202
1110020G09Rik	0.176012329736762	0.0324589646464646	24	8	0.310653222178686
1110021J02Rik	0.47893660018195	0.0968455387205387	28	2	0.669414454215398
1110021L09Rik	0.0949111713358789	0.0089799031986532	28	0	3.70092618205227
1110028C15Rik	1	1	28	20	0.266856795918944
1110028F11Rik	0.726507351714648	0.247873827561328	24	22	0.0366500515756799
1110028F18Rik	1	1	24	0	0.0322312705893671
1110031I02Rik	1	1	28	0	1.12062282682444
1110032A03Rik	1	1	24	12	0.919097394186275
1110032A04Rik	1	1	28	14	0.117789847610055
1110032F04Rik	0.176012329736762	0.0324589646464646	24	12	0.0190384965300572
1110034A24Rik	1	1	24	6	0.126622318413856
1110034B05Rik	0.176012329736762	0.0324589646464646	28	12	0.918800409338176
1110034G24Rik	0.0229616370810858	0.00193362193362193	24	22	0.411500791311511
1110035M17Rik	0.47893660018195	0.0968455387205387	24	18	0.109277696178131
1110036E04Rik	1	1	0	0	0
1110037F02Rik	1	1	24	10	0.111468312986248
1110038B12Rik	1	1	28	2	11.1934296355049
1110038D17Rik	1	1	24	12	11.4934550427624
1110038F14Rik	0.726507351714648	0.247873827561328	24	22	5.03410530730139
1110046J04Rik	0.0229616370810858	0.00193362193362193	24	12	0.813802123399786
1110049F12Rik	1	0.558904371091871	28	0	1.75919328324448
1110050K14Rik	1	1	28	14	1.06256228902121
1110051M20Rik	1	1	28	2	0.049974064653578
1110054M08Rik	0.726507351714648	0.247873827561328	24	18	0.929209021157242
1110054O05Rik	1	1	24	0	0.257111096707241
1110057K04Rik	0.0229616370810858	0.00193362193362193	24	2	1.66353941341947
1110058L19Rik	0.726507351714648	0.247873827561328	24	10	1.65010438457693
1110059E24Rik	0.176012329736762	0.0324589646464646	24	0	7.77407337372114
1110059G10Rik	1	1	24	6	0.251220897219957
1110059M19Rik	1	1	0	0	0
1110065P20Rik	1	1	28	0	2.19235982633155
1110067D22Rik	0.176012329736762	0.0324589646464646	24	18	7.99843835539163
1190002F15Rik	1	1	20	10	0.409223907476091
1190002H23Rik	1	1	28	14	1.24212498503573
1190002N15Rik	1	1	28	16	0.746124933372422
1190003J15Rik	1	1	20	16	9.18496353422266
1190003K10Rik	1	1	0	0	0
1190005F20Rik	0.726507351714648	0.247873827561328	24	18	1.62068874247957
1190005I06Rik	1	1	28	10	0.225844602610124
1190007F08Rik	0.0949111713358789	0.0089799031986532	28	2	0.211368359032283
1190007I07Rik	0.726507351714648	0.247873827561328	24	18	0.201299158468186
1200009I06Rik	1	1	28	0	21.7831315012328
1200011I18Rik	0.0229616370810858	0.00193362193362193	24	2	0.439947697118646
1200011M11Rik	1	1	28	24	0.357873813026323
1200014J11Rik	1	0.558904371091871	28	0	0.146639804282466
1200016B10Rik	1	1	28	22	0.449889618462129
1300001I01Rik	0.00146461794470446	2.63798701298701e-05	24	6	1.71952812835382
1300002E11Rik	0.47893660018195	0.0968455387205387	28	14	1.12702214319418
1300002K09Rik	0.176012329736762	0.0324589646464646	24	8	0.298858681068494
1300010F03Rik	1	1	24	10	1.11939246102518
1300014I06Rik	1	1	28	0	6.1982152011688
1300015D01Rik	0.00146461794470446	2.63798701298701e-05	24	12	0.0279802860422298
1300017J02Rik	0.726507351714648	0.247873827561328	24	2	0.0144026337619201
1300018I17Rik	0.726507351714648	0.247873827561328	28	0	0.648370956407285
1300018J18Rik	1	0.558904371091871	28	2	0.75846041117022
1500001M20Rik	0.0229616370810858	0.00193362193362193	24	8	1.18168856844771
1500002O10Rik	1	1	28	16	0.0932228367112909
1500002O20Rik	1	1	28	2	0.40812082089744
1500003O03Rik	0.726507351714648	0.247873827561328	24	18	18.8486383593086
1500004A13Rik	1	1	28	20	0.0488441080172419
1500009C09Rik	1	1	20	4	0.0253704963342265
1500009L16Rik	0.0229616370810858	0.00193362193362193	24	6	1.16304923369563
1500010J02Rik	0.726507351714648	0.247873827561328	24	6	0.278989687623933
1500011B03Rik	1	1	28	10	0.512146835011699
1500011H22Rik	1	1	28	14	0.43578990924527
1500011K16Rik	1	1	28	0	2.75269598848111
1500012F01Rik	1	1	24	6	1.77363593925022
1500012K07Rik	1	1	28	12	0.0755172364637703
1500015A07Rik	1	1	20	6	0.256458437148205
1500015L24Rik	1	1	0	0	0
1500015O10Rik	1	1	0	0	0
1500016L03Rik	0.726507351714648	0.247873827561328	24	8	0.0705715902147954
1500017E21Rik	0.176012329736762	0.0324589646464646	24	4	0.0400710341830605
1500031L02Rik	1	1	24	10	1.63377021793152
1500032L24Rik	1	1	20	16	22.4838743213887
1520402A15Rik	1	1	20	4	0.0751244386468212
1600002D24Rik	1	1	0	0	0
1600002H07Rik	1	1	28	24	0.178431325164613
1600002K03Rik	0.726507351714648	0.247873827561328	28	26	2.06963083785491
1600010M07Rik	1	1	28	8	0.269182116568876
1600012F09Rik	1	1	28	0	0.108735345276961
1600012H06Rik	0.0229616370810858	0.00193362193362193	24	18	0.80157624715307
1600014C10Rik	0.00146461794470446	2.63798701298701e-05	24	10	0.569206816719547
1600014C23Rik	1	1	0	0	0
1600014K23Rik	1	1	0	0	0
1600015I10Rik	0.176012329736762	0.0324589646464646	24	20	0.0172010088484658
1600016N20Rik	0.0229616370810858	0.00193362193362193	24	18	0.769586736372191
1600019K03Rik	1	1	0	0	0
1600020E01Rik	1	1	28	14	1.64266208570494
1600021P15Rik	1	1	20	16	0.875398195108947
1600025M17Rik	1	1	0	0	0
1600027N09Rik	0.0229616370810858	0.00193362193362193	28	0	0.560118726814347
1600029D21Rik	0.0229616370810858	0.00193362193362193	24	2	41.226870927588
1600029I14Rik	0.0156592386076082	0.000294161856661857	24	2	0.110816360533993
1600029O15Rik	1	1	28	22	0.00814325382417865
1700001C02Rik	1	1	0	0	0
1700001C19Rik	0.176012329736762	0.0324589646464646	24	10	0.0256895429138979
1700001D01Rik	1	1	28	10	0.0925935116760349
1700001F09Rik	1	1	0	0	0
1700001G11Rik	1	1	0	0	0
1700001G17Rik	1	1	28	14	0.00902294769298329
1700001J03Rik	0.726507351714648	0.247873827561328	24	0	0.274679093975142
1700001J11Rik	1	1	24	10	0.0131766520246988
1700001K19Rik	1	1	28	24	0.292112882375975
1700001K23Rik	1	1	24	12	0.111712971932538
1700001L05Rik	0.0229616370810858	0.00193362193362193	24	14	0.52091354488485
1700001L19Rik	1	1	28	0	0.0194257789141131
1700001O22Rik	0.176012329736762	0.0324589646464646	24	14	0.0424313566186612
1700001P01Rik	1	1	0	0	0
1700003C15Rik	1	1	0	0	0
1700003D09Rik	0.726507351714648	0.247873827561328	24	12	0.352089679556218
1700003E16Rik	0.176012329736762	0.0324589646464646	24	10	0.0487436988543135
1700003F12Rik	1	1	0	0	0
1700003F17Rik	0.726507351714648	0.247873827561328	24	0	0.2467654173917
1700003G13Rik	1	1	0	0	0
