CycID	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
0610005C13Rik	1	default	1	24	12.5575631364498	10.8995040752816	19.726635	0.965651835036022	0.951912569050431	0.458385927013135	0.000218654716650057	0.00625653711369038
0610007C21Rik	0	burg	1	22.5962264150943	1.19221167313623	20.7114780742422	17.174375	0.818589079847494	0.746024711786492	0.0554312892219277	0.0140171127078087	0.0697646754218558
0610007L01Rik	0	default	1	24	0.242992017708192	19.2875203269233	10.4468075	0.0462929614844598	-0.335189853921756	0.0775975697155552	0.888254608758391	1
0610007N19Rik	0	default	1	24	0.917354086673744	5.38223124189662	2.8941975	0.793472153130432	0.710861014382605	0.283450876801903	0.0193841402526183	0.0796262454732821
0610007P08Rik	0	mle	1	23.2093023255814	0.30412450456577	3.8373524602307	2.725615	0.848488542724401	0.787883959814161	0.0915512334085933	0.0089353936141302	0.0557276304679654
0610007P14Rik	1	burg	1	27.7222222222222	1.31993236392267	2.82720675047519	41.74695	0.183548173387953	-0.143032557256866	0.0597343867287859	0.602318791146719	0.835225443398076
0610007P22Rik	0	burg	1	22.5962264150943	0.803208394198434	9.49816337592681	3.235	0.837084408787603	0.771918172302644	0.196509734153561	0.0107128894170851	0.061246976286471
0610008F07Rik	0	burg	1	22.5962264150943	1.11296718704387	14.6365991631426	2.3924425	0.604192269877436	0.445869177828411	0.422881286406985	0.0985622659327016	0.208935118679828
0610009B14Rik	0	default	1	24	0.0852324535567419	17.3963984237917	0.31697575	0.592880814205516	0.430033139887722	0.28265899552679	0.105755733868478	0.220057399271805
0610009B22Rik	0	mle	1	24.641975308642	3.41828648425053	0.278867874587974	7.66431	0.755359890148024	0.657503846207233	0.379603746902134	0.0296018707269119	0.102352603852579
0610009D07Rik	0	mle	1	23.6679841897233	2.97033234463932	2.67569512375237	18.3976	0.87969054552737	0.831566763738318	0.129978688899542	0.0050205280039658	0.0414508075144507
0610009L18Rik	0	burg	1	23.2093023255814	1.29822779939857	15.0492286111718	1.98765025	0.793284798673879	0.710598718143431	0.534418979535261	0.0194281316126603	0.0797052576941971
0610009O20Rik	1	default	1	24	0.505290315235065	10.8524025938728	6.2464325	0.833505761570134	0.766908066198187	0.0629304093023098	0.0113109224064656	0.0629789344044062
0610010B08Rik	0	burg	1	23.0307692307692	0.067487971598436	8.24683433954073	0.280257	0.822811023782278	0.751935433295189	0.193162577004395	0.0132157479459969	0.0676431120941091
0610010F05Rik	0	default	1	24	0.275520089136837	5.95356860291564	1.8876125	0.68882954045133	0.564361356631862	0.141588902596674	0.0540127019499645	0.151003182966233
0610010K14Rik	0	yule-walker	1	21.6173285198556	0.818795726073345	6.85428610287804	8.4766025	0.193811953004672	-0.128663265793459	0.145922101240054	0.583567217442903	0.816278286295127
0610010O12Rik	0	burg	1	23.6679841897233	26.2803481781212	17.8986945976828	137.6245	0.70088188490757	0.581234638870599	0.167787230048884	0.0489335572950008	0.14126847150082
0610011F06Rik	0	burg	1	22.5962264150943	2.53433307275122	8.32211884810211	13.8315	0.592416008097437	0.429382411336412	0.166983518234502	0.106057844476377	0.220574115453692
0610011L14Rik	1	default	1	24	0.48659028771123	22.8777195233956	4.43069	0.533849472110628	0.347389260954879	0.107937376069692	0.148359530719337	0.283951157393669
0610012G03Rik	1	default	1	24	0.827191852648077	10.3428273785796	8.3288675	0.993021079621227	0.990229511469718	0.0707918516559755	4.06883996806329e-06	0.000402780528413006
0610012H03Rik	0	burg	1	23.5748031496063	0.168418901137624	6.82244964946627	0.36353725	0.824521562708689	0.754330187792164	0.385003826143735	0.0128990995786654	0.0669728254027101
