CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	1	0.732142857142857	24	12	12.5532171889301
0610007C21Rik	0.0915635430442723	0.0208333333333333	24	21	0.741083262022565
0610007L01Rik	1	1	30	27	1.01771757695836
0610007N19Rik	0.575277228238234	0.169642857142857	30	0	1.05428206861352
0610007P08Rik	0.0915635430442723	0.0208333333333333	24	3	0.322157849508591
0610007P14Rik	1	1	30	27	3.00683016563956
0610007P22Rik	0.0915635430442723	0.0208333333333333	24	9	0.560940738447477
0610008F07Rik	1	1	24	12	0.19670649992438
0610009B14Rik	0.575277228238234	0.169642857142857	30	15	0.102855045284614
0610009B22Rik	0.0915635430442723	0.0208333333333333	24	0	1.66524707629604
0610009D07Rik	0.0915635430442723	0.0208333333333333	24	3	2.79887006129259
0610009L18Rik	0.0915635430442723	0.0208333333333333	24	15	1.07691903155303
0610009O20Rik	1	0.732142857142857	24	12	0.50491313264016
0610010B08Rik	0.0915635430442723	0.0208333333333333	24	6	0.0513348916539716
0610010F05Rik	0.575277228238234	0.169642857142857	30	0	0.277779827921323
0610010K14Rik	1	1	30	3	0.455108066507286
0610010O12Rik	1	0.732142857142857	24	18	29.4460476889514
0610011F06Rik	1	1	24	6	0.70325304922908
0610011L14Rik	1	0.732142857142857	24	0	0.486340973032296
0610012G03Rik	0.0915635430442723	0.0208333333333333	24	9	0.814979456190462
0610012H03Rik	0.0915635430442723	0.0208333333333333	24	6	0.184003680153754
0610030E20Rik	0.0915635430442723	0.0208333333333333	24	18	0.988669630387219
0610031J06Rik	1	1	24	18	1.40975878965162
0610031O16Rik	1	1	0	0	0
0610037L13Rik	0.575277228238234	0.169642857142857	30	0	0.415333310065542
0610037P05Rik	0.0915635430442723	0.0208333333333333	24	6	0.782378298043856
0610038B21Rik	0.0915635430442723	0.0208333333333333	24	18	0.124524756858144
0610038L08Rik	1	0.732142857142857	24	18	0.250312618559523
0610039K10Rik	0.0915635430442723	0.0208333333333333	24	15	0.698103190541699
0610040B10Rik	1	0.732142857142857	24	6	0.739698393391607
0610040F04Rik	1	1	24	18	0.145100220687789
0610040J01Rik	1	0.732142857142857	24	12	5.47604704554298
0610043K17Rik	1	0.732142857142857	24	0	0.19047335364822
0910001L09Rik	0.0915635430442723	0.0208333333333333	24	9	1.83649066102989
100043387	1	1	30	12	0.129472665848819
1100001G20Rik	1	1	0	0	0
1110001A16Rik	1	1	30	12	0.523944911655796
1110001J03Rik	1	0.732142857142857	24	0	1.01303653006691
1110002B05Rik	0.0915635430442723	0.0208333333333333	24	6	4.99015862085064
1110002L01Rik	1	0.732142857142857	24	18	0.35961188149448
1110002N22Rik	0.0915635430442723	0.0208333333333333	24	9	0.503993893824618
1110003E01Rik	0.0915635430442723	0.0208333333333333	24	0	0.801116627745299
1110004E09Rik	1	0.732142857142857	24	0	0.961145498929533
1110004F10Rik	0.575277228238234	0.169642857142857	30	0	1.99517249379596
1110005A03Rik	1	0.732142857142857	24	0	1.56762391408542
1110006O24Rik	0.0915635430442723	0.0208333333333333	24	6	0.207589226840231
1110007C09Rik	0.0915635430442723	0.0208333333333333	24	12	4.11027029768116
1110008F13Rik	1	1	30	27	2.47657079042776
1110008J03Rik	1	1	30	12	0.108668170132749
1110008L16Rik	0.575277228238234	0.169642857142857	30	0	0.939582277637249
1110008P14Rik	0.575277228238234	0.169642857142857	30	0	3.9272781337779
1110012J17Rik	1	1	30	12	0.173611685344046
1110012L19Rik	1	0.732142857142857	24	18	0.868107924194913
1110014N23Rik	1	0.732142857142857	24	18	1.11202794389912
1110015O18Rik	1	1	0	0	0
1110017D15Rik	1	1	0	0	0
1110017F19Rik	0.0915635430442723	0.0208333333333333	24	21	0.919663079611224
1110018G07Rik	1	0.732142857142857	24	0	2.24394326601911
1110018J18Rik	0.0915635430442723	0.0208333333333333	24	21	0.524842937267903
1110019D14Rik	0.0915635430442723	0.0208333333333333	24	0	0.35455854288273
1110020A21Rik	1	0.732142857142857	24	12	0.320897785224517
1110020G09Rik	0.0915635430442723	0.0208333333333333	24	6	0.387558155700535
1110021J02Rik	0.575277228238234	0.169642857142857	30	15	0.366854069147393
1110021L09Rik	1	1	30	27	5.81220560931907
1110028C15Rik	1	1	30	27	0.149581368492202
1110028F11Rik	1	1	30	12	1.07970962846499
1110028F18Rik	0.575277228238234	0.169642857142857	24	0	0.0476426275299888
1110031I02Rik	0.0915635430442723	0.0208333333333333	24	12	0.800215066599286
1110032A03Rik	1	1	24	12	0.330678486221888
1110032A04Rik	0.0915635430442723	0.0208333333333333	24	21	0.355592686550216
1110032F04Rik	1	1	30	27	0.0459506270686266
1110034A24Rik	0.0915635430442723	0.0208333333333333	24	9	0.207634835227618
1110034B05Rik	1	1	24	18	0.0719551860535427
1110034G24Rik	1	0.732142857142857	24	0	0.177944482145766
1110035M17Rik	1	1	0	0	0
1110036E04Rik	0.575277228238234	0.169642857142857	24	18	0.158045790216396
1110037F02Rik	1	1	30	27	0.912082894916904
1110038B12Rik	0.0915635430442723	0.0208333333333333	24	9	1.92562854186626
1110038D17Rik	0.0915635430442723	0.0208333333333333	24	12	3.96167180761481
1110038F14Rik	1	1	30	12	0.380480016820858
1110046J04Rik	0.0915635430442723	0.0208333333333333	24	12	0.263998316755998
1110049F12Rik	1	0.732142857142857	24	6	1.78789474749284
1110050K14Rik	1	1	30	12	1.52748499765137
1110051M20Rik	1	1	30	12	0.336038355623283
1110054M08Rik	1	1	24	12	0.401640187247865
1110054O05Rik	0.0915635430442723	0.0208333333333333	24	0	0.425452008104322
1110057K04Rik	0.0915635430442723	0.0208333333333333	24	0	1.28134819818814
1110058L19Rik	1	1	24	0	0.716910816707699
1110059E24Rik	0.0915635430442723	0.0208333333333333	24	0	4.06020713757316
1110059G10Rik	0.0915635430442723	0.0208333333333333	24	0	0.330310790695672
1110059M19Rik	1	1	0	0	0
1110065P20Rik	1	0.732142857142857	24	6	0.48452017307074
1110067D22Rik	1	1	24	18	2.2845205886575
1190002F15Rik	0.0915635430442723	0.0208333333333333	24	21	1.0192834649253
1190002H23Rik	1	1	30	15	0.0894772920913456
1190002N15Rik	1	1	30	27	1.00573211701725
1190003J15Rik	1	0.732142857142857	24	12	2.95813879268705
1190003K10Rik	1	1	0	0	0
1190005F20Rik	1	1	24	18	2.19874853609957
1190005I06Rik	1	1	30	9	0.145511968966474
1190007F08Rik	1	1	30	27	0.331823999207411
1190007I07Rik	0.0915635430442723	0.0208333333333333	24	0	0.463031197990482
1200009I06Rik	1	1	24	18	7.26304730295762
1200011I18Rik	0.0915635430442723	0.0208333333333333	24	0	0.446198521064335
1200011M11Rik	1	1	24	18	0.315592363045273
1200014J11Rik	0.0915635430442723	0.0208333333333333	24	3	0.11754236023664
1200016B10Rik	1	1	30	27	1.74312428164202
1300001I01Rik	1	0.732142857142857	24	6	3.42515453738952
1300002E11Rik	1	1	24	18	1.14600796026904
1300002K09Rik	0.0915635430442723	0.0208333333333333	24	6	0.229226340791149
1300010F03Rik	0.0915635430442723	0.0208333333333333	24	6	1.59003566351513
1300014I06Rik	1	1	30	27	4.69059283300096
1300015D01Rik	0.0915635430442723	0.0208333333333333	24	15	0.0349663596189967
1300017J02Rik	1	1	0	0	0
1300018I17Rik	1	1	24	18	0.37215029893848
1300018J18Rik	0.0915635430442723	0.0208333333333333	24	12	0.575510673673825
1500001M20Rik	0.0915635430442723	0.0208333333333333	24	3	1.12328861938951
1500002O10Rik	1	1	30	27	0.102421588827747
1500002O20Rik	1	1	30	12	0.65935586025302
1500003O03Rik	1	0.732142857142857	24	12	12.9517213576034
1500004A13Rik	1	1	30	12	0.302120564650108
1500009C09Rik	1	1	0	0	0
1500009L16Rik	0.0915635430442723	0.0208333333333333	24	3	0.203084603090682
1500010J02Rik	0.575277228238234	0.169642857142857	30	15	0.266763104270437
1500011B03Rik	1	0.732142857142857	24	6	0.399214810988395
1500011H22Rik	1	1	24	6	0.365445158885878
1500011K16Rik	1	1	30	3	0.293060405462764
1500012F01Rik	1	1	24	6	1.74982765392767
1500012K07Rik	1	1	0	0	0
1500015A07Rik	0.0915635430442723	0.0208333333333333	24	6	0.0914289068074209
1500015L24Rik	1	1	0	0	0
1500015O10Rik	1	1	24	6	0.0819036127794129
1500016L03Rik	1	1	0	0	0
1500017E21Rik	0.0915635430442723	0.0208333333333333	24	6	0.0943988259990822
1500031L02Rik	1	0.732142857142857	24	6	0.790287287391428
1500032L24Rik	1	1	30	18	5.88524973981564
1520402A15Rik	1	0.732142857142857	24	0	0.164874320402314
1600002D24Rik	1	1	24	6	0.0446086091086127
1600002H07Rik	1	0.732142857142857	24	12	0.079072215806186
1600002K03Rik	1	1	24	6	0.705024351715953
1600010M07Rik	1	1	0	0	0
1600012F09Rik	0.575277228238234	0.169642857142857	30	0	0.543128718629387
1600012H06Rik	1	1	24	12	0.437264226884044
1600014C10Rik	1	1	30	27	0.63255651324605
1600014C23Rik	1	1	0	0	0
1600014K23Rik	1	1	0	0	0
1600015I10Rik	0.575277228238234	0.169642857142857	24	15	0.0251937549942689
1600016N20Rik	1	1	30	3	0.278960696245905
1600019K03Rik	1	1	0	0	0
1600020E01Rik	1	0.732142857142857	24	12	2.40613234841987
1600021P15Rik	1	0.732142857142857	24	12	0.616614790864199
1600025M17Rik	1	1	0	0	0
1600027N09Rik	1	0.732142857142857	24	12	0.899729739449575
1600029D21Rik	1	0.732142857142857	24	6	1.90355620369153
1600029I14Rik	0.0915635430442723	0.0208333333333333	24	18	0.222923898050433
1600029O15Rik	0.0915635430442723	0.0208333333333333	24	12	0.0652139481997621
1700001C02Rik	1	1	0	0	0
1700001C19Rik	0.0915635430442723	0.0208333333333333	24	12	0.160110542017461
1700001D01Rik	1	1	24	0	0.245620611512959
1700001F09Rik	1	1	0	0	0
1700001G11Rik	1	1	0	0	0
1700001G17Rik	1	1	30	0	0.0512106529925171
1700001J03Rik	1	1	24	12	0.107338455830727
1700001J11Rik	1	1	24	6	0.0642226552032167
1700001K19Rik	0.0915635430442723	0.0208333333333333	24	3	0.233604392426866
1700001K23Rik	0.0915635430442723	0.0208333333333333	24	0	0.176700681317659
1700001L05Rik	1	0.732142857142857	24	12	0.357580363712131
1700001L19Rik	1	1	0	0	0
1700001O22Rik	1	0.732142857142857	24	12	0.163455157092473
1700001P01Rik	0.575277228238234	0.169642857142857	24	21	0.309897325029598
1700003C15Rik	1	1	0	0	0
1700003D09Rik	1	1	30	12	0.91737205364018
1700003E16Rik	1	0.732142857142857	24	0	0.0798521545858345
1700003F12Rik	1	1	30	12	0.0898329668022826
1700003F17Rik	1	1	0	0	0
1700003G13Rik	1	1	0	0	0
1700003G18Rik	1	1	0	0	0
1700003H04Rik	1	1	0	0	0
1700003L19Rik	1	1	0	0	0
1700003M02Rik	1	1	0	0	0
1700003M07Rik	1	1	30	21	0.0115353157642086
1700003P14Rik	1	1	0	0	0
1700006A11Rik	1	1	0	0	0
1700006E09Rik	1	1	0	0	0
1700006F04Rik	1	1	0	0	0
1700006H21Rik	1	1	0	0	0
1700007B14Rik	1	1	0	0	0
1700007F19Rik	1	1	0	0	0
1700007G11Rik	1	1	30	0	0.106818378793165
1700007I08Rik	0.0915635430442723	0.0208333333333333	24	15	0.14870384897675
1700007J10Rik	1	1	30	12	0.0901278303300373
1700007K09Rik	1	1	0	0	0
1700007K13Rik	1	1	0	0	0
1700007L15Rik	1	0.732142857142857	24	12	0.148480756787285
1700007P06Rik	0.575277228238234	0.169642857142857	24	15	0.093321230619893
1700008A04Rik	1	1	0	0	0
1700008F21Rik	1	1	0	0	0
1700008I05Rik	1	1	30	0	0.0222274066918523
1700008J07Rik	1	1	24	6	0.25883290171943
1700008K24Rik	1	1	0	0	0
1700008O03Rik	0.575277228238234	0.169642857142857	24	0	0.0768153077373335
1700008P02Rik	1	1	0	0	0
1700008P20Rik	1	1	0	0	0
1700009C05Rik	1	1	0	0	0
1700009J07Rik	1	1	0	0	0
1700009N14Rik	1	1	0	0	0
1700009P17Rik	1	1	24	0	0.248735063330695
1700010B08Rik	1	1	0	0	0
1700010D01Rik	1	1	0	0	0
1700010I02Rik	1	1	0	0	0
1700010I14Rik	1	0.732142857142857	24	12	0.122115926897354
1700010J16Rik	1	1	0	0	0
1700010K23Rik	1	1	0	0	0
1700010M22Rik	1	1	30	0	0.06436234414784
1700011A15Rik	1	1	0	0	0
1700011B04Rik	1	1	0	0	0
1700011E24Rik	1	1	24	6	0.0871649822061876
1700011F03Rik	1	1	0	0	0
1700011F14Rik	1	1	0	0	0
1700011H14Rik	1	0.732142857142857	24	18	3.29197097515303
1700011I03Rik	1	1	0	0	0
1700011J10Rik	1	1	24	6	0.169458140111356
1700011L22Rik	0.575277228238234	0.169642857142857	24	21	0.0679284957773982
1700011M02Rik	1	1	0	0	0
1700012A03Rik	1	1	0	0	0
1700012A16Rik	0.0915635430442723	0.0208333333333333	24	9	0.0670969382027228
1700012B07Rik	1	1	30	9	0.01216068100149
1700012B09Rik	1	1	0	0	0
1700012B15Rik	0.575277228238234	0.169642857142857	30	0	0.343957951572573
1700012D01Rik	1	1	24	6	0.114412705623108
1700012D14Rik	1	1	30	27	0.224561557355661
1700012I11Rik	1	1	0	0	0
1700012L04Rik	0.0915635430442723	0.0208333333333333	24	12	0.575023830654978
1700012P22Rik	1	1	0	0	0
1700013D24Rik	1	1	0	0	0
1700013F07Rik	1	1	0	0	0
1700013G23Rik	1	1	0	0	0
1700013G24Rik	1	1	0	0	0
1700013H16Rik	1	1	0	0	0
1700013N18Rik	1	0.732142857142857	24	6	0.065340909222324
1700014N06Rik	1	1	0	0	0
1700015E13Rik	1	1	24	6	0.88451280151844
1700015F17Rik	1	1	0	0	0
1700015G11Rik	1	1	0	0	0
1700016C15Rik	1	0.732142857142857	24	12	1.40622184153212
1700016D06Rik	1	1	0	0	0
1700016G22Rik	1	1	0	0	0
1700016H13Rik	1	1	0	0	0
1700016K19Rik	0.575277228238234	0.169642857142857	24	21	0.0512818586453826
1700016L04Rik	1	1	0	0	0
1700016L21Rik	1	1	0	0	0
1700016M24Rik	1	1	0	0	0
1700016P04Rik	1	1	0	0	0
1700017B05Rik	1	0.732142857142857	24	18	2.93649778964884
1700017D01Rik	1	1	0	0	0
1700017G19Rik	0.575277228238234	0.169642857142857	24	6	0.0183680178801361
1700017J07Rik	1	1	0	0	0
1700017N19Rik	1	1	0	0	0
1700018A04Rik	0.575277228238234	0.169642857142857	30	15	0.0991066722375441
1700018B08Rik	1	1	0	0	0
1700018B24Rik	1	1	0	0	0
1700018C11Rik	1	1	0	0	0
1700018F24Rik	1	1	0	0	0
1700018G05Rik	1	1	0	0	0
1700018L02Rik	1	1	30	27	0.250315800540038
1700018L24Rik	1	0.732142857142857	24	0	0.0541848855355439
1700019A02Rik	1	1	0	0	0
1700019B03Rik	1	1	0	0	0
1700019B21Rik	1	1	0	0	0
1700019D03Rik	0.0915635430442723	0.0208333333333333	24	9	0.96894488672602
1700019E08Rik	1	1	0	0	0
1700019E19Rik	0.0915635430442723	0.0208333333333333	24	12	1.96798423805934
1700019G17Rik	0.0915635430442723	0.0208333333333333	24	6	5.26094516270603
1700019G24Rik	1	1	0	0	0
1700019L03Rik	0.0915635430442723	0.0208333333333333	24	15	0.237906076530214
1700019M22Rik	1	1	0	0	0
