gene_id	q1_FPKM	q2_FPKM	q3_FPKM	q4_FPKM	q1_FPKMr	q2_FPKMr	q3_FPKMr	q4_FPKMr
0610005C13Rik	42.3248	90.0548	58.472	33.0997	42.3248	90.0548	58.472	33.0997
0610007C21Rik	69.5387	65.9222	64.5194	53.7944	69.5387	65.9222	64.5194	53.7944
0610007L01Rik	9.0729	9.29366	8.62519	7.60749	9.0729	9.29366	8.62519	7.60749
0610007N19Rik	6.30459	9.80456	7.29856	6.4871	6.30459	9.80456	7.29856	6.4871
0610007P08Rik	1.01314	1.1118	1.01785	1.14966	1.01314	1.1118	1.01785	1.14966
0610007P14Rik	105.991	98.6213	144.183	137.04	105.991	98.6213	144.183	137.04
0610007P22Rik	7.34177	6.2135	6.23363	5.32224	7.34177	6.2135	6.23363	5.32224
0610008F07Rik	4.16384	4.73131	2.57725	5.37997	4.16384	4.73131	2.57725	5.37997
0610009B14Rik	0	0.106873	0.0344819	0.0619699	0	0.106873	0.0344819	0.0619699
0610009B22Rik	18.9689	13.185	14.8303	16.446	18.9689	13.185	14.8303	16.446
0610009D07Rik	59.5398	56.8695	53.0718	46.7653	59.5398	56.8695	53.0718	46.7653
0610009L18Rik	2.68679	1.60634	2.07309	2.84907	2.68679	1.60634	2.07309	2.84907
0610009O20Rik	6.40408	6.44476	6.091	6.03304	6.40408	6.44476	6.091	6.03304
0610010B08Rik	0.356976	0.231432	0.322105	0.299964	0.356976	0.231432	0.322105	0.299964
0610010F05Rik	1.31856	1.38437	1.49638	1.05483	1.31856	1.38437	1.49638	1.05483
0610010K14Rik	22.1598	22.0044	20.3404	20.0142	22.1598	22.0044	20.3404	20.0142
0610010O12Rik	443.73	392.498	423.018	482.328	443.73	392.498	423.018	482.328
0610011F06Rik	54.9803	60.8609	54.0886	43.7279	54.9803	60.8609	54.0886	43.7279
0610011L14Rik	7.24487	8.10748	6.26306	6.93683	7.24487	8.10748	6.26306	6.93683
0610012G03Rik	25.6822	25.1466	25.6265	22.7937	25.6822	25.1466	25.6265	22.7937
0610012H03Rik	0.236226	0.330343	0.193785	0.226362	0.236226	0.330343	0.193785	0.226362
0610030E20Rik	8.18493	7.63783	8.72817	10.1295	8.18493	7.63783	8.72817	10.1295
0610031J06Rik	85.496	81.6476	87.5975	71.2581	85.496	81.6476	87.5975	71.2581
0610031O16Rik	0	0	0	0	0	0	0	0
0610037L13Rik	9.28909	9.39772	9.19048	8.52921	9.28909	9.39772	9.19048	8.52921
