tracking_id	q5_FPKM	q6_FPKM	q7_FPKM	q8_FPKM	q5_FPKMr	q6_FPKMr	q7_FPKMr	q8_FPKMr
0610005C13Rik	13.1905	65.4178	42.4592	12.725	13.1905	65.4178	42.4592	12.725
0610007C21Rik	49.334	58.035	49.9091	42.9977	49.334	58.035	49.9091	42.9977
0610007L01Rik	10.0512	12.1437	10.487	9.86524	10.0512	12.1437	10.487	9.86524
0610007N19Rik	4.67174	9.75426	7.09168	3.52791	4.67174	9.75426	7.09168	3.52791
0610007P08Rik	1.66887	0.679737	1.01051	1.02157	1.66887	0.679737	1.01051	1.02157
0610007P14Rik	81.2657	76.1905	128.478	92.2396	81.2657	76.1905	128.478	92.2396
0610007P22Rik	7.27708	8.65099	6.37618	8.39033	7.27708	8.65099	6.37618	8.39033
0610008F07Rik	3.55762	4.79698	3.77194	0.669431	3.55762	4.79698	3.77194	0.669431
0610009B14Rik	0.226184	0	0	0.0830946	0.226184	0	0	0.0830946
0610009B22Rik	22.6184	17.0672	15.3865	21.9287	22.6184	17.0672	15.3865	21.9287
0610009D07Rik	49.1203	67.3977	52.8629	45.9059	49.1203	67.3977	52.8629	45.9059
0610009L18Rik	1.60709	3.11735	5.65532	2.36162	1.60709	3.11735	5.65532	2.36162
0610009O20Rik	7.13549	8.15113	6.67789	5.56588	7.13549	8.15113	6.67789	5.56588
0610010B08Rik	0.254857	0.333694	0.142439	0.280885	0.254857	0.333694	0.142439	0.280885
0610010F05Rik	0.88424	0.612574	0.90647	0.788918	0.88424	0.612574	0.90647	0.788918
0610010K14Rik	21.1357	33.0261	22.4501	12.9632	21.1357	33.0261	22.4501	12.9632
0610010O12Rik	379.256	407.346	437.301	468.298	379.256	407.346	437.301	468.298
0610011F06Rik	39.4705	59.4161	42.1001	34.2373	39.4705	59.4161	42.1001	34.2373
0610011L14Rik	7.07053	9.81537	7.17338	7.572	7.07053	9.81537	7.17338	7.572
0610012G03Rik	24.2354	40.0227	31.1308	27.3843	24.2354	40.0227	31.1308	27.3843
0610012H03Rik	1.52147	0.985651	0.837831	1.02473	1.52147	0.985651	0.837831	1.02473
0610030E20Rik	8.15501	6.78463	9.83424	9.9636	8.15501	6.78463	9.83424	9.9636
0610031J06Rik	60.2177	115.741	95.6654	82.3305	60.2177	115.741	95.6654	82.3305
