tracking_id	q27_FPKM	q28_FPKM	q29_FPKM	q30_FPKM	q31_FPKM	q32_FPKM	q27_FPKMr	q28_FPKMr	q29_FPKMr	q30_FPKMr	q31_FPKMr	q32_FPKMr
0610005C13Rik	24.7773	22.0555	42.4739	71.4764	45.9174	20.546	24.7773	22.0555	42.4739	71.4764	45.9174	20.546
0610007C21Rik	32.8398	46.445	47.4877	44.4379	30.861	38.3806	32.8398	46.445	47.4877	44.4379	30.861	38.3806
0610007L01Rik	9.93183	8.79172	10.0728	9.61994	7.62219	8.65876	9.93183	8.79172	10.0728	9.61994	7.62219	8.65876
0610007N19Rik	3.10718	2.99267	3.54647	4.86263	3.04975	2.80951	3.10718	2.99267	3.54647	4.86263	3.04975	2.80951
0610007P08Rik	0.890991	1.16005	0.847465	0.807962	0.811794	0.965081	0.890991	1.16005	0.847465	0.807962	0.811794	0.965081
0610007P14Rik	76.6393	96.7829	82.9756	108.575	111.698	105.959	76.6393	96.7829	82.9756	108.575	111.698	105.959
0610007P22Rik	5.15322	5.23066	5.09236	5.572	4.02772	4.2206	5.15322	5.23066	5.09236	5.572	4.02772	4.2206
0610008F07Rik	3.30828	1.64034	1.14424	1.35454	2.92859	1.40219	3.30828	1.64034	1.14424	1.35454	2.92859	1.40219
0610009B14Rik	0.0599612	0	0	0	0	0	0.0599612	0	0	0	0	0
0610009B22Rik	22.7191	25.3986	20.0183	16.9979	16.4086	19.8522	22.7191	25.3986	20.0183	16.9979	16.4086	19.8522
0610009D07Rik	39.3219	49.3568	44.3643	44.623	36.3976	42.9512	39.3219	49.3568	44.3643	44.623	36.3976	42.9512
0610009L18Rik	2.22237	2.89322	3.07462	1.84873	2.48501	2.36829	2.22237	2.89322	3.07462	1.84873	2.48501	2.36829
0610009O20Rik	7.01248	5.71359	6.08788	5.33102	6.40331	5.08934	7.01248	5.71359	6.08788	5.33102	6.40331	5.08934
0610010B08Rik	0.0918431	0.0783968	0.105887	0.0891358	0.102698	0.103806	0.0918431	0.0783968	0.105887	0.0891358	0.102698	0.103806
0610010F05Rik	1.03393	1.03609	1.24774	0.920287	1.03046	0.93742	1.03393	1.03609	1.24774	0.920287	1.03046	0.93742
0610010K14Rik	15.7168	15.0093	14.6927	17.2322	15.8487	15.4929	15.7168	15.0093	14.6927	17.2322	15.8487	15.4929
0610010O12Rik	464.114	413.515	448.839	481.241	531.268	572.947	464.114	413.515	448.839	481.241	531.268	572.947
0610011F06Rik	28.2166	35.1412	38.5355	31.3623	29.2803	28.6288	28.2166	35.1412	38.5355	31.3623	29.2803	28.6288
0610011L14Rik	6.85263	7.75689	6.48366	6.28353	6.02968	7.0749	6.85263	7.75689	6.48366	6.28353	6.02968	7.0749
0610012G03Rik	18.854	20.1723	20.1057	21.1944	19.9912	19.6396	18.854	20.1723	20.1057	21.1944	19.9912	19.6396
0610012H03Rik	0.303609	0.42529	0.854754	0.441992	0.106283	0.240206	0.303609	0.42529	0.854754	0.441992	0.106283	0.240206
0610030E20Rik	10.2258	8.59222	7.29468	7.89393	10.7085	8.98993	10.2258	8.59222	7.29468	7.89393	10.7085	8.98993
0610031J06Rik	71.0952	79.2695	92.6072	87.3183	73.6445	78.9585	71.0952	79.2695	92.6072	87.3183	73.6445	78.9585
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	7.80299	7.60861	8.26661	7.15932	6.37892	6.30321	7.80299	7.60861	8.26661	7.15932	6.37892	6.30321
0610037P05Rik	17.508	17.587	18.2795	20.699	16.4968	15.9659	17.508	17.587	18.2795	20.699	16.4968	15.9659
0610038B21Rik	0.0334799	0.0234034	0	0.0365546	0	0	0.0334799	0.0234034	0	0.0365546	0	0
0610038L08Rik	0.26987	0.404323	0.480037	0.420934	0.387983	0.196084	0.26987	0.404323	0.480037	0.420934	0.387983	0.196084
0610039K10Rik	0.590022	0.247712	0.183665	0.257683	0.263902	0.0600184	0.590022	0.247712	0.183665	0.257683	0.263902	0.0600184
0610040B10Rik	1.29481	1.69089	0.959656	0.605881	0.827336	1.12895	1.29481	1.69089	0.959656	0.605881	0.827336	1.12895
0610040F04Rik	0.36132	0.0531395	0.434829	0.528704	0.404022	0.0587402	0.36132	0.0531395	0.434829	0.528704	0.404022	0.0587402
0610040J01Rik	32.3551	33.342	40.0665	57.9991	52.4595	47.1024	32.3551	33.342	40.0665	57.9991	52.4595	47.1024
0610043K17Rik	0.212161	0.223091	0.440284	0	0.118618	0.107908	0.212161	0.223091	0.440284	0	0.118618	0.107908
0910001L09Rik	39.2092	46.5928	43.6047	44.6683	40.1103	40.9499	39.2092	46.5928	43.6047	44.6683	40.1103	40.9499
100043387	0.249359	0.13072	0.161712	0.13613	0.139415	0.380481	0.249359	0.13072	0.161712	0.13613	0.139415	0.380481
1100001G20Rik	0.559595	0.655863	0.387097	0.610987	0.208577	0.758977	0.559595	0.655863	0.387097	0.610987	0.208577	0.758977
1110001A16Rik	5.19385	5.94405	5.16722	5.65602	4.39352	5.37576	5.19385	5.94405	5.16722	5.65602	4.39352	5.37576
1110001J03Rik	40.5247	40.0228	40.1378	38.2128	42.2245	33.7277	40.5247	40.0228	40.1378	38.2128	42.2245	33.7277
1110002B05Rik	83.6918	95.2145	63.5807	78.0578	114.046	92.247	83.6918	95.2145	63.5807	78.0578	114.046	92.247
1110002L01Rik	0.89991	0.738347	0.637329	0.56146	0.734733	0.668394	0.89991	0.738347	0.637329	0.56146	0.734733	0.668394
1110002N22Rik	1.46711	1.85222	1.5223	0.889916	0.956961	0.994921	1.46711	1.85222	1.5223	0.889916	0.956961	0.994921
1110003E01Rik	32.2987	35.9067	35.8309	32.5187	29.4921	30.1051	32.2987	35.9067	35.8309	32.5187	29.4921	30.1051
1110004E09Rik	6.3946	4.44001	4.05746	4.01834	5.04125	5.522	6.3946	4.44001	4.05746	4.01834	5.04125	5.522
1110004F10Rik	18.7151	24.4909	21.1044	21.8042	20.4729	21.2904	18.7151	24.4909	21.1044	21.8042	20.4729	21.2904
