tracking_id	q17_FPKM	q18_FPKM	q19_FPKM	q20_FPKM	q17_FPKMr	q18_FPKMr	q19_FPKMr	q20_FPKMr
0610005C13Rik	16.1308	39.1214	45.4293	23.5851	16.1308	39.1214	45.4293	23.5851
0610007C21Rik	12.8635	16.5299	18.8158	15.9718	12.8635	16.5299	18.8158	15.9718
0610007L01Rik	8.619	10.9788	10.6512	9.34854	8.619	10.9788	10.6512	9.34854
0610007N19Rik	2.32351	3.52767	3.34893	3.32581	2.32351	3.52767	3.34893	3.32581
0610007P08Rik	2.07544	2.59823	2.41112	2.41348	2.07544	2.59823	2.41112	2.41348
0610007P14Rik	37.2068	38.9289	45.27	38.6217	37.2068	38.9289	45.27	38.6217
0610007P22Rik	3.82335	2.79175	3.13373	3.15163	3.82335	2.79175	3.13373	3.15163
0610008F07Rik	1.93556	1.93292	2.06511	1.65323	1.93556	1.93292	2.06511	1.65323
0610009B14Rik	0.494442	0.0799433	0.520729	0.119658	0.494442	0.0799433	0.520729	0.119658
0610009B22Rik	5.05032	9.36051	8.93678	7.30342	5.05032	9.36051	8.93678	7.30342
0610009D07Rik	14.4864	20.6553	18.0695	18.5884	14.4864	20.6553	18.0695	18.5884
0610009L18Rik	0.176024	0.711505	1.44186	1.70395	0.176024	0.711505	1.44186	1.70395
0610009O20Rik	5.03294	7.07373	6.62084	6.66715	5.03294	7.07373	6.62084	6.66715
0610010B08Rik	0.18344	0.161778	0.234173	0.242146	0.18344	0.161778	0.234173	0.242146
0610010F05Rik	1.96547	1.67802	1.4939	1.54477	1.96547	1.67802	1.4939	1.54477
0610010K14Rik	10.0445	10.2821	11.0932	7.61527	10.0445	10.2821	11.0932	7.61527
0610010O12Rik	103.577	132.704	152.489	103.613	103.577	132.704	152.489	103.613
0610011F06Rik	15.5878	15.5095	12.9789	10.8092	15.5878	15.5095	12.9789	10.8092
0610011L14Rik	4.55667	4.81095	4.56505	4.14612	4.55667	4.81095	4.56505	4.14612
0610012G03Rik	7.78052	9.01864	8.36824	8.09936	7.78052	9.01864	8.36824	8.09936
0610012H03Rik	0.259899	0.672762	0.259154	0.251588	0.259899	0.672762	0.259154	0.251588
0610030E20Rik	10.2969	8.89144	11.2568	10.5244	10.2969	8.89144	11.2568	10.5244
0610031J06Rik	43.1674	48.1706	44.8198	38.8793	43.1674	48.1706	44.8198	38.8793
0610031O16Rik	0	0	0	0	0	0	0	0
0610037L13Rik	4.14259	3.6969	4.06065	4.06871	4.14259	3.6969	4.06065	4.06871
0610037P05Rik	8.09476	10.2009	9.99473	9.8669	8.09476	10.2009	9.99473	9.8669
0610038B21Rik	0.164838	0.0444195	0.289337	0.398918	0.164838	0.0444195	0.289337	0.398918
0610038L08Rik	0.949963	1.33114	1.96388	1.53264	0.949963	1.33114	1.96388	1.53264
0610039K10Rik	0.778317	1.17976	2.10617	1.47154	0.778317	1.17976	2.10617	1.47154
0610040B10Rik	0.624559	0.252453	0.365425	0	0.624559	0.252453	0.365425	0
0610040F04Rik	0.267569	0.405936	0	0	0.267569	0.405936	0	0
0610040J01Rik	18.9525	22.1038	27.7732	17.2787	18.9525	22.1038	27.7732	17.2787
0610043K17Rik	0.88227	0.285297	0.103242	0.320271	0.88227	0.285297	0.103242	0.320271
0910001L09Rik	11.7789	14.1524	13.3409	10.9184	11.7789	14.1524	13.3409	10.9184
100043387	0.613599	0.537382	0.688106	0.989962	0.613599	0.537382	0.688106	0.989962
1100001G20Rik	0	0	0.368613	0.190582	0	0	0.368613	0.190582
1110001A16Rik	2.43262	2.79695	3.18943	2.84183	2.43262	2.79695	3.18943	2.84183
1110001J03Rik	12.7483	18.8524	16.1914	14.4852	12.7483	18.8524	16.1914	14.4852
1110002B05Rik	31.2032	29.1607	33.4323	33.4581	31.2032	29.1607	33.4323	33.4581
1110002L01Rik	1.16802	1.07644	1.14811	1.272	1.16802	1.07644	1.14811	1.272
1110002N22Rik	1.60734	1.24526	1.48903	1.33714	1.60734	1.24526	1.48903	1.33714
1110003E01Rik	15.5959	19.7681	16.9883	15.2603	15.5959	19.7681	16.9883	15.2603
1110004E09Rik	4.76754	4.0377	5.26896	4.48689	4.76754	4.0377	5.26896	4.48689
1110004F10Rik	13.4575	12.0065	11.066	10.8193	13.4575	12.0065	11.066	10.8193
1110005A03Rik	2.08746	4.28918	3.66407	3.73621	2.08746	4.28918	3.66407	3.73621
1110006O24Rik	1.16213	1.98336	0.453302	0.781227	1.16213	1.98336	0.453302	0.781227
1110007C09Rik	21.109	24.4205	22.9269	18.2027	21.109	24.4205	22.9269	18.2027
1110008F13Rik	9.61412	11.1726	14.1633	12.3604	9.61412	11.1726	14.1633	12.3604
1110008J03Rik	1.96137	1.26999	1.63145	1.34625	1.96137	1.26999	1.63145	1.34625
1110008L16Rik	1.76295	1.86682	2.04845	2.14824	1.76295	1.86682	2.04845	2.14824
1110008P14Rik	6.92736	9.63757	8.95461	8.77217	6.92736	9.63757	8.95461	8.77217
1110012J17Rik	0.494299	0.432899	0.476	0.598124	0.494299	0.432899	0.476	0.598124
