CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
0610005C13Rik	NaN	NaN	14	1.44516104490539	20.7920792079208	0.235708113908196	4	1	0.111111111111111	0.556186357388683
0610007C21Rik	NaN	NaN	1	1.15736397541721	28	0.314313628268467	4	1	0.111111111111111	0.556186357388683
0610007L01Rik	NaN	NaN	1	1.43804025591992	28	0.237392531723964	4	1	0.111111111111111	0.556186357388683
0610007N19Rik	NaN	NaN	16	1.34390477202146	20	0.260825214556467	4	1	0.111111111111111	0.556186357388683
0610007P08Rik	NaN	NaN	1	0.212312156034883	28	0.808712213763369	4	1	0.111111111111111	1
0610007P14Rik	NaN	NaN	12	1.49968800771413	21.6494845360825	0.223199785897925	4	1	0.111111111111111	0.556186357388683
0610007P22Rik	NaN	NaN	1	1.00244201594457	28	0.366982169731906	4	1	0.111111111111111	0.586417814087262
0610008F07Rik	NaN	NaN	16	0.845537889554561	20	0.429326365924411	4	1	0.111111111111111	0.639399439852726
0610009B14Rik	NaN	NaN	16	0.620044187154505	20	0.537920667885857	4	1	0.111111111111111	0.744638411010336
0610009B22Rik	NaN	NaN	6	1.14710386220077	24.7058823529412	0.317555122291872	4	1	0.111111111111111	0.556186357388683
0610009D07Rik	NaN	NaN	1	1.35592991903488	28	0.257707535848041	4	1	0.111111111111111	0.556186357388683
0610009L18Rik	NaN	NaN	9	1.46931332706774	23.0769230769231	0.230083423013447	4	1	0.111111111111111	0.556186357388683
0610009O20Rik	NaN	NaN	7	1.4996690339166	24.1379310344828	0.223204020885649	4	1	0.111111111111111	0.556186357388683
0610010B08Rik	NaN	NaN	16	0.821103148353762	20	0.439946060941502	4	1	0.111111111111111	0.648243299701176
0610010F05Rik	NaN	NaN	3	1.02900444059691	26.5822784810127	0.357362559186113	4	1	0.111111111111111	0.578601837810118
0610010K14Rik	NaN	NaN	3	1.49986355772824	26.5822784810127	0.223160606611423	4	1	0.111111111111111	0.556186357388683
0610010O12Rik	NaN	NaN	6	1.49534339262656	24.7058823529412	0.224171612633171	4	1	0.111111111111111	0.556186357388683
0610011F06Rik	NaN	NaN	4	1.47242411506137	25.9259259259259	0.229368794368996	4	1	0.111111111111111	0.556186357388683
0610011L14Rik	NaN	NaN	16	1.44105459768368	20	0.236678026923029	4	1	0.111111111111111	0.556186357388683
0610012G03Rik	NaN	NaN	1	0.917441385163546	28	0.399540003383307	4	1	0.111111111111111	0.61448169436835
0610012H03Rik	NaN	NaN	16	1.3792692549432	20	0.251762460030172	4	1	0.111111111111111	0.556186357388683
0610030E20Rik	NaN	NaN	3	1.46499410205143	26.5822784810127	0.231079354367459	4	1	0.111111111111111	0.556186357388683
0610031J06Rik	NaN	NaN	1	0.670746003819819	28	0.511326983585942	4	1	0.111111111111111	0.717733640207552
0610031O16Rik	NaN	NaN	NA	NA	NA	1	4	1	NA	1
0610037L13Rik	NaN	NaN	1	1.35096938106075	28	0.25898907981168	4	1	0.111111111111111	0.556186357388683
0610037P05Rik	NaN	NaN	16	1.21235749986168	20	0.297495107395326	4	1	0.111111111111111	0.556186357388683
0610038B21Rik	NaN	NaN	1	1.38974703400969	28	0.249138320182826	4	1	0.111111111111111	0.556186357388683
0610038L08Rik	NaN	NaN	1	1.44584123946822	28	0.235547841045246	4	1	0.111111111111111	0.556186357388683
0610039K10Rik	NaN	NaN	8	1.49187120249509	23.5955056179775	0.224951331977853	4	1	0.111111111111111	0.556186357388683
0610040B10Rik	NaN	NaN	16	1.27212254616207	20	0.28023617585167	4	1	0.111111111111111	0.556186357388683
0610040F04Rik	NaN	NaN	1	1.4813640956235	28	0.227327380502274	4	1	0.111111111111111	0.556186357388683
0610040J01Rik	NaN	NaN	6	1.46952439397465	24.7058823529412	0.230034865141682	4	1	0.111111111111111	0.556186357388683
0610043K17Rik	NaN	NaN	11	1.49940766656192	22.1052631578947	0.223262366754662	4	1	0.111111111111111	0.556186357388683
0910001L09Rik	NaN	NaN	5	1.16784364121865	25.3012048192771	0.311036925848681	4	1	0.111111111111111	0.556186357388683
100043387	NaN	NaN	7	1.44109832996829	24.1379310344828	0.236667676678515	4	1	0.111111111111111	0.556186357388683
1100001G20Rik	NaN	NaN	3	1.37582749502239	26.5822784810127	0.252630458839587	4	1	0.111111111111111	0.556186357388683
1110001A16Rik	NaN	NaN	1	0.739818834688325	28	0.477200359842364	4	1	0.111111111111111	0.683325668399048
1110001J03Rik	NaN	NaN	16	1.20936948434509	20	0.298385356769441	4	1	0.111111111111111	0.556186357388683
1110002B05Rik	NaN	NaN	16	1.38567264404374	20	0.250155477595567	4	1	0.111111111111111	0.556186357388683
1110002L01Rik	NaN	NaN	10	1.49268968277994	22.5806451612903	0.224767289075598	4	1	0.111111111111111	0.556186357388683
1110002N22Rik	NaN	NaN	9	1.49523628756604	23.0769230769231	0.224195623833145	4	1	0.111111111111111	0.556186357388683
1110003E01Rik	NaN	NaN	1	1.16677288503279	28	0.311370148929563	4	1	0.111111111111111	0.556186357388683
1110004E09Rik	NaN	NaN	15	1.47974199239536	20.3883495145631	0.227696428215854	4	1	0.111111111111111	0.556186357388683
1110004F10Rik	NaN	NaN	16	0.40759011617825	20	0.665251498774074	4	1	0.111111111111111	0.880805100511171
1110005A03Rik	NaN	NaN	16	0.631433657408135	20	0.531828793901955	4	1	0.111111111111111	0.738387310319633
1110006O24Rik	NaN	NaN	4	1.15382587254798	25.9259259259259	0.315427671856742	4	1	0.111111111111111	0.556186357388683
1110007C09Rik	NaN	NaN	16	1.44616365248942	20	0.235471909595478	4	1	0.111111111111111	0.556186357388683
1110008F13Rik	NaN	NaN	5	1.46388037575209	25.3012048192771	0.231336856888701	4	1	0.111111111111111	0.556186357388683
1110008J03Rik	NaN	NaN	16	0.801207660686564	20	0.448786654720702	4	1	0.111111111111111	0.656611569104886
1110008L16Rik	NaN	NaN	6	1.49927575060761	24.7058823529412	0.223291820565505	4	1	0.111111111111111	0.556186357388683
1110008P14Rik	NaN	NaN	1	0.575653177132086	28	0.562337442864712	4	1	0.111111111111111	0.771498602818834
1110012J17Rik	NaN	NaN	3	1.44010662711101	26.5822784810127	0.236902497106504	4	1	0.111111111111111	0.556186357388683
1110012L19Rik	NaN	NaN	4	1.47159522078301	25.9259259259259	0.229558995667777	4	1	0.111111111111111	0.556186357388683
1110014N23Rik	NaN	NaN	5	1.19227356911678	25.3012048192771	0.30353038167809	4	1	0.111111111111111	0.556186357388683
1110015O18Rik	NaN	NaN	NA	NA	NA	1	4	1	NA	1
1110017D15Rik	NaN	NaN	11	1.49641465048363	22.1052631578947	0.223931595614816	4	1	0.111111111111111	0.556186357388683
1110017F19Rik	NaN	NaN	10	1.46799358789062	22.5806451612903	0.23038727357845	4	1	0.111111111111111	0.556186357388683
1110018G07Rik	NaN	NaN	5	1.33969667539792	25.3012048192771	0.261925104860436	4	1	0.111111111111111	0.556186357388683
1110018J18Rik	NaN	NaN	4	1.39061104712323	25.9259259259259	0.248923154373529	4	1	0.111111111111111	0.556186357388683
1110019D14Rik	NaN	NaN	9	1.32409067721287	23.0769230769231	0.266044769701802	4	1	0.111111111111111	0.556186357388683
1110020A21Rik	NaN	NaN	16	1.35127605158973	20	0.258909667670876	4	1	0.111111111111111	0.556186357388683
1110020G09Rik	NaN	NaN	1	1.00834977349515	28	0.364820519587308	4	1	0.111111111111111	0.584411220710615
1110021J02Rik	NaN	NaN	16	1.19184865265403	20	0.303659384139904	4	1	0.111111111111111	0.556186357388683
1110021L09Rik	NaN	NaN	10	1.45300485473202	22.5806451612903	0.233866496379113	4	1	0.111111111111111	0.556186357388683
1110028C15Rik	NaN	NaN	15	1.47028606769275	20.3883495145631	0.22985972034072	4	1	0.111111111111111	0.556186357388683
1110028F11Rik	NaN	NaN	16	0.815425781802716	20	0.442450899707974	4	1	0.111111111111111	0.650686583580966
1110028F18Rik	NaN	NaN	1	0.802683951486521	28	0.448124603921188	4	1	0.111111111111111	0.65605554820759
1110031I02Rik	NaN	NaN	1	1.09153554355527	28	0.335700614815266	4	1	0.111111111111111	0.564140966730299
1110032A03Rik	NaN	NaN	5	1.21875258013472	25.3012048192771	0.295598672691989	4	1	0.111111111111111	0.556186357388683
1110032A04Rik	NaN	NaN	1	1.38616056429519	28	0.250033451443973	4	1	0.111111111111111	0.556186357388683
1110032F04Rik	NaN	NaN	8	1.49956692425078	23.5955056179775	0.223226813337276	4	1	0.111111111111111	0.556186357388683
1110034A24Rik	NaN	NaN	16	0.56119159032304	20	0.570528822021178	4	1	0.111111111111111	0.780291792526553
1110034B05Rik	NaN	NaN	3	1.32352933559557	26.5822784810127	0.266194153626884	4	1	0.111111111111111	0.556186357388683
1110034G24Rik	NaN	NaN	16	1.45831350908166	20	0.232628269552944	4	1	0.111111111111111	0.556186357388683
1110035M17Rik	NaN	NaN	1	1.48520517629237	28	0.22645587253324	4	1	0.111111111111111	0.556186357388683
1110036E04Rik	NaN	NaN	1	0.464935922993903	28	0.628175355496152	4	1	0.111111111111111	0.840219178984589
1110037F02Rik	NaN	NaN	7	1.28225190353468	24.1379310344828	0.277411891717893	4	1	0.111111111111111	0.556186357388683
1110038B12Rik	NaN	NaN	1	0.752521390944289	28	0.47117703224584	4	1	0.111111111111111	0.67738962004711
1110038D17Rik	NaN	NaN	2	1.09194556303538	27.2727272727273	0.335562999238169	4	1	0.111111111111111	0.56395044439225
1110038F14Rik	NaN	NaN	7	1.49583732107632	24.1379310344828	0.22406091523661	4	1	0.111111111111111	0.556186357388683
1110046J04Rik	NaN	NaN	16	1.29860116974561	20	0.272913285510795	4	1	0.111111111111111	0.556186357388683
1110049F12Rik	NaN	NaN	1	1.39165605308086	28	0.248663164063588	4	1	0.111111111111111	0.556186357388683
1110050K14Rik	NaN	NaN	6	1.39007035213924	24.7058823529412	0.249057782267531	4	1	0.111111111111111	0.556186357388683
1110051M20Rik	NaN	NaN	1	0.270092926715041	28	0.763308559284047	4	1	0.111111111111111	0.987503147114577
1110054M08Rik	NaN	NaN	7	1.4774943232218	24.1379310344828	0.228208790052734	4	1	0.111111111111111	0.556186357388683
