CycID	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
0610005C13Rik	0	yule-walker	1	20.0267558528428	28.0492004346405	10.2108678762819	38.4183	0.974068693967213	0.922206081901639	0.575801837521473	0.161032003132256	1
0610007C21Rik	0	default	1	24	2.58840036505175	8.74037005555357	45.882	0.44564081256086	-0.66307756231742	0.0807985781087224	0.744553011839412	1
0610007L01Rik	0	default	1	24	0.319674398881112	2.941139854687	13.005075	0.253411339067249	-1.23976598279825	0.035579110728036	0.864053621561041	1
0610007N19Rik	1	yule-walker	1	20.3673469387755	1.46387858965478	12.4242876709176	3.1959975	0.904559797009611	0.713679391028833	0.359115741892796	0.308933978368177	1
0610007P08Rik	1	yule-walker	1	20.4368600682594	0.374945898245282	20.1776623534085	0.9521235	0.944664579478236	0.833993738434709	0.309313702915765	0.235234819960319	1
0610007P14Rik	0	default	1	24	9.97271555852768	7.29957658943035	89.456075	0.269023323469334	-1.192930029592	0.157648031384976	0.854971740194181	1
0610007P22Rik	1	yule-walker	1	20.0939597315436	0.643152999727508	3.27869123676371	7.420565	0.807067863798203	0.421203591394609	0.0967812250146293	0.439240408206937	1
0610008F07Rik	1	yule-walker	1	20.4368600682594	0.830753007486586	9.88418646793575	3.8052725	0.936919765346703	0.81075929604011	0.406135408358621	0.251157788358826	1
0610009B14Rik	0	default	1	24	0.00520870882596637	2.09071449933012	0.107633725	0.323105923032021	-1.03068223090394	0.0891886316831529	0.822735727295211	1
0610009B22Rik	1	yule-walker	1	20.4368600682594	5.12860198434179	1.67156580182153	20.923275	0.958926466833324	0.876779400499972	0.209034835700821	0.202666063184431	1
0610009D07Rik	0	default	1	24	3.55653229131973	4.3421207880575	52.89765	0.20481257633502	-1.38556227099494	0.117339680291467	0.891732820784892	1
0610009L18Rik	0	default	1	24	0.478619436063768	17.4918658312213	2.78819	0.202673721742943	-1.39197883477117	0.278261475438729	0.89293128417424	1
0610009O20Rik	0	default	1	24	0.508035714418779	20.2041897027263	6.4170025	0.358862813753007	-0.923411558740978	0.131500697374027	0.800710425963714	1
0610010B08Rik	0	default	1	24	0.0459763713827005	20.1628363418814	0.235596	0.353396262842642	-0.939811211472073	0.244653179377774	0.804116743487759	1
0610010F05Rik	0	default	1	24	0.0223413542243974	2.50975659855149	0.7122405	0.283486869429127	-1.14953939171262	0.22188123894944	0.846470986254622	1
0610010K14Rik	1	yule-walker	1	20.3673469387755	1.11546906747171	12.1981423134052	23.438275	0.930501701845512	0.791505105536535	0.0690545154476421	0.263625298775532	1
0610010O12Rik	0	default	1	24	93.5281992768491	1.96890386091228	635.17325	0.336991075120055	-0.989026774639835	0.180452945459882	0.814253599856915	1
0610011F06Rik	1	yule-walker	1	20.0267558528428	5.4109217674285	8.54809217825638	43.5565	0.79689835540595	0.390695066217852	0.0980912794490356	0.450667998191628	1
0610011L14Rik	0	yule-walker	1	20.5068493150685	0.866695269337283	0.71492406741991	6.7198975	0.999943716295648	0.999831148886944	0.0994655132847147	0.00750224662031018	1
0610012G03Rik	0	yule-walker	1	20.2297297297297	5.12572343549381	0.270173747479557	28.795225	0.982138185990684	0.946414557972053	0.165474936659953	0.13364809766441	1
0610012H03Rik	1	yule-walker	1	20.0939597315436	0.366401253475192	8.72989880006529	2.004775	0.814304888655005	0.442914665965016	0.16089322218542	0.430923556266068	1
0610030E20Rik	0	default	1	24	0.284853156008494	16.3555918623499	8.868495	0.204614900859332	-1.386155297422	0.0884513745688547	0.891843651735363	1
0610031J06Rik	0	default	1	24	2.36467626987289	4.54069777242636	90.589925	0.202329102237708	-1.39301269328688	0.0426311433834211	0.893124234226287	1
0610031O16Rik	NA	NA	NA	NA	0	NA	0	NA	NA	NA	1	1
0610037L13Rik	0	default	1	24	0.480916931808394	21.078333115733	11.665575	0.518182870957293	-0.44545138712812	0.0489016998096117	0.694130484161808	1
0610037P05Rik	0	default	1	24	0.587144114591981	0.730824616274117	17.882575	0.56605656153568	-0.301830315392959	0.062888856353468	0.658743833720149	1
0610038B21Rik	NA	NA	NA	NA	0	NA	0	NA	NA	NA	1	1
0610038L08Rik	0	default	1	24	0.0133556720673278	2.09078486199754	0.27599275	0.32309823951669	-1.03070528144993	0.0891884220597239	0.822740396773678	1
0610039K10Rik	0	default	1	24	0.043468657737846	14.1627635692814	0.07162475	0.315433595150912	-1.05369921454726	1.08096471549368	0.82738528198723	1
0610040B10Rik	0	yule-walker	1	20.5068493150685	0.354627276970888	10.9935449077214	2.1852175	0.999997658855549	0.999992976566648	0.159243435918065	0.00153007988377918	1
0610040F04Rik	0	default	1	24	0.0804027893001853	13.4275343280535	0.16084175	0.415032142271239	-0.754903573186282	0.881342610145037	0.764831914690255	1
0610040J01Rik	1	yule-walker	1	20.2983050847458	13.3397006935042	9.37364290431964	47.31635	0.883165495875665	0.649496487626995	0.221617489812021	0.341810626113839	1
0610043K17Rik	0	default	1	24	0.17070275755901	8.93574956452843	0.10350375	0.485714285714286	-0.542857142857143	1.73205080756888	0.717137165600636	1
0910001L09Rik	1	yule-walker	1	20.2983050847458	5.31571063459439	9.41177341798891	47.1164	0.887956192735444	0.663868578206331	0.105844987068748	0.334729453834819	1
100043387	0	default	1	24	0.151013334977015	20.721924205396	0.234242	0.442110543386323	-0.673668369841031	0.758684083973661	0.746919980060567	1
