CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	1	0.583333333333333	24	9	29.5873983345106
0610007C21Rik	1	0.583333333333333	24	6	4.59972961161849
0610007L01Rik	1	1	18	6	0.564324244395454
0610007N19Rik	1	0.583333333333333	18	12	1.41879207878128
0610007P08Rik	1	0.583333333333333	24	21	0.386216774136624
0610007P14Rik	1	1	18	6	18.3421024166056
0610007P22Rik	1	1	24	0	0.375215606834924
0610008F07Rik	1	0.583333333333333	24	6	1.92626140243543
0610009B14Rik	1	0.583333333333333	24	3	0.0127290180768687
0610009B22Rik	1	0.583333333333333	24	0	5.35820770045824
0610009D07Rik	1	1	18	6	8.45501720400379
0610009L18Rik	1	0.583333333333333	18	15	1.15897276310209
0610009O20Rik	1	1	18	0	1.07433738469492
0610010B08Rik	1	1	18	15	0.0786012826899154
0610010F05Rik	1	1	24	18	0.178583353122569
0610010K14Rik	1	1	24	6	0.577847661585646
0610010O12Rik	1	0.583333333333333	18	6	130.649291532714
0610011F06Rik	1	0.583333333333333	18	9	5.74092924577546
0610011L14Rik	1	0.583333333333333	24	0	0.93983330054457
0610012G03Rik	1	0.583333333333333	24	0	4.15959099566893
0610012H03Rik	1	0.583333333333333	24	6	0.235795362788372
0610030E20Rik	1	1	24	18	1.09768428284275
0610031J06Rik	1	0.583333333333333	18	6	4.7854335300276
0610031O16Rik	1	1	0	0	0
0610037L13Rik	1	1	18	0	0.815488573072915
0610037P05Rik	1	0.583333333333333	24	3	1.49655614704227
0610038B21Rik	1	1	0	0	0
0610038L08Rik	1	0.583333333333333	24	3	0.0326396954661804
0610039K10Rik	1	1	24	18	0.101292692851582
0610040B10Rik	1	0.583333333333333	24	9	0.372015948650054
0610040F04Rik	1	0.583333333333333	24	15	0.188051866476047
0610040J01Rik	1	0.583333333333333	18	9	13.5052091905772
0610043K17Rik	1	1	18	6	0.219564610509711
0910001L09Rik	1	0.583333333333333	24	9	5.09081527115255
100043387	1	1	18	15	0.257035082728263
1100001G20Rik	1	1	18	15	0.240504163620989
1110001A16Rik	1	0.583333333333333	24	6	0.700541294723231
1110001J03Rik	1	1	24	6	6.97065864893699
1110002B05Rik	1	0.583333333333333	18	3	6.37976486723845
1110002L01Rik	1	0.583333333333333	24	21	0.064652540770839
1110002N22Rik	1	0.583333333333333	18	0	0.595969040620505
1110003E01Rik	1	1	18	6	3.93483710526878
1110004E09Rik	1	1	18	15	2.43543485343224
1110004F10Rik	1	1	18	6	3.16196939343188
1110005A03Rik	1	0.583333333333333	18	0	2.42990351063641
1110006O24Rik	1	1	24	18	0.125672674006723
1110007C09Rik	1	0.583333333333333	24	12	10.8785903411816
1110008F13Rik	1	0.583333333333333	18	0	4.62394801887413
1110008J03Rik	1	0.583333333333333	24	18	0.590582654714816
1110008L16Rik	1	1	18	0	0.650555916361153
1110008P14Rik	1	1	18	0	3.72933419698644
1110012J17Rik	1	1	18	12	0.0666187395642759
1110012L19Rik	1	0.583333333333333	18	3	0.960189137007978
1110014N23Rik	1	1	18	6	0.926433627041086
1110015O18Rik	1	1	0	0	0
1110017D15Rik	1	1	0	0	0
1110017F19Rik	1	1	18	0	3.83158183754602
1110018G07Rik	1	0.583333333333333	24	0	1.89497546290183
1110018J18Rik	1	0.583333333333333	18	15	1.04900351649196
1110019D14Rik	1	1	24	18	0.108477251301829
1110020A21Rik	1	0.583333333333333	24	6	0.532156896259106
1110020G09Rik	1	1	18	6	0.4106593342419
1110021J02Rik	1	1	24	6	0.747779563240398
1110021L09Rik	1	0.583333333333333	24	0	2.95800444239863
1110028C15Rik	1	1	24	6	0.127204974401554
1110028F11Rik	1	1	18	9	0.071810936270181
1110028F18Rik	1	0.583333333333333	24	3	0.115767168662471
1110031I02Rik	1	0.583333333333333	24	9	1.54719913471085
1110032A03Rik	1	0.583333333333333	24	6	2.43181093117866
1110032A04Rik	1	1	24	18	0.266479554451181
1110032F04Rik	1	1	18	12	0.0461453465984959
1110034A24Rik	1	0.583333333333333	18	12	0.282760864864697
1110034B05Rik	1	0.583333333333333	18	0	1.08466821476806
1110034G24Rik	1	1	18	0	0.375325208386008
1110035M17Rik	1	1	0	0	0
1110036E04Rik	1	1	0	0	0
1110037F02Rik	1	1	18	3	0.368033169705021
1110038B12Rik	1	0.583333333333333	18	6	15.2466010606053
1110038D17Rik	1	0.583333333333333	24	6	17.0350508869214
1110038F14Rik	1	1	18	0	7.11787828078002
1110046J04Rik	1	0.583333333333333	24	6	2.2925639282935
1110049F12Rik	1	0.583333333333333	24	21	4.24454987542849
1110050K14Rik	1	0.583333333333333	24	15	0.974594669907701
1110051M20Rik	1	1	18	6	0.0754235448152631
1110054M08Rik	1	0.583333333333333	24	0	1.49167711025208
1110054O05Rik	1	0.583333333333333	24	0	0.419190577556915
1110057K04Rik	1	0.583333333333333	18	3	2.79879935061447
1110058L19Rik	1	0.583333333333333	18	6	1.05638217575364
1110059E24Rik	1	0.583333333333333	24	0	15.7766129484437
1110059G10Rik	1	1	18	6	0.546494546907835
1110059M19Rik	1	1	0	0	0
1110065P20Rik	1	1	18	15	0.93624473363005
1110067D22Rik	1	0.583333333333333	24	15	2.22888542711374
1190002F15Rik	1	1	24	6	0.183561384862122
1190002H23Rik	1	1	18	9	1.90377363902674
1190002N15Rik	1	1	18	6	0.538385799894578
1190003J15Rik	1	1	18	15	4.36048003220402
1190003K10Rik	1	1	0	0	0
1190005F20Rik	1	1	18	6	1.45197306448846
1190005I06Rik	1	1	18	6	0.428137069329183
1190007F08Rik	1	1	18	15	1.39506511073856
1190007I07Rik	1	0.583333333333333	24	3	0.759004883391735
1200009I06Rik	1	0.583333333333333	24	6	16.071830029589
1200011I18Rik	1	0.583333333333333	24	0	0.421007841984565
1200011M11Rik	1	0.583333333333333	18	3	0.724208158689544
1200014J11Rik	1	0.583333333333333	24	3	0.346287868416582
1200016B10Rik	1	0.583333333333333	24	3	0.709245779199637
1300001I01Rik	1	0.583333333333333	24	0	1.94475224476346
1300002E11Rik	1	1	18	3	4.22095018660639
1300002K09Rik	1	1	24	18	0.265985286811132
1300010F03Rik	1	0.583333333333333	24	6	2.46941486980216
1300014I06Rik	1	0.583333333333333	24	3	6.42597429538899
1300015D01Rik	1	1	18	12	0.0669398544312822
1300017J02Rik	1	1	0	0	0
1300018I17Rik	1	0.583333333333333	24	12	0.40427062447388
1300018J18Rik	1	1	24	0	0.296832820140394
1500001M20Rik	1	0.583333333333333	24	9	0.437532927460895
1500002O10Rik	1	0.583333333333333	18	15	0.267016955604883
1500002O20Rik	1	0.583333333333333	24	0	0.864922408145667
1500003O03Rik	1	1	18	6	20.9513794721926
1500004A13Rik	1	1	24	18	0.27953217994646
1500009C09Rik	1	1	0	0	0
1500009L16Rik	1	0.583333333333333	24	0	1.8282139761561
1500010J02Rik	1	1	18	15	0.259983718005811
1500011B03Rik	1	0.583333333333333	18	9	2.38224628135139
1500011H22Rik	1	0.583333333333333	24	0	0.494776756931851
1500011K16Rik	1	0.583333333333333	24	3	2.99530432510622
1500012F01Rik	1	1	18	15	1.96094852558653
1500012K07Rik	1	1	18	0	0.224822302981224
1500015A07Rik	1	0.583333333333333	18	0	0.245822136945597
1500015L24Rik	1	1	0	0	0
1500015O10Rik	1	1	18	12	0.0535421254714454
1500016L03Rik	1	1	0	0	0
1500017E21Rik	1	0.583333333333333	18	12	0.122746489369477
1500031L02Rik	1	1	24	6	4.19505240074543
1500032L24Rik	1	1	24	6	68.3768721873486
1520402A15Rik	1	1	18	12	0.119564508854138
1600002D24Rik	1	1	18	12	0.0221425538781099
1600002H07Rik	1	1	18	15	0.49348009987185
1600002K03Rik	1	1	18	0	3.92470780062828
1600010M07Rik	1	0.583333333333333	18	3	0.222075193136314
1600012F09Rik	1	0.583333333333333	24	21	0.512645345292435
1600012H06Rik	1	0.583333333333333	18	3	1.19076781951815
1600014C10Rik	1	0.583333333333333	18	9	2.44229732474365
1600014C23Rik	1	1	0	0	0
1600014K23Rik	1	1	0	0	0
1600015I10Rik	1	1	18	6	0.019824109841625
1600016N20Rik	1	1	18	6	0.820468372579421
1600019K03Rik	1	1	0	0	0
1600020E01Rik	1	0.583333333333333	18	15	2.00978131989528
1600021P15Rik	1	1	24	18	1.16410989386741
1600025M17Rik	1	1	0	0	0
1600027N09Rik	1	0.583333333333333	24	0	0.644796531628389
1600029D21Rik	1	0.583333333333333	24	0	108.524026415404
1600029I14Rik	1	1	24	6	0.0272791189580052
1600029O15Rik	1	1	18	15	0.0850787343589748
