CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	1	0.583333333333333	24	9	28.9777662231106
0610007C21Rik	1	0.583333333333333	24	9	5.51981695529843
0610007L01Rik	1	0.583333333333333	24	9	0.659476068405822
0610007N19Rik	1	0.583333333333333	24	9	3.05692514555272
0610007P08Rik	1	0.583333333333333	18	0	0.524566988846545
0610007P14Rik	1	1	18	12	27.7296343659687
0610007P22Rik	1	0.583333333333333	18	6	1.20640018268323
0610008F07Rik	1	0.583333333333333	24	9	1.31453979049704
0610009B14Rik	1	1	18	0	0.119952180146924
0610009B22Rik	1	0.583333333333333	24	0	4.2756625738007
0610009D07Rik	1	0.583333333333333	24	9	7.37901281507222
0610009L18Rik	1	0.583333333333333	24	12	1.60187263103219
0610009O20Rik	1	0.583333333333333	24	6	1.07580993456674
0610010B08Rik	1	0.583333333333333	18	6	0.0954919423721185
0610010F05Rik	1	0.583333333333333	18	15	0.155861890922701
0610010K14Rik	1	0.583333333333333	24	9	7.55801689672959
0610010O12Rik	1	1	24	18	42.0717928204278
0610011F06Rik	1	0.583333333333333	24	9	8.33975879867038
0610011L14Rik	1	1	18	6	1.45567123295406
0610012G03Rik	1	0.583333333333333	18	9	8.01954549281005
0610012H03Rik	1	0.583333333333333	24	0	0.198236325445477
0610030E20Rik	1	0.583333333333333	24	18	1.71763308218024
0610031J06Rik	1	0.583333333333333	18	9	29.4456764578913
0610031O16Rik	1	1	0	0	0
0610037L13Rik	1	0.583333333333333	24	6	2.91334711363279
0610037P05Rik	1	0.583333333333333	24	9	4.53244840138859
0610038B21Rik	1	1	18	15	0.0276260078671858
0610038L08Rik	1	0.583333333333333	18	12	0.222020569137468
0610039K10Rik	1	1	24	18	0.155527782968591
0610040B10Rik	1	1	18	6	1.22938999190656
0610040F04Rik	1	0.583333333333333	18	12	0.380246671583066
0610040J01Rik	1	0.583333333333333	24	12	7.29041233538954
0610043K17Rik	1	0.583333333333333	18	12	0.105655011361417
0910001L09Rik	1	0.583333333333333	24	9	15.8575059642114
100043387	1	1	18	3	0.103569223133612
1100001G20Rik	1	1	18	12	0.889704556282607
1110001A16Rik	1	1	24	6	2.33623130756567
1110001J03Rik	1	0.583333333333333	24	9	8.49843356036864
1110002B05Rik	1	0.583333333333333	24	9	8.46389139410768
1110002L01Rik	1	0.583333333333333	24	21	0.266518798877537
1110002N22Rik	1	0.583333333333333	18	0	0.581326626949084
1110003E01Rik	1	0.583333333333333	24	9	7.46860324424855
1110004E09Rik	1	1	18	0	1.05981694694326
1110004F10Rik	1	0.583333333333333	24	0	0.966049284457062
1110005A03Rik	1	0.583333333333333	24	6	3.4836676235327
1110006O24Rik	1	1	24	18	0.252485911251499
1110007C09Rik	1	0.583333333333333	24	12	25.7502480310627
1110008F13Rik	1	0.583333333333333	24	9	2.55516570915665
1110008J03Rik	1	1	24	6	0.0836578032821807
1110008L16Rik	1	1	24	6	0.626751166572508
1110008P14Rik	1	0.583333333333333	24	6	1.33271950584135
1110012J17Rik	1	0.583333333333333	18	0	0.0466722295388275
1110012L19Rik	1	0.583333333333333	24	12	1.44698089061328
1110014N23Rik	1	1	18	9	2.84496104905728
1110015O18Rik	1	1	0	0	0
1110017D15Rik	1	1	24	18	0.327725254750263
1110017F19Rik	1	0.583333333333333	18	12	2.54381664531861
1110018G07Rik	1	0.583333333333333	24	21	2.00519573241928
1110018J18Rik	1	1	18	15	0.987501136431308
1110019D14Rik	1	1	18	15	0.535842867132736
1110020A21Rik	1	0.583333333333333	24	9	0.642188014712592
1110020G09Rik	1	0.583333333333333	18	0	0.531958199253593
1110021J02Rik	1	0.583333333333333	24	6	0.6962915829683
1110021L09Rik	1	0.583333333333333	24	0	2.42519948277456
1110028C15Rik	1	0.583333333333333	18	6	0.060972049974763
1110028F11Rik	1	0.583333333333333	24	21	0.0548974370389456
1110028F18Rik	1	0.583333333333333	18	3	0.0774372081513871
1110031I02Rik	1	0.583333333333333	24	9	3.64806995015858
1110032A03Rik	1	0.583333333333333	18	9	1.73508094200602
1110032A04Rik	1	1	18	0	0.325046734263129
1110032F04Rik	1	0.583333333333333	24	9	0.0306693070650651
1110034A24Rik	1	0.583333333333333	18	0	0.162974678034657
1110034B05Rik	1	1	24	6	0.285158487183005
1110034G24Rik	1	1	18	0	0.614461650715486
1110035M17Rik	1	0.583333333333333	24	9	0.186284099523081
1110036E04Rik	1	1	18	6	0.149391333544758
1110037F02Rik	1	0.583333333333333	24	21	0.55388734830514
1110038B12Rik	1	0.583333333333333	24	6	21.1377904973829
1110038D17Rik	1	0.583333333333333	18	12	4.57582940241439
1110038F14Rik	1	1	18	6	3.57587434779943
1110046J04Rik	1	0.583333333333333	24	9	0.64483895803526
1110049F12Rik	1	0.583333333333333	18	6	5.53452477634711
1110050K14Rik	1	1	24	18	1.30606511572452
1110051M20Rik	1	1	18	6	0.0832247003787037
1110054M08Rik	1	0.583333333333333	18	9	4.76416729358342
1110054O05Rik	1	0.583333333333333	24	3	0.345082251354659
1110057K04Rik	1	0.583333333333333	24	0	2.53897296386748
1110058L19Rik	1	0.583333333333333	24	6	2.90007118381601
1110059E24Rik	1	0.583333333333333	24	0	10.9289716993412
1110059G10Rik	1	1	18	6	0.923216291186686
1110059M19Rik	1	1	0	0	0
1110065P20Rik	1	0.583333333333333	24	9	2.92001513057938
1110067D22Rik	1	0.583333333333333	24	15	3.15779746342288
1190002F15Rik	1	1	24	6	3.53039430029368
1190002H23Rik	1	1	24	18	1.47461815915596
1190002N15Rik	1	1	24	12	0.314920611603147
1190003J15Rik	1	0.583333333333333	18	12	12.9954205566807
1190003K10Rik	1	1	0	0	0
1190005F20Rik	1	1	18	6	3.26895464942541
1190005I06Rik	1	0.583333333333333	24	6	0.667236918882735
1190007F08Rik	1	1	18	6	1.1427658756773
1190007I07Rik	1	0.583333333333333	24	9	2.23631711938401
1200009I06Rik	1	0.583333333333333	18	9	16.0377651604054
1200011I18Rik	1	0.583333333333333	18	6	0.19450739783489
1200011M11Rik	1	0.583333333333333	24	21	0.573297429448712
1200014J11Rik	1	1	18	6	0.280767354071837
1200016B10Rik	1	0.583333333333333	24	9	0.739471058561456
1300001I01Rik	1	0.583333333333333	24	0	3.05680847293382
1300002E11Rik	1	1	18	6	6.83987924975654
1300002K09Rik	1	0.583333333333333	18	3	0.10013215384696
1300010F03Rik	1	0.583333333333333	24	3	1.02607911464589
1300014I06Rik	1	1	24	6	4.7621873945961
1300015D01Rik	1	1	18	12	0.0556120037966737
1300017J02Rik	1	1	18	6	0.061781333685831
1300018I17Rik	1	0.583333333333333	24	15	0.928756472817283
1300018J18Rik	1	1	24	18	0.582139799747449
1500001M20Rik	1	1	24	6	1.78413647495084
1500002O10Rik	1	1	18	12	0.0532997646221937
1500002O20Rik	1	0.583333333333333	24	9	1.76419252818747
1500003O03Rik	1	0.583333333333333	24	15	24.135428274867
1500004A13Rik	1	0.583333333333333	24	18	0.127999408870217
1500009C09Rik	1	1	18	6	0.0366496273116112
1500009L16Rik	1	0.583333333333333	24	0	2.93043788453407
1500010J02Rik	1	0.583333333333333	24	0	0.431888447580072
1500011B03Rik	1	1	18	12	1.46671270534229
1500011H22Rik	1	1	24	6	0.881500526630586
1500011K16Rik	1	1	18	6	4.25551003053688
1500012F01Rik	1	0.583333333333333	24	6	13.4106690139325
1500012K07Rik	1	1	18	0	0.0724298314804146
1500015A07Rik	1	0.583333333333333	18	0	0.218331593060017
1500015L24Rik	1	1	0	0	0
1500015O10Rik	1	1	18	0	0.171910209651816
1500016L03Rik	1	1	0	0	0
1500017E21Rik	1	1	24	12	0.0488553510150628
1500031L02Rik	1	0.583333333333333	24	3	2.08536396373631
1500032L24Rik	1	0.583333333333333	18	9	191.601896070994
1520402A15Rik	1	1	18	15	0.108985484300806
1600002D24Rik	1	1	18	6	0.0258572509647258
1600002H07Rik	1	1	18	6	0.290190259037929
1600002K03Rik	1	1	24	6	2.15798383016417
1600010M07Rik	1	0.583333333333333	24	21	0.165491978175681
1600012F09Rik	1	0.583333333333333	18	0	0.538025175436173
1600012H06Rik	1	1	18	15	1.30006177915224
