CycID	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
0610005C13Rik	1	yule-walker	1	20.5773195876289	22.5305432758345	11.8365623864823	37.8744166666667	0.854637065026286	0.757728441710476	0.47439654797422	0.0554217869637417	0.843902728262751
0610007C21Rik	1	burg	1	20.0603015075377	8.16167347946782	7.5072504140134	40.0753333333333	0.78598239446515	0.64330399077525	0.162570575672891	0.0990089035805286	0.855553513622482
0610007L01Rik	0	default	1	24	0.329948260287721	8.97602646785435	9.11620666666667	0.114305828810109	-0.476156951983153	0.0937306629679194	0.83353853024298	1
0610007N19Rik	1	yule-walker	1	20.1616161616162	0.79154472615421	11.357546187494	3.39470166666667	0.694524368423077	0.490873947371794	0.204215752979263	0.168835923269214	0.981662105226625
0610007P08Rik	0	default	1	24	0.0904955058093337	1.34698687709604	0.9138905	0.297736001000518	-0.17043999833247	0.133862612327787	0.588505610921328	1
0610007P14Rik	1	burg	1	20.2639593908629	3.44990888987087	13.5030594640359	97.1049666666667	0.0868523224712636	-0.521912795881227	0.135678877522574	0.872592605381786	1
0610007P22Rik	1	burg	1	20.9005235602094	0.376820031439253	9.65947994252385	4.88276	0.463924728964883	0.106541214941471	0.114723246789031	0.392499095938874	1
0610008F07Rik	1	yule-walker	1	20.2639593908629	0.973437708934839	17.3713282565516	1.96303	0.719766662148796	0.532944436914661	0.426277028200612	0.14834731817735	0.941365242498699
0610009B14Rik	1	yule-walker	1	20.9005235602094	0.0188280546559495	18.4362804613989	0.00999353333333333	0.637826384448486	0.396377307414144	2.23606797749979	0.217959203909432	1
0610009B22Rik	0	default	1	24	2.15863657739783	0.801481550320263	20.23245	0.464731434380926	0.10788572396821	0.153865066615667	0.391613459123858	1
0610009D07Rik	1	mle	1	20.0603015075377	4.43209192375884	6.33371098064134	42.8358	0.541485858227591	0.235809763712652	0.096190045368679	0.310476763455388	1
0610009L18Rik	0	default	1	24	0.237967382474965	5.58681951681167	2.48204	0.177080209038827	-0.371532984935289	0.164618888753464	0.746511084418438	1
0610009O20Rik	0	mle	1	20.0603015075377	0.455342922163193	16.4687605145026	5.93960333333333	0.35691435562368	-0.0718094072938669	0.109380458782379	0.515707232734814	1
0610010B08Rik	1	burg	1	21.5783783783784	0.000787612774941852	14.8069298485397	0.09529445	0.00432094876662437	-0.659465085388959	0.102713476614937	0.993525583374761	1
0610010F05Rik	0	default	1	24	0.0621520364953671	8.39955413742078	1.03432116666667	0.199146283724253	-0.334756193792912	0.102894883985623	0.716687438893134	1
0610010K14Rik	0	default	1	24	0.486658539475518	14.3264917168674	15.6654333333333	0.193288152634372	-0.34451974560938	0.0514485873610465	0.724565501974429	1
0610010O12Rik	1	yule-walker	1	21.1216931216931	31.540079796266	19.0071316161618	485.320666666667	0.718439392831232	0.530732321385386	0.108845495985582	0.149402491353131	0.943049391045879
0610011F06Rik	1	yule-walker	1	20.3673469387755	4.556305225721	7.75829457356356	31.8607833333333	0.793954423167197	0.656590705278661	0.118790339879759	0.0935287099198117	0.855342532957262
0610011L14Rik	1	burg	1	20.1616161616162	0.624283680131723	3.156003851763	6.74688166666667	0.637776786975919	0.396294644959865	0.0842198742786572	0.218003977722029	1
0610012G03Rik	1	default	1	24	0.810174791085078	9.98299789305045	19.9928666666667	0.750280378576073	0.583800630960122	0.0348359527492811	0.12478977503808	0.890967285558647
0610012H03Rik	0	default	1	24	0.234985142968068	8.51084726581891	0.395355666666667	0.572162465926899	0.286937443211499	0.593341910488593	0.279845497394652	1
