CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	0.914034147735391	0.183333333333333	20	14	20.5078644213628
0610007C21Rik	0.603407375966799	0.0305555555555556	20	8	9.62032917939922
0610007L01Rik	1	1	24	6	0.826982593801102
0610007N19Rik	1	0.611111111111111	20	12	0.351234080350982
0610007P08Rik	0.603407375966799	0.0305555555555556	20	4	0.0587103689351379
0610007P14Rik	1	0.611111111111111	24	16	17.0350508869214
0610007P22Rik	1	1	24	10	0.616427407567185
0610008F07Rik	1	0.611111111111111	20	0	1.11302142892669
0610009B14Rik	1	1	0	0	0
0610009B22Rik	0.603407375966799	0.0305555555555556	24	4	3.92189705117307
0610009D07Rik	1	0.611111111111111	20	8	5.63330759367887
0610009L18Rik	1	1	20	6	0.577296118296321
0610009O20Rik	1	1	20	18	0.653790929885082
0610010B08Rik	1	1	24	22	0.0088064492742535
0610010F05Rik	1	1	20	6	0.0818850865817458
0610010K14Rik	1	0.611111111111111	20	16	1.00055609537896
0610010O12Rik	0.914034147735391	0.183333333333333	24	18	60.0001317040221
0610011F06Rik	0.914034147735391	0.183333333333333	20	10	2.4001325473815
0610011L14Rik	0.914034147735391	0.183333333333333	20	4	0.58191352557747
0610012G03Rik	1	0.611111111111111	20	10	0.803697567496631
0610012H03Rik	1	0.611111111111111	20	8	0.237382110405355
0610030E20Rik	0.914034147735391	0.183333333333333	20	18	1.73129438519277
0610031J06Rik	0.914034147735391	0.183333333333333	20	10	9.66883670458861
0610031O16Rik	1	1	0	0	0
0610037L13Rik	1	0.611111111111111	24	8	0.605361186441615
0610037P05Rik	1	0.611111111111111	24	10	1.26055925882126
0610038B21Rik	1	1	20	16	0.00929930270074052
0610038L08Rik	0.603407375966799	0.0305555555555556	24	10	0.106818378793165
0610039K10Rik	1	1	20	18	0.056736126802065
0610040B10Rik	0.914034147735391	0.183333333333333	20	4	0.373635223178972
0610040F04Rik	0.914034147735391	0.183333333333333	20	14	0.0965745228541151
0610040J01Rik	0.914034147735391	0.183333333333333	24	14	7.70513046255545
