CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
0610005C13Rik	12.063776383316	71.4900685490248	24	2.31329559798207	20	0.0989346648241883	6	1	0.15	0.542241619510572
0610007C21Rik	5.99229827511601	48.0073029367316	24	2.13236395542924	20	0.118556699573266	6	1	0.15	0.542241619510572
0610007L01Rik	8.89063794483236	10.1183806916806	2	0.995042411726183	27.5213675213675	0.369707764267082	6	1	0.15	0.626038122007944
0610007N19Rik	11.8540617390311	4.86711326410801	24	1.68107659981792	20	0.186173433821968	6	1	0.15	0.542241619510572
0610007P08Rik	3.85033456891138	1.1604571460971	24	1.75729394831032	20	0.172511056603898	6	1	0.15	0.542241619510572
0610007P14Rik	14.4203673196903	112.165879771293	1	1.67973120804459	28	0.186424078598148	6	1	0.15	0.542241619510572
0610007P22Rik	11.4879725481582	5.60468508132731	1	1.55900685691444	28	0.210344870053312	6	1	0.15	0.54937158550019
0610008F07Rik	16.0307374735931	2.92868154003854	24	1.20998954510837	20	0.298200397066427	6	1	0.15	0.579535157640459
0610009B14Rik	12.3607353494606	0	1	1.27315423682717	28	0.279947207893423	6	1	0.15	0.576164956031236
0610009B22Rik	3.32980967269643	25.5117281272488	14	2.39772025775455	22.8368794326241	0.0909250027599863	6	1	0.15	0.542241619510572
0610009D07Rik	4.30576318171564	49.4509014128887	24	1.7117731553947	20	0.180545373621513	6	1	0.15	0.542241619510572
0610009L18Rik	6.93304655042219	3.13991653143958	24	1.25955483623857	20	0.283780327103292	6	1	0.15	0.576164956031236
0610009O20Rik	7.79427541464239	6.09270376994514	1	0.478186852006913	28	0.619906355413109	6	1	0.15	0.867638819272796
0610010B08Rik	8.18922749049033	0.106012031413455	1	0.828455419401867	28	0.436723320004687	6	1	0.15	0.692535418764079
0610010F05Rik	7.81247131967272	1.24907797911315	16	0.950004809925089	22.2068965517241	0.386739163263623	6	1	0.15	0.643017794491232
0610010K14Rik	12.2765458240997	17.25177140486	24	1.4491907451603	20	0.234760192064677	6	1	0.15	0.561239250236239
0610010O12Rik	19.9999263197062	572.946309153729	1	2.37134581951358	28	0.0933550027120801	6	1	0.15	0.542241619510572
0610011F06Rik	7.53879987200175	38.6417276921462	23	2.24556172700144	20.251572327044	0.105868054722834	6	1	0.15	0.542241619510572
0610011L14Rik	3.66110521747531	7.76470512549426	24	2.05549847048698	20	0.128029000990553	6	1	0.15	0.542241619510572
0610012G03Rik	11.9597331091194	21.1946872811488	7	1.868706430346	25.3543307086614	0.154323160511929	6	1	0.15	0.542241619510572
0610012H03Rik	8.01905215196019	0.85477384457863	24	2.07601006152364	20	0.12542967180304	6	1	0.15	0.542241619510572
0610030E20Rik	16.4835500337514	10.741623177312	24	1.91712379749003	20	0.147029240430653	6	1	0.15	0.542241619510572
0610031J06Rik	8.60658411112833	92.9034071843805	24	1.98990599453528	20	0.136708276166527	6	1	0.15	0.542241619510572
0610031O16Rik	19.9999263197062	0	NA	NA	NA	1	6	1	NA	1
0610037L13Rik	7.78458816667623	8.27255661195375	2	2.15189300414693	27.5213675213675	0.116263861356581	6	1	0.15	0.542241619510572
0610037P05Rik	11.7486055060424	20.7264902364835	24	1.45426372617774	20	0.233572273757794	6	1	0.15	0.560919263244679
0610038B21Rik	11.9999890949384	0.0365545999992338	1	0.507794419348884	28	0.601821481897573	6	1	0.15	0.848855461916161
0610038L08Rik	8.11499822474787	0.480155452923863	7	2.24527617726724	25.3543307086614	0.1058982896343	6	1	0.15	0.542241619510572
0610039K10Rik	14.5674306074394	0.279965708828649	1	0.78813594698938	28	0.45469157501532	6	1	0.15	0.71113957977554
0610040B10Rik	3.40539370574655	1.70334529237151	20	2.2112152375084	21.0457516339869	0.109567417143016	6	1	0.15	0.542241619510572
0610040F04Rik	11.6133310290385	0.529464164536947	24	1.70687280645902	20	0.181432280252159	6	1	0.15	0.542241619510572
