CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	1	0.183333333333333	24	12	27.6873317027842
0610007C21Rik	1	1	24	10	6.0140138846697
0610007L01Rik	1	1	20	10	0.906100771548065
0610007N19Rik	1	0.611111111111111	24	12	0.533589848151181
0610007P08Rik	1	1	20	4	0.133200532799235
0610007P14Rik	1	0.611111111111111	20	16	33.9716017992234
0610007P22Rik	1	1	20	18	0.291660334036015
0610008F07Rik	1	1	20	16	1.18711914852722
0610009B14Rik	1	0.397222222222222	24	22	0.0921855110632902
0610009B22Rik	1	0.0305555555555556	24	0	3.84984287017016
0610009D07Rik	1	1	20	16	3.62929626511808
0610009L18Rik	1	0.183333333333333	24	16	1.09281938818819
0610009O20Rik	1	1	24	12	0.37446253811296
0610010B08Rik	1	0.611111111111111	20	6	0.0260331260988764
0610010F05Rik	1	0.611111111111111	20	8	0.204210317086331
0610010K14Rik	1	1	20	0	0.471498801695191
0610010O12Rik	1	0.0305555555555556	20	0	55.3530259380641
0610011F06Rik	1	1	24	12	4.17475843612537
0610011L14Rik	1	1	24	0	0.45087956795579
0610012G03Rik	1	1	20	16	4.90562400515979
0610012H03Rik	1	1	24	6	0.138627577344841
0610030E20Rik	1	0.183333333333333	24	18	1.7783947678876
0610031J06Rik	1	1	20	16	11.1027785461568
0610031O16Rik	1	1	0	0	0
0610037L13Rik	1	1	24	6	0.938295343295489
0610037P05Rik	1	1	24	10	1.50005632560914
0610038B21Rik	1	0.397222222222222	24	16	0.0302691906929307
0610038L08Rik	1	1	20	16	0.075801846943198
0610039K10Rik	1	1	24	18	0.138785969263827
0610040B10Rik	1	0.611111111111111	24	0	0.619319474302238
0610040F04Rik	1	1	20	16	0.12855554835362
0610040J01Rik	1	0.611111111111111	20	16	11.2697971678731
0610043K17Rik	1	1	20	0	0.0662573196107419
0910001L09Rik	1	0.611111111111111	20	14	5.24432815334815
100043387	1	1	24	6	0.0659702342575801
1100001G20Rik	1	0.183333333333333	20	10	0.582885797401601
1110001A16Rik	1	1	24	6	1.11500132791401
1110001J03Rik	1	1	24	6	4.41906382902533
1110002B05Rik	1	1	24	18	6.76623407849595
1110002L01Rik	1	1	24	22	0.123463672422296
1110002N22Rik	1	0.611111111111111	24	4	0.451226050278572
1110003E01Rik	1	1	24	10	2.65087261199025
1110004E09Rik	1	1	20	0	0.987990807877281
1110004F10Rik	1	1	20	2	1.49984419357479
1110005A03Rik	1	1	20	0	0.946292720990708
1110006O24Rik	1	0.611111111111111	24	0	0.218769645710962
1110007C09Rik	1	1	20	16	12.031351171211
1110008F13Rik	1	1	20	10	2.90528963186117
1110008J03Rik	1	0.183333333333333	20	10	0.231860313551069
1110008L16Rik	1	0.0305555555555556	24	6	0.588935095914652
1110008P14Rik	1	1	20	16	3.76909127575865
1110012J17Rik	1	1	20	6	0.0210535387244045
1110012L19Rik	1	1	20	4	1.01092228079116
