CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
0610005C13Rik	12.1338113561853	100.079709557632	23	2.30941487293466	20.251572327044	0.0993193490000073	6	1	0.15	0.665238987917835
0610007C21Rik	11.596312562913	54.4873120291542	1	0.86407030766679	28	0.421443183047376	6	1	0.15	0.742259707859761
0610007L01Rik	11.7119812209319	11.1667883765526	24	0.665676682748858	20	0.513925645398492	6	1	0.15	0.814903707239119
0610007N19Rik	13.9250336956962	4.9799209766167	11	1.8359743593378	23.8518518518519	0.159458056604252	6	1	0.15	0.665238987917835
0610007P08Rik	7.12414670729719	0.960794009801235	24	1.69131166958993	20	0.18427765400605	6	1	0.15	0.665238987917835
0610007P14Rik	14.2676180673316	145.70222531096	20	2.13753617319624	21.0457516339869	0.117945081579555	6	1	0.15	0.665238987917835
0610007P22Rik	8.95871769857204	5.21689601278678	1	0.635430402723448	28	0.529707451717452	6	1	0.15	0.824087771638005
0610008F07Rik	12.1565261716883	4.91888579792693	24	1.40746285750829	20	0.244763495902553	6	1	0.15	0.665238987917835
0610009B14Rik	12.8811173217221	0.0694200720480403	5	2.07994716669643	26.1788617886179	0.124936812848774	6	1	0.15	0.665238987917835
0610009B22Rik	7.36802938380119e-05	24.0641294687227	9	2.43662413754605	24.5801526717557	0.0874555917292709	6	1	0.15	0.665238987917835
0610009D07Rik	13.0814229581272	50.5822877030144	24	0.538604890063983	20	0.5835618176256	6	1	0.15	0.867049790089055
0610009L18Rik	14.6374799373772	4.05377606862843	20	2.47899800248652	21.0457516339869	0.083827178149113	6	1	0.15	0.665238987917835
0610009O20Rik	7.22655303714624	6.09670045118418	1	0.641007676301947	28	0.526761351582649	6	1	0.15	0.822508090315378
0610010B08Rik	4.13794573528501	0.155954850295639	24	1.76411934023929	20	0.171337610201804	6	1	0.15	0.665238987917835
0610010F05Rik	10.9808211354942	1.1385382391646	24	1.50446104771005	20	0.222136982811297	6	1	0.15	0.665238987917835
0610010K14Rik	7.36802938380119e-05	18.916780140482	1	1.48033971625712	28	0.227560369294356	6	1	0.15	0.665238987917835
0610010O12Rik	19.9999525521984	552.553970901762	24	1.73513661729247	20	0.176376102614702	6	1	0.15	0.665238987917835
0610011F06Rik	8.95408231640578	40.7856292151459	1	0.438829802765453	28	0.644790511853456	6	1	0.15	0.91972295525458
0610011L14Rik	11.8260517359903	7.85568083623196	1	0.488939909550907	28	0.613276177927672	6	1	0.15	0.891801669244368
0610012G03Rik	11.9548693405988	29.0599825353732	24	0.373127307281025	20	0.688577566326038	6	1	0.15	0.955693569920806
0610012H03Rik	8.04699556997281	0.622723614479327	8	1.11304179658608	24.9612403100775	0.328558032834292	6	1	0.15	0.668408003307751
0610030E20Rik	16.582910277878	11.7850559993469	14	2.05871442784866	22.8368794326241	0.12761792653556	6	1	0.15	0.665238987917835
0610031J06Rik	11.9623680093775	108.312927226693	24	0.605683051800132	20	0.545701556878765	6	1	0.15	0.837157433241276
0610031O16Rik	19.9999263197062	0	NA	NA	NA	1	6	1	NA	1
0610037L13Rik	2.84381448074312	9.59277108139207	1	1.98268993467277	28	0.13769833915176	6	1	0.15	0.665238987917835
0610037P05Rik	12.173508701129	22.071943315927	1	0.594149868346818	28	0.552031666033982	6	1	0.15	0.842311314999664
0610038B21Rik	12.0491289281366	0.109921932992423	15	1.90414446089019	22.5174825174825	0.148950020694021	6	1	0.15	0.665238987917835
0610038L08Rik	11.9021467182804	0.590979130302735	24	0.562384191645541	20	0.569848814163244	6	1	0.15	0.856079623111369
0610039K10Rik	12.0785740173426	0.517413975615755	3	0.497572307529234	27.0588235294118	0.608004918427829	6	1	0.15	0.887272970164142
0610040B10Rik	2.88342530309746	2.34324373513715	21	2.17978171838071	20.7741935483871	0.113066208222039	6	1	0.15	0.665238987917835
0610040F04Rik	11.8546884737928	0.416663992087787	1	0.203122829149441	28	0.816177984820851	6	1	0.15	1
0610040J01Rik	12.5966331076157	62.1864954859396	24	1.99289971643018	20	0.136299621611208	6	1	0.15	0.665238987917835
0610043K17Rik	3.92520260395824	0.202507583200478	24	1.43125745344971	20	0.239008191530996	6	1	0.15	0.665238987917835
0910001L09Rik	12.0684728179493	59.2392706074192	24	1.52138889431891	20	0.218408330107935	6	1	0.15	0.665238987917835
100043387	7.97377944258232	0.351603286051621	15	0.60023494185854	22.5174825174825	0.548682712413632	6	1	0.15	0.839578639934267
1100001G20Rik	8.18667619418939	1.91662442614137	24	1.80700093929671	20	0.164145682212152	6	1	0.15	0.665238987917835
1110001A16Rik	8.18935920788194	7.55228223021141	1	0.74597506549688	28	0.474271628507987	6	1	0.15	0.78387075623313
1110001J03Rik	11.3361164895735	50.602475752864	1	0.858057483363981	28	0.423984880593326	6	1	0.15	0.74352163245069
1110002B05Rik	12.1392519003235	84.1752594376126	1	0.371692167762576	28	0.689566480648268	6	1	0.15	0.956723626129937
1110002L01Rik	7.61352039484927	0.780175176103706	8	1.27931271495268	24.9612403100775	0.278228457014393	6	1	0.15	0.665238987917835
1110002N22Rik	7.77495431720033	1.96811397273298	2	1.68372550332367	27.5213675213675	0.185680930944717	6	1	0.15	0.665238987917835
1110003E01Rik	11.9580335006817	38.6966137970119	1	0.342819552504936	28	0.709766275551952	6	1	0.15	0.974086604031319
1110004E09Rik	1.72153675223665	5.28009627624116	24	0.235983892410216	20	0.789793395498374	6	1	0.15	1
1110004F10Rik	12.023690265624	24.4793589648407	1	0.364064657782499	28	0.69484626607169	6	1	0.15	0.960670230800949
1110005A03Rik	15.9058323136762	11.1435913492178	24	0.722908746919942	20	0.485338473998448	6	1	0.15	0.792144034282319
1110006O24Rik	7.91210454121004	0.880499424218976	2	1.58297951971204	27.5213675213675	0.205362304708085	6	1	0.15	0.665238987917835
1110007C09Rik	11.9933047396543	113.862257597656	24	1.38580296394896	20	0.250122879481576	6	1	0.15	0.665238987917835
1110008F13Rik	11.8987346471797	19.2495303861964	24	0.387953994078675	20	0.67844355496695	6	1	0.15	0.946939006371642
1110008J03Rik	7.59717146407757	2.08942046615164	20	2.34118072131497	21.0457516339869	0.0962139692537107	6	1	0.15	0.665238987917835
1110008L16Rik	5.41502285417252	1.99131107611519	5	2.41130941025566	26.1788617886179	0.089697766467465	6	1	0.15	0.665238987917835
1110008P14Rik	11.7119894701144	34.5561786896067	1	0.563208289049217	28	0.569379396684434	6	1	0.15	0.855679354691066
1110012J17Rik	5.04682121352747	0.0801096916043009	24	0.171943286139697	20	0.842026926411828	6	1	0.15	1
1110012L19Rik	8.15695778475923	11.2948320038257	1	1.20002825803463	28	0.301185700875985	6	1	0.15	0.668287453140043
1110014N23Rik	11.9619376865747	14.263138985223	24	0.375402455094883	20	0.687012731371756	6	1	0.15	0.954489797533514
1110015O18Rik	19.9999263197062	0	NA	NA	NA	1	6	1	NA	1
1110017D15Rik	4.49640618621958	0.299676714352046	24	0.63687334830637	20	0.528943663874426	6	1	0.15	0.823826260294639
1110017F19Rik	16.7358237033059	35.8348424818597	18	2.43810831295316	21.6107382550336	0.0873258885657442	6	1	0.15	0.665238987917835
1110018G07Rik	19.999922135909	11.722262676068	3	1.91003740180936	27.0588235294118	0.148074848224646	6	1	0.15	0.665238987917835
1110018J18Rik	12.023736023082	3.45724124102478	24	1.67447688842507	20	0.187406188191233	6	1	0.15	0.665238987917835
1110019D14Rik	16.3517835178352	1.35362754151291	24	0.827740151944814	20	0.437035805725334	6	1	0.15	0.753648501802995
1110020A21Rik	15.9966130124968	1.99578020316301	24	1.49085745614414	20	0.225179491198037	6	1	0.15	0.665238987917835
1110020G09Rik	5.68831782551289	2.13213422204136	24	1.99713066499569	20	0.135724163148687	6	1	0.15	0.665238987917835
1110021J02Rik	7.96697778032325	3.63080854951874	1	1.27514264418468	28	0.279391111861478	6	1	0.15	0.665238987917835
1110021L09Rik	7.36802938380119e-05	21.90663083007	1	2.02619882155968	28	0.131835700933984	6	1	0.15	0.665238987917835
1110028C15Rik	4.09841574453797	1.65328549305086	1	0.832859981072038	28	0.434803975248064	6	1	0.15	0.751641887210798
1110028F11Rik	3.53842061290123	0.13564476953194	5	1.40074128008977	26.1788617886179	0.246414234257345	6	1	0.15	0.665238987917835
1110028F18Rik	3.99999999999722	0.0741022	24	1.28328029669343	20	0.277126749870386	6	1	0.15	0.665238987917835
1110031I02Rik	11.7104524326075	15.087123327307	1	0.85053918797972	28	0.427184537073723	6	1	0.15	0.744699852226079
1110032A03Rik	15.4173055408345	17.0946561278306	24	1.1850949799034	20	0.30571714113517	6	1	0.15	0.668287453140043
1110032A04Rik	8.87906876438026	1.34193153679589	1	0.36621125762939	28	0.693356308926348	6	1	0.15	0.95946391140049
1110032F04Rik	8.1062060512558	0.0573201221037182	5	1.88772594915314	26.1788617886179	0.151415744726827	6	1	0.15	0.665238987917835
1110034A24Rik	7.69848427775978	0.990029366888871	1	0.346807778365149	28	0.706941204592236	6	1	0.15	0.971271748312614
1110034B05Rik	15.225698005299	3.70321401785446	6	2.0821474996999	25.76	0.124662212473039	6	1	0.15	0.665238987917835
1110034G24Rik	7.36802938380119e-05	3.25504697060173	13	2.38210624091078	23.1654676258993	0.0923558488424067	6	1	0.15	0.665238987917835
1110035M17Rik	16.0532994720292	0.336628208902292	6	1.41740835192103	25.76	0.242341267019291	6	1	0.15	0.665238987917835
1110036E04Rik	19.9999263197062	0	NA	NA	NA	1	6	1	NA	1
1110037F02Rik	11.6637108650671	3.92932742082564	1	1.36230464604489	28	0.256069945798925	6	1	0.15	0.665238987917835
1110038B12Rik	8.20496693213946	85.3018466848022	1	0.589232149679609	28	0.554753088573578	6	1	0.15	0.844343194227926
1110038D17Rik	12.0596471362003	97.2425346900229	24	1.38895541799884	20	0.249335620148602	6	1	0.15	0.665238987917835
1110038F14Rik	16.0577732505636	27.3388427074724	24	1.57134098151563	20	0.207766384586172	6	1	0.15	0.665238987917835
