CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	1	0.583333333333333	24	12	15.8514955565713
0610007C21Rik	1	0.583333333333333	24	12	2.30177399411845
0610007L01Rik	1	0.583333333333333	18	9	1.25147293668301
0610007N19Rik	1	0.583333333333333	18	9	0.638602276225195
0610007P08Rik	1	1	18	9	0.277251265602387
0610007P14Rik	1	0.583333333333333	24	12	1.82656288182203
0610007P22Rik	1	0.583333333333333	18	0	0.547088516604032
0610008F07Rik	1	1	24	12	0.139275287156408
0610009B14Rik	1	0.583333333333333	18	15	0.233761918140044
0610009B22Rik	1	0.583333333333333	18	9	2.28582343290183
0610009D07Rik	1	1	18	9	3.27155326684627
0610009L18Rik	1	1	24	18	0.798422904462369
0610009O20Rik	1	1	18	9	1.08229233598327
0610010B08Rik	1	0.583333333333333	24	18	0.0463512030601688
0610010F05Rik	1	0.583333333333333	24	3	0.195288750828101
0610010K14Rik	1	0.583333333333333	18	12	0.556157161072749
0610010O12Rik	1	0.583333333333333	24	12	27.5782251264471
0610011F06Rik	1	1	24	6	2.58419244252436
0610011L14Rik	1	0.583333333333333	24	9	0.238015678081298
0610012G03Rik	1	0.583333333333333	18	9	0.645531922680823
0610012H03Rik	1	0.583333333333333	24	6	0.00881514668766211
0610030E20Rik	1	1	18	15	1.25442157196056
0610031J06Rik	1	0.583333333333333	24	9	3.86918224063561
0610031O16Rik	1	1	0	0	0
0610037L13Rik	1	0.583333333333333	18	0	0.186545375478729
0610037P05Rik	1	0.583333333333333	18	9	1.11694940709618
0610038B21Rik	1	0.583333333333333	24	18	0.169351190210702
0610038L08Rik	1	0.583333333333333	24	15	0.429714801334705
0610039K10Rik	1	0.583333333333333	24	15	0.572626738666756
0610040B10Rik	1	1	18	0	0.197339006940151
0610040F04Rik	1	1	24	6	0.238119976331523
0610040J01Rik	1	0.583333333333333	18	12	4.67788258860914
0610043K17Rik	1	0.583333333333333	24	0	0.230194016421203
0910001L09Rik	1	0.583333333333333	24	9	1.69564206128534
