CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13Rik	1	0.583333333333333	18	9	11.2416507824479
0610007C21Rik	1	0.583333333333333	24	21	0.741083262022565
0610007L01Rik	1	1	18	15	0.952048570189567
0610007N19Rik	1	1	24	6	1.1459266429892
0610007P08Rik	1	0.583333333333333	24	3	0.322157849508591
0610007P14Rik	1	1	18	15	2.25512262422966
0610007P22Rik	1	0.583333333333333	24	9	0.560940738447477
0610008F07Rik	1	1	18	12	1.24806291423074
0610009B14Rik	1	1	24	18	0.1116843341079
0610009B22Rik	1	0.583333333333333	24	0	1.66524707629604
0610009D07Rik	1	0.583333333333333	24	3	2.79887006129259
0610009L18Rik	1	0.583333333333333	24	15	1.07691903155303
0610009O20Rik	1	0.583333333333333	18	9	0.5531183696806
0610010B08Rik	1	0.583333333333333	24	6	0.0513348916539716
0610010F05Rik	1	1	24	6	0.345849462212246
0610010K14Rik	1	0.583333333333333	18	6	1.59831941945673
0610010O12Rik	1	1	18	12	31.7694237952351
0610011F06Rik	1	0.583333333333333	18	6	3.03020004475777
0610011L14Rik	1	0.583333333333333	18	0	0.716221387596043
0610012G03Rik	1	0.583333333333333	24	9	0.814979456190462
0610012H03Rik	1	0.583333333333333	24	6	0.184003680153754
0610030E20Rik	1	0.583333333333333	24	18	0.988669630387219
0610031J06Rik	1	0.583333333333333	18	15	3.9525501301375
0610031O16Rik	1	1	0	0	0
0610037L13Rik	1	1	24	6	0.491138692542646
0610037P05Rik	1	0.583333333333333	24	6	0.782378298043856
0610038B21Rik	1	0.583333333333333	24	18	0.124524756858144
0610038L08Rik	1	1	18	12	0.306164331555018
0610039K10Rik	1	0.583333333333333	24	15	0.698103190541699
0610040B10Rik	1	1	18	6	0.845332014772894
0610040F04Rik	1	0.583333333333333	18	15	0.287920729113032
0610040J01Rik	1	0.583333333333333	18	12	4.52516520154237
0610043K17Rik	1	0.583333333333333	18	0	0.255366664278053
0910001L09Rik	1	0.583333333333333	24	9	1.83649066102989
100043387	1	1	18	6	0.217224794170765
1100001G20Rik	1	1	18	6	0.308152008716934
1110001A16Rik	1	1	18	9	0.593513612322835
1110001J03Rik	1	0.583333333333333	18	0	2.90833019102027
1110002B05Rik	1	0.583333333333333	24	6	4.99015862085064
1110002L01Rik	1	1	18	12	0.390702129226386
1110002N22Rik	1	0.583333333333333	24	9	0.503993893824618
1110003E01Rik	1	0.583333333333333	24	0	0.801116627745299
1110004E09Rik	1	0.583333333333333	18	0	1.39274756826322
1110004F10Rik	1	1	24	6	1.56012504667094
1110005A03Rik	1	0.583333333333333	18	0	2.26335865046354
1110006O24Rik	1	0.583333333333333	24	6	0.207589226840231
1110007C09Rik	1	0.583333333333333	24	12	4.11027029768116
1110008F13Rik	1	1	18	0	1.85742809282082
1110008J03Rik	1	1	18	6	0.0815011275995616
1110008L16Rik	1	1	18	0	0.704686708227936
1110008P14Rik	1	1	24	6	3.29340286638493
1110012J17Rik	1	1	18	9	0.130208764008034
1110012L19Rik	1	1	18	12	1.38929511940408
1110014N23Rik	1	1	18	12	1.30525371069311
1110015O18Rik	1	1	0	0	0
1110017D15Rik	1	1	0	0	0
1110017F19Rik	1	0.583333333333333	24	21	0.919663079611224
1110018G07Rik	1	0.583333333333333	18	0	2.93311251593391
1110018J18Rik	1	0.583333333333333	24	21	0.524842937267903
1110019D14Rik	1	0.583333333333333	24	0	0.35455854288273
1110020A21Rik	1	0.583333333333333	18	12	0.210357019558491
1110020G09Rik	1	0.583333333333333	24	6	0.387558155700535
1110021J02Rik	1	1	18	12	0.219461196142963
1110021L09Rik	1	1	18	0	5.04858331864618
1110028C15Rik	1	1	18	15	0.209087939662956
1110028F11Rik	1	1	18	6	1.32834428263275
1110028F18Rik	1	1	24	0	0.0476426275299888
1110031I02Rik	1	0.583333333333333	24	12	0.800215066599286
1110032A03Rik	1	1	18	12	0.782305819598784
1110032A04Rik	1	0.583333333333333	24	21	0.355592686550216
1110032F04Rik	1	1	18	15	0.0551373583698022
1110034A24Rik	1	0.583333333333333	24	9	0.207634835227618
1110034B05Rik	1	0.583333333333333	18	15	0.18345885437885
1110034G24Rik	1	0.583333333333333	18	3	0.173361192766811
1110035M17Rik	1	1	18	6	0.107605565417321
1110036E04Rik	1	1	24	18	0.158045790216396
1110037F02Rik	1	1	18	15	0.868304146326691
1110038B12Rik	1	0.583333333333333	24	9	1.92562854186626
1110038D17Rik	1	0.583333333333333	24	12	3.96167180761481
1110038F14Rik	1	1	18	6	0.285360012615644
1110046J04Rik	1	0.583333333333333	24	12	0.263998316755998
1110049F12Rik	1	1	18	6	2.13568168228554
1110050K14Rik	1	1	18	6	1.34625352963326
1110051M20Rik	1	1	24	18	0.26493523324107
1110054M08Rik	1	1	18	12	1.72241665955497
1110054O05Rik	1	0.583333333333333	24	0	0.425452008104322
1110057K04Rik	1	0.583333333333333	24	0	1.28134819818814
1110058L19Rik	1	1	18	3	1.7178452142146
1110059E24Rik	1	0.583333333333333	24	0	4.06020713757316
1110059G10Rik	1	0.583333333333333	24	0	0.330310790695672
1110059M19Rik	1	1	0	0	0
1110065P20Rik	1	1	18	6	0.547369591549554
1110067D22Rik	1	0.583333333333333	18	15	3.84834026826014
1190002F15Rik	1	0.583333333333333	24	21	1.0192834649253
1190002H23Rik	1	1	24	18	0.0681403449690417
1190002N15Rik	1	1	18	0	0.795012528456706
1190003J15Rik	1	0.583333333333333	18	12	1.81047797031699
1190003K10Rik	1	1	0	0	0
1190005F20Rik	1	0.583333333333333	18	15	3.13966017448545
1190005I06Rik	1	1	18	6	0.268986601543878
1190007F08Rik	1	1	18	15	0.406248755694248
1190007I07Rik	1	0.583333333333333	24	0	0.463031197990482
1200009I06Rik	1	0.583333333333333	18	15	14.1170686883379
1200011I18Rik	1	0.583333333333333	24	0	0.446198521064335
1200011M11Rik	1	0.583333333333333	18	15	0.675826144953808
1200014J11Rik	1	0.583333333333333	24	3	0.11754236023664
1200016B10Rik	1	1	18	15	1.31562166387225
1300001I01Rik	1	1	24	6	3.42515453738952
1300002E11Rik	1	0.583333333333333	18	15	2.72016907654653
1300002K09Rik	1	0.583333333333333	24	6	0.229226340791149
1300010F03Rik	1	0.583333333333333	24	6	1.59003566351513
