CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
0610005C13Rik	NaN	NaN	7	1.44542192569323	24.1379310344828	0.235646630210047	4	1	0.111111111111111	0.625603992822924
0610007C21Rik	NaN	NaN	16	1.42855633883002	20	0.239654652741229	4	1	0.111111111111111	0.625603992822924
0610007L01Rik	NaN	NaN	16	0.387220789856644	20	0.678941175052143	4	1	0.111111111111111	0.911942173309952
0610007N19Rik	NaN	NaN	3	1.49967963612174	26.5822784810127	0.223201654443375	4	1	0.111111111111111	0.625603992822924
0610007P08Rik	NaN	NaN	8	1.49943393293396	23.5955056179775	0.223256502539289	4	1	0.111111111111111	0.625603992822924
0610007P14Rik	NaN	NaN	1	0.496117757066905	28	0.608889935758173	4	1	0.111111111111111	0.84777391522279
0610007P22Rik	NaN	NaN	16	1.43475633532223	20	0.238173391387456	4	1	0.111111111111111	0.625603992822924
0610008F07Rik	NaN	NaN	16	1.26840251550666	20	0.281280604465368	4	1	0.111111111111111	0.625603992822924
0610009B14Rik	NaN	NaN	1	1.36286925901477	28	0.255925406194637	4	1	0.111111111111111	0.625603992822924
0610009B22Rik	NaN	NaN	2	1.26349151058567	27.2727272727273	0.28266537241604	4	1	0.111111111111111	0.625603992822924
0610009D07Rik	NaN	NaN	8	1.49967289548728	23.5955056179775	0.223203158969209	4	1	0.111111111111111	0.625603992822924
0610009L18Rik	NaN	NaN	15	1.48334512020357	20.3883495145631	0.226877485147786	4	1	0.111111111111111	0.625603992822924
0610009O20Rik	NaN	NaN	7	1.23743368841434	24.1379310344828	0.290127821761695	4	1	0.111111111111111	0.625603992822924
0610010B08Rik	NaN	NaN	15	1.47698058486404	20.3883495145631	0.228326059782162	4	1	0.111111111111111	0.625603992822924
0610010F05Rik	NaN	NaN	1	1.44143002070034	28	0.236589189221087	4	1	0.111111111111111	0.625603992822924
0610010K14Rik	NaN	NaN	16	0.58339756663828	20	0.557999302479537	4	1	0.111111111111111	0.797734622270248
0610010O12Rik	NaN	NaN	16	1.49750105789911	20	0.223688446772048	4	1	0.111111111111111	0.625603992822924
0610011F06Rik	NaN	NaN	16	1.30226200859815	20	0.271916020478868	4	1	0.111111111111111	0.625603992822924
0610011L14Rik	NaN	NaN	16	0.817122905501636	20	0.441700642620089	4	1	0.111111111111111	0.697214923233886
0610012G03Rik	NaN	NaN	7	1.49973683743997	24.1379310344828	0.223188887379661	4	1	0.111111111111111	0.625603992822924
0610012H03Rik	NaN	NaN	11	1.49760748569326	22.1052631578947	0.223664641370883	4	1	0.111111111111111	0.625603992822924
0610030E20Rik	NaN	NaN	8	1.49973637224842	23.5955056179775	0.223188991205268	4	1	0.111111111111111	0.625603992822924
0610031J06Rik	NaN	NaN	16	0.765505847379557	20	0.465098602549862	4	1	0.111111111111111	0.71534471346231
0610031O16Rik	NaN	NaN	NA	NA	NA	1	4	1	NA	1
0610037L13Rik	NaN	NaN	1	1.44754240833282	28	0.235147475033586	4	1	0.111111111111111	0.625603992822924
0610037P05Rik	NaN	NaN	6	1.49892234443999	24.7058823529412	0.223370747217832	4	1	0.111111111111111	0.625603992822924
0610038B21Rik	NaN	NaN	11	1.49153018292466	22.1052631578947	0.225028057866224	4	1	0.111111111111111	0.625603992822924
0610038L08Rik	NaN	NaN	16	1.49043480864132	20	0.22527468286252	4	1	0.111111111111111	0.625603992822924
0610039K10Rik	NaN	NaN	12	1.49255137829119	21.6494845360825	0.224798377550387	4	1	0.111111111111111	0.625603992822924
0610040B10Rik	NaN	NaN	16	1.46322202364222	20	0.231489208141406	4	1	0.111111111111111	0.625603992822924
0610040F04Rik	NaN	NaN	16	0.99959724036601	20	0.368027638002368	4	1	0.111111111111111	0.643136038375082
0610040J01Rik	NaN	NaN	9	1.42122666688776	23.0769230769231	0.241417696096816	4	1	0.111111111111111	0.625603992822924
0610043K17Rik	NaN	NaN	16	0.962059132636902	20	0.38210526991842	4	1	0.111111111111111	0.651406152154891
0910001L09Rik	NaN	NaN	6	1.48777701728807	24.7058823529412	0.225874212325933	4	1	0.111111111111111	0.625603992822924
100043387	NaN	NaN	16	0.852329985062095	20	0.426420220823012	4	1	0.111111111111111	0.684455502449854
1100001G20Rik	NaN	NaN	16	1.34628479399994	20	0.260205182950385	4	1	0.111111111111111	0.625603992822924
1110001A16Rik	NaN	NaN	2	0.754774817258452	27.2727272727273	0.470116464926691	4	1	0.111111111111111	0.719447360278246
1110001J03Rik	NaN	NaN	16	1.35357712307725	20	0.25831458294558	4	1	0.111111111111111	0.625603992822924
1110002B05Rik	NaN	NaN	1	1.46408044372323	28	0.231290578422668	4	1	0.111111111111111	0.625603992822924
1110002L01Rik	NaN	NaN	16	1.49666141940358	20	0.223876343074409	4	1	0.111111111111111	0.625603992822924
1110002N22Rik	NaN	NaN	7	1.47041364658827	24.1379310344828	0.229830396962037	4	1	0.111111111111111	0.625603992822924
1110003E01Rik	NaN	NaN	3	1.33593619685771	26.5822784810127	0.262911922887514	4	1	0.111111111111111	0.625603992822924
1110004E09Rik	NaN	NaN	2	0.889862304839448	27.2727272727273	0.410712301955339	4	1	0.111111111111111	0.672221062390296
1110004F10Rik	NaN	NaN	1	1.29492785397396	28	0.273917625686741	4	1	0.111111111111111	0.625603992822924
1110005A03Rik	NaN	NaN	3	1.17899402951815	26.5822784810127	0.307588007473461	4	1	0.111111111111111	0.625603992822924
1110006O24Rik	NaN	NaN	2	1.44880631361049	27.2727272727273	0.234850458638693	4	1	0.111111111111111	0.625603992822924
1110007C09Rik	NaN	NaN	6	1.49656890309791	24.7058823529412	0.223897056244736	4	1	0.111111111111111	0.625603992822924
1110008F13Rik	NaN	NaN	1	0.730646989526623	28	0.481597300861534	4	1	0.111111111111111	0.73010607682067
1110008J03Rik	NaN	NaN	1	0.417079230873614	28	0.658968707209362	4	1	0.111111111111111	0.896119705506586
1110008L16Rik	NaN	NaN	1	1.40958469071736	28	0.244244699183276	4	1	0.111111111111111	0.625603992822924
1110008P14Rik	NaN	NaN	1	1.47770912204203	28	0.228159776338096	4	1	0.111111111111111	0.625603992822924
1110012J17Rik	NaN	NaN	1	1.13049475519993	28	0.322873473568847	4	1	0.111111111111111	0.625762310303314
1110012L19Rik	NaN	NaN	16	1.42013254041177	20	0.241681982144703	4	1	0.111111111111111	0.625603992822924
1110014N23Rik	NaN	NaN	16	1.48493607506384	20	0.226516820286935	4	1	0.111111111111111	0.625603992822924
1110015O18Rik	NaN	NaN	NA	NA	NA	1	4	1	NA	1
1110017D15Rik	NaN	NaN	1	1.13832455441578	28	0.320355310319807	4	1	0.111111111111111	0.625603992822924
1110017F19Rik	NaN	NaN	10	1.48785524655919	22.5806451612903	0.225856543042076	4	1	0.111111111111111	0.625603992822924
1110018G07Rik	NaN	NaN	16	0.978640395105142	20	0.375821720701818	4	1	0.111111111111111	0.647876696456709
1110018J18Rik	NaN	NaN	6	1.49533349651277	24.7058823529412	0.224173831071934	4	1	0.111111111111111	0.625603992822924
1110019D14Rik	NaN	NaN	7	1.49892734813736	24.1379310344828	0.223369629541009	4	1	0.111111111111111	0.625603992822924
1110020A21Rik	NaN	NaN	4	0.791229031658236	25.9259259259259	0.453287348291198	4	1	0.111111111111111	0.706142341344548
1110020G09Rik	NaN	NaN	13	1.49231683532373	21.2121212121212	0.224851108612548	4	1	0.111111111111111	0.625603992822924
1110021J02Rik	NaN	NaN	1	1.24434133341919	28	0.2881306276583	4	1	0.111111111111111	0.625603992822924
1110021L09Rik	NaN	NaN	1	0.831901370701487	28	0.435220982689789	4	1	0.111111111111111	0.691803602344555
1110028C15Rik	NaN	NaN	16	0.973563369149576	20	0.377734629166493	4	1	0.111111111111111	0.648909158411827
1110028F11Rik	NaN	NaN	16	1.01361782584125	20	0.362903679433398	4	1	0.111111111111111	0.64033891798082
1110028F18Rik	NaN	NaN	6	1.39752885329861	24.7058823529412	0.247207094766526	4	1	0.111111111111111	0.625603992822924
1110031I02Rik	NaN	NaN	16	1.39044825350293	20	0.248963680773637	4	1	0.111111111111111	0.625603992822924
1110032A03Rik	NaN	NaN	16	1.13564747684586	20	0.321214075312839	4	1	0.111111111111111	0.625603992822924
1110032A04Rik	NaN	NaN	2	1.22795832896152	27.2727272727273	0.292889952585485	4	1	0.111111111111111	0.625603992822924
1110032F04Rik	NaN	NaN	16	1.01397257810088	20	0.362774961365951	4	1	0.111111111111111	0.64025708257794
1110034A24Rik	NaN	NaN	16	1.43489862908465	20	0.238139503210581	4	1	0.111111111111111	0.625603992822924
1110034B05Rik	NaN	NaN	16	1.25604813236743	20	0.284777207535583	4	1	0.111111111111111	0.625603992822924
1110034G24Rik	NaN	NaN	16	1.06861075287832	20	0.343485372172096	4	1	0.111111111111111	0.631148097533511
1110035M17Rik	NaN	NaN	16	1.34628479399994	20	0.260205182950385	4	1	0.111111111111111	0.625603992822924
1110036E04Rik	NaN	NaN	1	1.41594496269806	28	0.242696166232235	4	1	0.111111111111111	0.625603992822924
1110037F02Rik	NaN	NaN	16	0.344797134490303	20	0.708364041524967	4	1	0.111111111111111	0.941528206283628
1110038B12Rik	NaN	NaN	16	1.44701518227664	20	0.235271483596869	4	1	0.111111111111111	0.625603992822924
1110038D17Rik	NaN	NaN	16	1.4046225498569	20	0.245459687764248	4	1	0.111111111111111	0.625603992822924
1110038F14Rik	NaN	NaN	1	0.385888150286662	28	0.679846562070999	4	1	0.111111111111111	0.912384364454693
1110046J04Rik	NaN	NaN	16	1.38041576944681	20	0.251473976125375	4	1	0.111111111111111	0.625603992822924
1110049F12Rik	NaN	NaN	16	1.47642918572707	20	0.228451993291097	4	1	0.111111111111111	0.625603992822924
1110050K14Rik	NaN	NaN	16	0.34472374938702	20	0.708416026800765	4	1	0.111111111111111	0.941528206283628
1110051M20Rik	NaN	NaN	1	0.981875031610126	28	0.374608038014051	4	1	0.111111111111111	0.647361951260287
1110054M08Rik	NaN	NaN	16	1.19563737468149	20	0.302511079818909	4	1	0.111111111111111	0.625603992822924
1110054O05Rik	NaN	NaN	5	1.39683100268169	25.3012048192771	0.247379668598492	4	1	0.111111111111111	0.625603992822924
1110057K04Rik	NaN	NaN	6	1.47079771778675	24.7058823529412	0.229742142675077	4	1	0.111111111111111	0.625603992822924
1110058L19Rik	NaN	NaN	16	0.774123437976848	20	0.461107793482443	4	1	0.111111111111111	0.712820016661451
1110059E24Rik	NaN	NaN	5	1.39085422168508	25.3012048192771	0.248862629953826	4	1	0.111111111111111	0.625603992822924
1110059G10Rik	NaN	NaN	2	1.32211049673114	27.2727272727273	0.266572108302519	4	1	0.111111111111111	0.625603992822924
1110059M19Rik	NaN	NaN	NA	NA	NA	1	4	1	NA	1
1110065P20Rik	NaN	NaN	16	1.49240861969713	20	0.224830471741521	4	1	0.111111111111111	0.625603992822924
1110067D22Rik	NaN	NaN	16	1.1875162063001	20	0.304977826108835	4	1	0.111111111111111	0.625603992822924
1190002F15Rik	NaN	NaN	6	1.48358487944872	24.7058823529412	0.226823095693654	4	1	0.111111111111111	0.625603992822924
1190002H23Rik	NaN	NaN	1	1.1238333776982	28	0.32503143518028	4	1	0.111111111111111	0.626422408878314
1190002N15Rik	NaN	NaN	1	0.921797521888939	28	0.397803337823852	4	1	0.111111111111111	0.662813441013276
1190003J15Rik	NaN	NaN	4	0.975117143413082	25.9259259259259	0.377148170551397	4	1	0.111111111111111	0.64844740387185
1190003K10Rik	NaN	NaN	NA	NA	NA	1	4	1	NA	1
1190005F20Rik	NaN	NaN	16	1.26259616580076	20	0.282918568715184	4	1	0.111111111111111	0.625603992822924
1190005I06Rik	NaN	NaN	16	0.884006945472309	20	0.413124224525392	4	1	0.111111111111111	0.672875165892458
1190007F08Rik	NaN	NaN	16	0.561070361867254	20	0.570597990541765	4	1	0.111111111111111	0.809280639798383
1190007I07Rik	NaN	NaN	3	1.29523921646718	26.5822784810127	0.273832351288184	4	1	0.111111111111111	0.625603992822924
1200009I06Rik	NaN	NaN	16	1.03326724240962	20	0.35584243571547	4	1	0.111111111111111	0.636146388702985
1200011I18Rik	NaN	NaN	3	1.3512579682401	26.5822784810127	0.258914349667254	4	1	0.111111111111111	0.625603992822924
1200011M11Rik	NaN	NaN	16	1.09620247938322	20	0.334137571736352	4	1	0.111111111111111	0.627834981260334
1200014J11Rik	NaN	NaN	16	1.42206017221696	20	0.241216556997456	4	1	0.111111111111111	0.625603992822924
1200016B10Rik	NaN	NaN	1	0.162442942803245	28	0.850064591144353	4	1	0.111111111111111	1
1300001I01Rik	NaN	NaN	16	1.4937092474728	20	0.224538241068018	4	1	0.111111111111111	0.625603992822924
1300002E11Rik	NaN	NaN	16	0.88117704394501	20	0.414294981181046	4	1	0.111111111111111	0.673826759925517
1300002K09Rik	NaN	NaN	13	1.48777268114328	21.2121212121212	0.225875191751346	4	1	0.111111111111111	0.625603992822924
1300010F03Rik	NaN	NaN	15	1.47127458836167	20.3883495145631	0.229632611525583	4	1	0.111111111111111	0.625603992822924
1300014I06Rik	NaN	NaN	1	0.839674874826277	28	0.431850906207759	4	1	0.111111111111111	0.688847204546839
1300015D01Rik	NaN	NaN	13	1.49217187502326	21.2121212121212	0.224883705459381	4	1	0.111111111111111	0.625603992822924
1300017J02Rik	NaN	NaN	16	1.34628479399994	20	0.260205182950385	4	1	0.111111111111111	0.625603992822924
1300018I17Rik	NaN	NaN	16	1.04907749445207	20	0.350260717573335	4	1	0.111111111111111	0.634095459380315
1300018J18Rik	NaN	NaN	7	1.49990247403803	24.1379310344828	0.223151922193109	4	1	0.111111111111111	0.625603992822924
1500001M20Rik	NaN	NaN	6	1.49973106872644	24.7058823529412	0.223190174896127	4	1	0.111111111111111	0.625603992822924
1500002O10Rik	NaN	NaN	16	0.178663473790056	20	0.836387318296233	4	1	0.111111111111111	1
1500002O20Rik	NaN	NaN	1	0.424913266445727	28	0.653826491366119	4	1	0.111111111111111	0.891139305639209
