tracking_id	q21_FPKM	q22_FPKM	q23_FPKM	q24_FPKM	q25_FPKM	q26_FPKM	q21_FPKMr	q22_FPKMr	q23_FPKMr	q24_FPKMr	q25_FPKMr	q26_FPKMr
0610005C13Rik	22.6844	23.5229	50.8599	99.9863	62.1252	22.9694	22.6844	23.5229	50.8599	99.9863	62.1252	22.9694
0610007C21Rik	50.3827	42.6767	45.7341	54.2043	34.1716	36.0272	50.3827	42.6767	45.7341	54.2043	34.1716	36.0272
0610007L01Rik	9.86218	9.36625	9.66451	11.1436	8.34811	9.05744	9.86218	9.36625	9.66451	11.1436	8.34811	9.05744
0610007N19Rik	3.37453	4.11853	4.00031	4.87314	4.81152	3.48595	3.37453	4.11853	4.00031	4.87314	4.81152	3.48595
0610007P08Rik	0.939813	0.929052	0.952406	0.764032	0.67509	1.03191	0.939813	0.929052	0.952406	0.764032	0.67509	1.03191
0610007P14Rik	101.054	94.8599	82.7362	137.999	142.903	115.539	101.054	94.8599	82.7362	137.999	142.903	115.539
0610007P22Rik	6.39832	4.65749	5.19078	5.12787	5.06996	4.9762	6.39832	4.65749	5.19078	5.12787	5.06996	4.9762
0610008F07Rik	2.32355	1.24975	1.48413	4.90853	2.55559	2.83223	2.32355	1.24975	1.48413	4.90853	2.55559	2.83223
0610009B22Rik	24.0642	20.5446	17.6439	16.4081	18.0958	23.0884	24.0642	20.5446	17.6439	16.4081	18.0958	23.0884
0610009D07Rik	52.3461	45.974	44.7345	50.3034	48.978	42.3626	52.3461	45.974	44.7345	50.3034	48.978	42.3626
0610009L18Rik	1.72879	1.00996	2.17029	3.71577	3.92397	2.11225	1.72879	1.00996	2.17029	3.71577	3.92397	2.11225
0610009O20Rik	5.67051	5.94451	6.07798	5.53729	6.47408	4.76537	5.67051	5.94451	6.07798	5.53729	6.47408	4.76537
0610010F05Rik	0.829213	1.06181	1.08324	1.11801	0.732835	1.00281	0.829213	1.06181	1.08324	1.11801	0.732835	1.00281
0610010K14Rik	18.9168	18.0869	17.7535	17.6198	18.1765	17.8719	18.9168	18.0869	17.7535	17.6198	18.1765	17.8719
0610010O12Rik	616.013	542.785	464.504	522.804	543.89	552.554	616.013	542.785	464.504	522.804	543.89	552.554
0610011F06Rik	42.9973	30.1821	40.313	38.6304	34.3153	28.3595	42.9973	30.1821	40.313	38.6304	34.3153	28.3595
0610011L14Rik	7.61002	7.09314	6.25303	7.84622	5.37051	6.76123	7.61002	7.09314	6.25303	7.84622	5.37051	6.76123
