tracking_id	q13_FPKM	q14_FPKM	q15_FPKM	q16_FPKM	q13_FPKMr	q14_FPKMr	q15_FPKMr	q16_FPKMr
0610005C13Rik	9.21384	30.4113	26.7949	12.4865	9.21384	30.4113	26.7949	12.4865
0610007C21Rik	17.748	15.5826	17.3341	18.0328	17.748	15.5826	17.3341	18.0328
0610007L01Rik	11.2633	9.4681	11.2318	9.82403	11.2633	9.4681	11.2318	9.82403
0610007N19Rik	3.75024	3.65874	2.25926	1.90855	3.75024	3.65874	2.25926	1.90855
0610007P08Rik	3.04438	2.86245	2.38613	2.6095	3.04438	2.86245	2.38613	2.6095
0610007P14Rik	44.9129	40.6606	43.106	38.3083	44.9129	40.6606	43.106	38.3083
0610007P22Rik	2.85305	4.28685	3.16448	2.63562	2.85305	4.28685	3.16448	2.63562
0610008F07Rik	1.94189	1.78516	4.13853	1.70419	1.94189	1.78516	4.13853	1.70419
0610009B14Rik	0.202392	0.273614	0.347851	0.444046	0.202392	0.273614	0.347851	0.444046
0610009B22Rik	12.6053	5.79399	5.34397	6.91398	12.6053	5.79399	5.34397	6.91398
0610009D07Rik	21.6665	19.0869	15.0259	17.8111	21.6665	19.0869	15.0259	17.8111
0610009L18Rik	0.960701	1.29877	3.7151	1.97603	0.960701	1.29877	3.7151	1.97603
0610009O20Rik	5.72265	6.76562	6.4413	6.05616	5.72265	6.76562	6.4413	6.05616
0610010B08Rik	0.273048	0.369134	0.254197	0.224649	0.273048	0.369134	0.254197	0.224649
0610010F05Rik	2.18051	2.08382	1.78767	1.49845	2.18051	2.08382	1.78767	1.49845
0610010K14Rik	7.57597	9.99596	6.98214	9.35234	7.57597	9.99596	6.98214	9.35234
0610010O12Rik	129.973	103.633	163.538	153.354	129.973	103.633	163.538	153.354
0610011F06Rik	12.5976	17.8049	12.0911	12.8324	12.5976	17.8049	12.0911	12.8324
0610011L14Rik	5.13133	3.78081	4.39278	4.41784	5.13133	3.78081	4.39278	4.41784
0610012G03Rik	7.88402	9.02274	8.78755	7.62116	7.88402	9.02274	8.78755	7.62116
0610012H03Rik	0.425581	0.561714	0.259676	0.207178	0.425581	0.561714	0.259676	0.207178
0610030E20Rik	9.26245	8.50348	9.94961	10.6127	9.26245	8.50348	9.94961	10.6127
0610031J06Rik	41.8751	37.8076	45.2606	38.4095	41.8751	37.8076	45.2606	38.4095
0610031O16Rik	0	0	0	0	0	0	0	0
0610037L13Rik	4.62465	4.46577	4.03728	3.66399	4.62465	4.46577	4.03728	3.66399
0610037P05Rik	11.3291	11.8574	10.8174	10.1562	11.3291	11.8574	10.8174	10.1562
0610038B21Rik	0.224913	0.0506768	0.257706	0.370093	0.224913	0.0506768	0.257706	0.370093
0610038L08Rik	0.777704	0.759331	1.33664	0.995328	0.777704	0.759331	1.33664	0.995328
0610039K10Rik	0.929226	1.16649	2.39559	1.67466	0.929226	1.16649	2.39559	1.67466
0610040B10Rik	1.06522	1.72809	0	0.701127	1.06522	1.72809	0	0.701127
0610040F04Rik	0.289227	0.0873326	0.699801	0.0939492	0.289227	0.0873326	0.699801	0.0939492
0610040J01Rik	16.2216	22.0503	25.5355	15.8756	16.2216	22.0503	25.5355	15.8756
0610043K17Rik	0.481524	0	0.206899	0.264115	0.481524	0	0.206899	0.264115
0910001L09Rik	12.533	14.7507	12.9242	9.94752	12.533	14.7507	12.9242	9.94752
100043387	0.627917	1.03752	0.719468	0.803626	0.627917	1.03752	0.719468	0.803626
1100001G20Rik	0	0.581057	0	0	0	0.581057	0	0
1110001A16Rik	3.33854	4.45768	4.02402	4.07951	3.33854	4.45768	4.02402	4.07951
1110001J03Rik	18.4551	11.1842	17.5	18.3835	18.4551	11.1842	17.5	18.3835
1110002B05Rik	41.7595	41.9491	37.1921	32.4022	41.7595	41.9491	37.1921	32.4022
1110002L01Rik	0.908409	0.797175	1.53389	1.18883	0.908409	0.797175	1.53389	1.18883
1110002N22Rik	1.55347	2.1619	2.12025	1.30317	1.55347	2.1619	2.12025	1.30317
1110003E01Rik	19.8086	17.474	17.1128	17.8681	19.8086	17.474	17.1128	17.8681
1110004E09Rik	5.62739	3.0012	3.81548	3.90782	5.62739	3.0012	3.81548	3.90782
1110004F10Rik	15.2604	13.2505	12.4388	11.6594	15.2604	13.2505	12.4388	11.6594
1110005A03Rik	7.47661	3.20878	3.67144	4.68675	7.47661	3.20878	3.67144	4.68675
1110006O24Rik	0.880925	0.95274	0.757023	0.483185	0.880925	0.95274	0.757023	0.483185
1110007C09Rik	18.0427	24.2801	28.4495	23.0613	18.0427	24.2801	28.4495	23.0613
1110008F13Rik	15.6947	12.1923	13.1853	11.5637	15.6947	12.1923	13.1853	11.5637
1110008J03Rik	1.41083	1.56451	1.43009	1.68766	1.41083	1.56451	1.43009	1.68766
1110008L16Rik	3.13387	2.3359	1.8051	1.72821	3.13387	2.3359	1.8051	1.72821
1110008P14Rik	13.2988	10.9952	7.74479	7.23406	13.2988	10.9952	7.74479	7.23406
1110012J17Rik	0.238861	0.484385	0.482995	0.485542	0.238861	0.484385	0.482995	0.485542
1110012L19Rik	4.23977	3.76883	6.38851	4.58729	4.23977	3.76883	6.38851	4.58729
1110014N23Rik	7.97274	7.39639	9.8576	8.65682	7.97274	7.39639	9.8576	8.65682
1110015O18Rik	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0.387052	0	0	0	0.387052
1110017F19Rik	14.1448	12.6034	14.0338	15.0936	14.1448	12.6034	14.0338	15.0936
1110018G07Rik	15.2579	9.72717	11.9287	12.7448	15.2579	9.72717	11.9287	12.7448
1110018J18Rik	7.22927	6.54461	6.98904	7.78886	7.22927	6.54461	6.98904	7.78886
1110019D14Rik	1.45207	0.929871	0.525406	1.00605	1.45207	0.929871	0.525406	1.00605
1110020A21Rik	0.917637	0.930418	1.31429	0.419435	0.917637	0.930418	1.31429	0.419435
1110020G09Rik	4.54532	4.95298	4.24859	4.15353	4.54532	4.95298	4.24859	4.15353
1110021J02Rik	5.53173	5.94862	6.05054	6.14888	5.53173	5.94862	6.05054	6.14888
1110021L09Rik	20.619	11.0993	13.6274	12.3993	20.619	11.0993	13.6274	12.3993
1110028C15Rik	3.54536	3.1511	3.43959	3.4036	3.54536	3.1511	3.43959	3.4036
1110028F11Rik	1.20388	3.70863	1.96735	2.05675	1.20388	3.70863	1.96735	2.05675
1110028F18Rik	0.0870222	0	0	0.0477315	0.0870222	0	0	0.0477315
1110031I02Rik	5.62081	6.37526	8.35059	5.69571	5.62081	6.37526	8.35059	5.69571
1110032A03Rik	4.63453	4.44507	5.9202	4.25961	4.63453	4.44507	5.9202	4.25961
1110032A04Rik	0.593846	0.25859	0.27396	1.83286	0.593846	0.25859	0.27396	1.83286
1110032F04Rik	0.103968	0	0.071476	0.0684315	0.103968	0	0.071476	0.0684315
1110034A24Rik	1.33793	1.80875	1.46332	1.26756	1.33793	1.80875	1.46332	1.26756
1110034B05Rik	1.65398	1.57336	2.01164	1.61564	1.65398	1.57336	2.01164	1.61564
1110034G24Rik	1.13186	1.10806	0.804967	1.28447	1.13186	1.10806	0.804967	1.28447
1110035M17Rik	0	0.202903	0	0	0	0.202903	0	0
1110036E04Rik	0	0	0.149007	0.380426	0	0	0.149007	0.380426
1110037F02Rik	7.59709	5.9598	7.34387	6.30721	7.59709	5.9598	7.34387	6.30721
1110038B12Rik	31.9123	37.2781	32.5898	30.7743	31.9123	37.2781	32.5898	30.7743
1110038D17Rik	31.8434	35.5785	41.2194	32.1712	31.8434	35.5785	41.2194	32.1712
1110038F14Rik	8.82284	9.36092	9.02151	9.5561	8.82284	9.36092	9.02151	9.5561
1110046J04Rik	1.04037	1.28927	1.93709	1.04617	1.04037	1.28927	1.93709	1.04617
1110049F12Rik	10.3404	12.6265	8.59942	9.31055	10.3404	12.6265	8.59942	9.31055
1110050K14Rik	2.76816	5.30668	2.80778	4.92835	2.76816	5.30668	2.80778	4.92835
1110051M20Rik	1.02969	1.50492	1.48275	1.80121	1.02969	1.50492	1.48275	1.80121
1110054M08Rik	4.73378	4.232	7.47982	4.18785	4.73378	4.232	7.47982	4.18785
1110054O05Rik	3.24367	2.45833	2.42142	2.83944	3.24367	2.45833	2.42142	2.83944
1110057K04Rik	14.9315	12.806	12.2029	13.7016	14.9315	12.806	12.2029	13.7016
1110058L19Rik	3.65529	5.08695	1.84775	5.30714	3.65529	5.08695	1.84775	5.30714
1110059E24Rik	23.4357	15.8414	15.3476	19.2373	23.4357	15.8414	15.3476	19.2373
1110059G10Rik	2.70375	1.24657	0.94013	1.25155	2.70375	1.24657	0.94013	1.25155
1110059M19Rik	0	0	0	0	0	0	0	0
1110065P20Rik	3.56191	4.09306	3.06093	3.22361	3.56191	4.09306	3.06093	3.22361
1110067D22Rik	15.3853	11.3522	18.6087	14.5904	15.3853	11.3522	18.6087	14.5904
1190002F15Rik	1.97988	0.713741	1.13427	2.7511	1.97988	0.713741	1.13427	2.7511
1190002H23Rik	1.2574	1.32213	1.32067	2.83535	1.2574	1.32213	1.32067	2.83535
1190002N15Rik	4.84587	3.34678	3.62113	3.42355	4.84587	3.34678	3.62113	3.42355
1190003J15Rik	9.29843	10.285	12.7123	5.33199	9.29843	10.285	12.7123	5.33199
1190003K10Rik	0	0	0	0	0	0	0	0
1190005F20Rik	15.464	13.1509	19.7181	15.1158	15.464	13.1509	19.7181	15.1158
