tracking_id	q9_FPKM	q10_FPKM	q11_FPKM	q12_FPKM	q9_FPKM_rep	q10_FPKM_rep	q11_FPKM_rep	q12_FPKM_rep
0610005C13Rik	21.3139	68.759	49.9205	13.6798	21.3139	68.759	49.9205	13.6798
0610007C21Rik	46.6898	51.5792	43.2233	42.0357	46.6898	51.5792	43.2233	42.0357
0610007L01Rik	12.7773	13.4211	12.357	13.4649	12.7773	13.4211	12.357	13.4649
0610007N19Rik	2.28258	3.46842	4.95788	2.07511	2.28258	3.46842	4.95788	2.07511
0610007P08Rik	1.20823	0.524062	0.833992	1.24221	1.20823	0.524062	0.833992	1.24221
0610007P14Rik	74.6238	109.21	77.6892	96.3013	74.6238	109.21	77.6892	96.3013
0610007P22Rik	6.95076	7.28335	6.81873	8.62942	6.95076	7.28335	6.81873	8.62942
0610008F07Rik	4.98277	5.35192	3.45923	1.42717	4.98277	5.35192	3.45923	1.42717
0610009B14Rik	0.117013	0.116256	0.0939279	0.103338	0.117013	0.116256	0.0939279	0.103338
0610009B22Rik	26.6556	19.5367	14.7322	22.7686	26.6556	19.5367	14.7322	22.7686
0610009D07Rik	54.5612	61.1363	43.797	52.0961	54.5612	61.1363	43.797	52.0961
0610009L18Rik	2.90991	1.65204	3.83742	2.75339	2.90991	1.65204	3.83742	2.75339
0610009O20Rik	7.72082	5.69503	6.60452	5.64764	7.72082	5.69503	6.60452	5.64764
0610010B08Rik	0.257101	0.137543	0.285755	0.261985	0.257101	0.137543	0.285755	0.261985
0610010F05Rik	0.501015	0.670911	0.7344	0.942636	0.501015	0.670911	0.7344	0.942636
0610010K14Rik	24.6244	24.3941	24.0796	20.655	24.6244	24.3941	24.0796	20.655
0610010O12Rik	652.832	732.808	443.252	711.801	652.832	732.808	443.252	711.801
0610011F06Rik	38.4283	50.2957	42.7987	42.7033	38.4283	50.2957	42.7987	42.7033
0610011L14Rik	7.48313	6.07746	6.03321	7.28579	7.48313	6.07746	6.03321	7.28579
0610012G03Rik	36.5969	25.0481	24.8071	28.7288	36.5969	25.0481	24.8071	28.7288
0610012H03Rik	1.90219	2.54156	1.89547	1.67988	1.90219	2.54156	1.89547	1.67988
0610030E20Rik	8.16681	8.01782	9.78681	9.50254	8.16681	8.01782	9.78681	9.50254
0610031J06Rik	87.7257	94.9011	85.8776	93.8553	87.7257	94.9011	85.8776	93.8553
0610031O16Rik	0	0	0	0	0	0	0	0
0610037L13Rik	12.5565	11.0188	11.7165	11.3705	12.5565	11.0188	11.7165	11.3705
0610037P05Rik	19.3888	18.4928	16.5258	17.1229	19.3888	18.4928	16.5258	17.1229
0610038B21Rik	0	0	0	0	0	0	0	0
0610038L08Rik	0.300043	0.298102	0.240849	0.264977	0.300043	0.298102	0.240849	0.264977
0610039K10Rik	0	0	0.184827	0.101672	0	0	0.184827	0.101672
