CycID	meta2d_phase_diff	meta2d_rAMP_diff
ND5	9.54445115876154	0.4035955282134446
ND4L	7.900194850621791	0.6128453967555682
TrnM		
Pisd-ps3	3.1609860277446984	0.151653894274412
LOC100861738	0.4182290099553007	0.2263795260755119
LOC100861749	6.13844374086802	0.0592166314474298
LOC434608	2.2476550446885	0.141014237393515
LOC673652	1.9451996108078011	0.051423883026737
Mid1-ps1	1.1333104613382012	0.065872688961248
Gm8525	2.064281616758901	0.200125799360558
Gm4017	6.1788265726645	0.097318340483461
Zf12	3.7426697050563007	0.143435657523819
LOC100862337	2.9842794901924213e-13	0.0025413876666154
Vamp7	2.5973785327817396	0.1472576140003026
Akap17a	9.9945199883155	6.377018180599159e-05
2510022D24Rik	10.73439485351625	0.2442584962208328
Gm25651		
Hccs	7.967697753353379	0.0454004258854399
Prps2	5.774542802128899	0.427834433781359
Bmx	3.1320478896096	0.216152160533501
Ace2	4.611592367558199	0.063913954647263
Siah1b	5.4355207812457	0.395837528937197
S100g	5.6985888279081	0.21739759499792
Gm15209	6.6801157030506	0.070626609832098
Txlng	3.059008381269699	0.261945238722218
Gm8737	9.484187424349573	0.002528413252109
Gm7331	5.166422293879199	0.0760116569316102
Gm15204	2.3729260030880006	0.036006362563785
Nhs	4.019395948109999	0.0133677921942684
Prkaca-ps1	5.0461223871415	0.1185599678905449
Eif1ax	3.5918838288771013	0.0839035668512874
Rps6ka3	3.783372022545999	0.0909371533921709
Gm8659	3.078973490129899	0.123202699941918
Gm8644	0.390773858476301	0.043106454552456
Mbtps2	0.8506894265221021	0.288207661401935
Gm6568	4.435636401869591	0.148922325726563
Gm15160	4.482424831810423	0.0376999568019059
Shroom2	0.1228274853707986	0.014512239620109
Tspyl2	6.7743960183496	0.1540819504001169
Gm52430	2.0752849950841004	0.0329811940970169
Gm52480		
Smc1a	5.471537791394599	0.028068252992269
Gm15191	1.2955423909491015	0.049984635742225
Gm15151	2.3411123170430104	0.076074996310076
Phf8	0.9769293575502012	0.2371418890295359
Gm6451	6.2774752942203005	0.0929006331242169
Maged2	5.92409872894394	0.1763327262187939
Tmem29	4.732512801130399	0.0194092803293449
Gm5644	7.79872362271787	0.0762073333858162
Amot	2.259624892049999	0.198766275954426
Gm15066	9.45152193758349	0.1558768699770949
Gm8202	7.717885959720601	0.32618831373239
Gm4760	0.4026706913119007	0.1911967970969455
Ammecr1	4.0264314709739	0.045433544432131
Gm4995	3.14662856317106	0.0975677520412965
Gm6368	0.1567261881278021	0.149607458211773
Gm15294	5.342074194469902	0.156185177033045
Col4a6	3.7500861201127	0.1220164027888849
Psmd10	6.030306846329011	0.0008318583350418
Gm6088	7.87567352209803	0.2701417823656994
Tsc22d3	1.5420531090304	0.1699185861746359
Cldn2	1.537419412434101	0.025359611411503
Rnf128	7.544918443904091	0.1400914422605141
Gm6275	7.40407099115637	0.1233743833487445
Btf3-ps3	8.85709362647886	0.2023157083822604
Gm4917	3.2203133062757985	0.545282987152085
Bex3	3.0518428723871054	0.2196765188177004
Tceal9	9.3061472932077	0.3557209580296629
Gm18614	9.91494108116108	0.248914837961707
Gprasp1	6.442446864308099	0.068058720642286
Nxf7	1.1363690277371	0.275742107354392
Cenpi	0.1257039429376973	0.1706536148770268
Trmt2b	3.8607930455236925	0.035701204796111
Gm7823	0.2634704362427023	0.9504447447785228
Gm2836	4.2341905199279	0.126949132041079
Gm7746	1.2367496475193	0.0746094037338579
Rps12-ps22	8.82726958972115	0.285744962991566
Rps12-ps21	10.95484108171557	0.311802588101972
Gm16421	9.7684158589631	0.68875870230004
Gm5648	0.8378685051333008	0.5999903848723049
Gm5863	2.288445005949701	0.174091125083608
Zfp711	11.29708032046892	0.0296295993570789
2010106E10Rik	6.8419920999523995	0.120257370978559
Gm5393	5.0640911707848915	0.0256663615910809
Gm14886	6.740068259711601	0.054511105509682
Taf9b	9.89850323895939	0.0297050981248249
Atp7a	2.6764407773566	0.165968265592463
Gm26020	10.90291770870282	0.160976583504914
5530601H04Rik	7.051944627870501	0.145553241153587
Zdhhc15	3.3398152531158303	0.0475526990998828
Vcp-rs	0.3369868575673003	0.004563874694537
Rlim	2.68190849152192	0.008783863813647
Gm9115	0.7078650892806007	0.326583212682791
Gm9109	1.8598429624293988	0.076406617330968
Ercc6l	3.8749876748128	0.3074554185397987
Pin4	3.0601370503007628	0.123677163624674
H3f3a-ps1	3.627385133737702	0.0472705339248408
Tpt1-ps6	3.673742442545499	0.002438947435507
Marcksl1-ps5	1.3029372499581005	0.1108820123767529
Gm14845	2.0855389006713985	0.302237862785091
Taf1	1.066597847912302	0.1810387917855075
Nono	5.353939142429503	0.0962448447609929
Med12	3.385450073392901	0.022495089181287
Dlg3	1.46162324058265	0.08310559854437
Gdpd2	0.2991589877430005	0.217984199670098
Kif4	9.9702424570828	0.1290373849098
Pdzd11	7.385189618433401	0.0266365571155133
Gm5760	3.8870659312248	0.3080051975864419
Gm14935	0.7848449331184995	0.0213315059482459
Heph	6.4000033066547	0.1263596289531784
Hsf3	0.3694275969134004	0.0375578615228823
Gm14925	0.1809927257878012	0.058860895624065
Msn	7.645104309396398	0.112168612884571
Las1l	3.780849639054899	0.119325936976973
LOC118568447	8.749064023088	0.652581001186685
Zxda	0.1285856767589983	0.0065648173128389
Gm39526	2.7150977776997003	0.0002662215869724
Maged1	8.1424291202653	0.094539415585008
Gm15164	8.156345129772257	0.075397002056529
Pola1	3.462173903433481	0.2758148266212045
Gm14783	3.009496378945098	0.138844550109196
Gm8844	1.0616092261349994	0.0766760607830769
Gm8839	6.5261212922449	0.0120744083733209
Actr3-ps	8.454683189534938	0.2309245202342559
Gm8806	4.5497132859684015	0.119302566359625
Gm8792	3.7505143037409017	0.347267594049094
Gm17817	6.13444352295577	0.0303580287036325
Gm8770	1.1016106733143012	0.290207345653011
Prkx	11.05321012177814	0.1196545689720769
Gm14746	4.591865602926099	0.0483799754844518
Tbl1x	1.3298719497321976	0.192324210774047
Gm5398	0.238694193782603	0.0663731785766253
Gm14706	1.7712040405012601	0.069591856772702
Oat-rs1	4.748398445433061	0.598565530257747
Gm8666	5.1385288153836015	0.260975326611176
Gm6039	3.0684657302214973	0.338809108180809
Gm8503	6.75321923136228	0.055377743196558
Smim9	1.3515331620861009	0.0256941041997029
Fam220-ps	1.1118940954966003	0.02470544685587
Gm4989	3.102126366650598	0.196063554225145
G6pdx	7.77514582658069	0.0452239883441119
Fam3a	3.263363796731202	0.0756300633805372
Slc10a3	7.02252271446433	0.0474287939373139
Ubl4a	7.084468482624102	0.0378823058040947
Snora70	4.021388968116302	0.4036508540477129
Rpl10	9.46647690372539	0.0855969357240419
Flna	10.526832847838698	0.2798716120653099
Mecp2	2.6936337223922013	0.045369593291083
Irak1	0.1081369721588991	0.1165819166300896
Hcfc1	1.8196017339683015	0.119916544835531
Abcd1	2.217663943555591	0.0082678767920189
Bcap31	4.16094146601489	0.0248899605581152
Bgn	5.406181968586202	0.12369729870789
Xlr3b	8.861300681643709	0.159978123467473
Xlr3a	11.1224153583899	0.0469464757603129
Xlr4a	7.27160600909167	0.194056646123613
Vma21	7.1029170441440534	0.0100398187485289
Cd99l2	11.919938165442462	0.3443433616688709
Gm14730	5.66614040318612	0.132579416006435
Rplp1-ps1	1.86401025701283	0.2430488277275519
Gm16407	0.4803060417545985	0.0283095332381729
Ids	3.7648108809937	0.0989579921089039
Fmr1	2.5183539825784997	0.2933006407814574
Gm5391	0.2255779938988027	0.0653564773160449
Gm8215	2.8177280949052985	0.202761872901348
Gm6743	8.322839524168199	0.0112675944305479
Gm8144	8.8155162978064	0.0336526991599529
Gm22287		
Gm14890	0.412719453055498	0.059774035112633
Gm5389	1.203533787444801	0.175429766867915
Arhgef6	11.311737834276002	0.0945700876254529
Fhl1	3.1284296099355995	0.0338173945804139
Slc9a6	0.4610959472034004	0.1029123702288897
Mmgt1	0.5466791679481986	0.1615525687965329
Gm14639	2.982884811259201	0.132197604436986
Atf1-ps	10.420505834565702	0.379147993923049
Mospd1	6.180249243106001	0.203258881147681
Fam122b	0.7345312502829984	0.2216504561005434
Hprt	1.0276869410207006	0.1132393795865005
Gm14586	11.61381633265202	0.2476965028944291
Gm52442	11.0444301067375	0.0159615692719539
Firre	5.367037923808599	0.130222624039153
Gm7803	1.5008872005006992	0.177987607818382
Rbmx2	8.75988294529132	0.082389407587879
Slc25a14	10.073381689643158	0.0531771608409801
Sash3	11.91227076634294	0.3241351924528309
Xpnpep2	0.4611738743837996	0.0743616159546859
Apln	3.1068679128494985	0.1155142543183739
Gm36658	8.62655229442153	0.0872324435446435
Gm14608	7.362364506982104	0.0239849748777239
Gm7722	3.741901805290227	0.0111635975449409
Gm14653	8.87006959988193	0.179066203810092
Stag2	6.093040570294301	0.167556703005882
Xiap	8.74130948409765	0.3559254499545221
Thoc2	0.6703913198218991	0.4414049251302084
Ap3s1-ps1	4.6514978159795	0.1281308572859902
LOC115489130	1.4028612578305977	0.020418105564222
Zbtb33	0.7965877747164001	0.281802555107895
Btg1c	4.637550433972201	0.070733786351251
Ndufa1	0.3394247236909802	0.125787308583457
Septin6	10.3127903538721	0.201014786672759
Nkrf	4.026045608216101	0.0614172088647049
Pgrmc1	4.651824426005902	0.0645337770811469
Gm6023	2.8458648733245404	0.168447330656822
Il13ra1	5.072560063606019	0.259173666065691
Gm2036	6.102778376998	0.031498885575772
Slc6a14	1.737686006151499	0.43219449045767
Gm1848	5.111495383487998	0.185990453412422
Rbm10	6.1081466756642	0.1057867880055614
Gm14538	10.31066004666057	0.2632967707460409
Kdm6a	5.3783644754336315	0.329004209443675
Maob	3.14694396257096	0.5331074616292121
LOC118568432	3.2220674888247007	0.0256365104089609
Gm34836		
Gm9434	3.9937239565474982	0.0275031823445919
Gm7129	0.2175052755424005	0.0841488836516124
Gm16481	1.605094213944657	0.450840393708715
Gm52422	0.4322908621323975	0.0463979793858323
Med14	6.956654807418602	0.170238463278386
Rpl30-ps11	9.71384545370127	0.1778584639781875
Gm14491	7.4152108994020995	0.0028112690261609
Gm14480	3.768022066120599	0.2012706716688189
Tspan7	11.43588861168731	0.0097847955837346
Otc	10.04104604306855	0.0030256213729536
Dynlt3	6.607465203952401	0.0403525821796119
Cybb	8.436437897023602	0.101529451408629
Xk	1.4430326205998991	0.0089948919706669
Ftsj1	5.380059484821448	0.119948634319494
Tbc1d25	1.4197442142843002	0.1309953121020479
Psmb7-ps2	4.006846146173698	0.063167274280682
Was	4.840532105724698	0.040023672333635
