CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP	ZK1_rep1	ZK2_rep1	ZK3_rep1	ZK4_rep1	ZK1_rep2	ZK2_rep2	ZK3_rep2	ZK4_rep2
ND5	0.26323156	0.613003373	24.2216451	21.65752481	1341.146181	655.4841531	0.488749222	2255.072101	586.6614881	1166.438406	1329.974165	2255.072101	586.6614881	1166.438406	1329.974165
ND4L	0.209321588	0.547089083	24.25422966	22.02177977	475.8327024	338.1792012	0.710710297	944.1826587	119.6317854	357.1476657	467.0526778	944.1826587	119.6317854	357.1476657	467.0526778
TrnM	1	1			0			0	0	0	0	0	0	0	0
Pisd-ps3	0.001887412	0.011943715	24.45541568	17.49333096	71.87684638	19.09060894	0.265601649	61.73945558	55.18524474	76.15507375	93.43456236	61.73945558	55.18524474	76.15507375	93.43456236
LOC100861738	0.001255413	0.010016745	24.08193669	17.55702164	25.95957761	10.22433719	0.393856069	21.70348731	16.35515875	28.9196581	36.76347618	21.70348731	16.35515875	28.9196581	36.76347618
LOC100861749	0.096990652	0.302103893	23.38042588	9.765173478	5.529193469	0.861695915	0.155844776	4.639367415	6.726417155	5.580956926	5.071826468	4.639367415	6.726417155	5.580956926	5.071826468
LOC434608	0.00192497	0.012045119	23.26826085	19.32010012	0.796257034	0.222382915	0.222382915	0.910291613	0.520010307	0.818588147	0.963224798	0.910291613	0.520010307	0.818588147	0.963224798
LOC673652	0.987917866	1	28.57407407	27.01627945	4.840791979	0.797527108	0.164751369	7.085186876	3.372884535	5.530746342	3.23952584	7.085186876	3.372884535	5.530746342	3.23952584
Mid1-ps1	0.583051797	1	24.98209872	20.40902882	3.465970673	1.597200782	0.460823513	2.403221034	2.960221712	1.772792707	6.445716533	2.403221034	2.960221712	1.772792707	6.445716533
Gm8525	0.000238081	0.00394273	24.00869777	21.5325514	0.272945721	0.18368341	0.18368341	0.372363189	0.141810012	0.139521267	0.437795553	0.372363189	0.141810012	0.139521267	0.437795553
Gm4017	0.90372132	1	24.5037497	21.276803	8.132907426	1.082885022	0.133148574	10.15888166	5.483461983	9.171434638	7.617839233	10.15888166	5.483461983	9.171434638	7.617839233
Zf12	0.00044324	0.005640669	24.19575782	19.23877432	0.354047813	0.37269789	0.37269789	0.334747801	0	0.282210988	0.787140634	0.334747801	0	0.282210988	0.787140634
LOC100862337	0.275856974	0.613003373	25.82163743	18.15692865	0.035713011	0.06227063	0.06227063	0	0	0	0.127431363	0	0	0	0.127431363
Vamp7	0.001136278	0.00950748	24.25422966	23.22164745	6.914620425	1.61229018	0.233171177	8.829687407	5.920210442	5.778063812	7.067052726	8.829687407	5.920210442	5.778063812	7.067052726
Akap17a	0.533068618	1	24.96180623	10.27426672	7.032941201	0.846655953	0.120384335	5.709978275	8.939923904	6.708985022	6.906735029	5.709978275	8.939923904	6.708985022	6.906735029
2510022D24Rik	0.002146715	0.012829288	23.41310846	6.302465106	14.34525751	3.716143454	0.259050313	13.90451836	18.79716823	12.92928751	11.46916987	13.90451836	18.79716823	12.92928751	11.46916987
Gm25651	1	1			0			0	0	0	0	0	0	0	0
