Gene	GF-H3K9ac_1	CV-H3K9ac_3	CV-H3K9ac_2	CV-H3K9ac_1	GF-H3K9ac_2	GF-H3K9ac_3	GF-H3K9ac_4	CV-H3K9ac_6	CV-H3K9ac_5	CV-H3K9ac_4
0610009B22Rik	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
0610009E02Rik	18.0	8.0	10.0	8.0	32.0	14	15.0	1.0	1.0	4.0
0610009L18Rik	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
0610010F05Rik	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
0610010K14Rik	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
0610012G03Rik	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
0610025J13Rik	44.0	34.0	15.0	20.0	26.0	20	27.0	7.0	2.0	13.0
0610031O16Rik	15.0	27.0	5.0	8.0	26.0	25	27.0	3.0	2.0	5.0
0610039H22Rik	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
0610039K10Rik	22.0	19.0	10.0	10.0	20.0	24	24.0	3.0	4.0	6.0
0610040B10Rik	164.0	99.0	18.0	21.0	195.0	202	279.0	4.0	15.0	13.0
0610040J01Rik	683.0	467.0	23.0	25.0	351.0	613	817.0	10.0	35.0	19.0
0610043K17Rik	21.0	15.0	3.0	7.0	19.0	21	23.0	0.0	2.0	4.0
1100001I12Rik	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1110002E22Rik	26.0	43.0	7.0	13.0	57.0	33	32.0	3.0	4.0	5.0
1110002J07Rik	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1110002L01Rik	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1110002O04Rik	10.0	15.0	2.0	7.0	17.0	20	13.0	4.0	3.0	2.0
1110006O24Rik	17.0	18.0	4.0	8.0	18.0	11	8.0	2.0	2.0	4.0
