Gene ID	CV-H3K9ac_1.sort.bam	CV-H3K9ac_2.sort.bam	CV-H3K9ac_3.sort.bam	CV-H3K9ac_4.sort.bam	CV-H3K9ac_5.sort.bam	CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
0610005C13Rik	1080	1190	6838	1578	544	689	14051	16400	11751	14250
0610007C21Rik	1590	1839	16446	2132	1594	598	24300	33349	23752	32199
0610007L01Rik	1087	594	2454	495	249	347	3898	2850	3598	3300
0610007N19Rik	1128	1623	16602	1592	1439	744	26751	33700	25799	34800
0610007P08Rik	1475	2230	19535	2391	1584	987	24047	31806	24050	32304
0610007P14Rik	1482	1088	12782	1387	1638	848	20100	23050	23650	28050
0610007P22Rik	1138	1239	8376	1190	1090	596	12200	13500	11399	15798
0610008F07Rik	1282	984	10137	2234	1196	644	22750	25051	24450	30850
0610009B14Rik	940	840	2389	645	547	197	4300	3300	3750	5700
0610009B22Rik	1584	1491	17198	994	1643	594	26200	25100	23401	37952
0610009D07Rik	1476	1635	9129	837	1091	547	13551	14000	14100	19500
0610009L18Rik	7658	10044	114325	13433	10868	2427	122452	194649	146755	186151
0610009O20Rik	1088	1938	16133	2035	1729	842	19901	22750	19200	25949
0610010B08Rik	449	443	2581	334	249	49	3500	3750	3800	4000
0610010F05Rik	894	1238	6887	1032	1092	250	12141	13550	13850	16099
0610010K14Rik	1928	2924	21150	3221	2483	827	34000	34453	34349	47600
0610010O12Rik	3324	3669	36331	3422	3525	1390	44049	65449	50799	63758
0610011F06Rik	1188	943	6842	841	944	493	10950	10301	10550	18100
0610011L14Rik	1780	1491	11692	937	1434	498	19555	22103	20555	29803
0610012G03Rik	2331	2139	17454	2032	1892	795	25950	31550	24450	35500
0610012H03Rik	794	840	2678	695	151	348	4599	5050	4350	4950
0610030E20Rik	1073	1988	15328	2833	2142	596	23347	26350	26400	32498
0610031J06Rik	1118	1484	9920	1289	1242	588	14500	18650	17552	22001
0610031O16Rik	989	894	3611	496	343	544	5150	5550	5750	8400
0610037L13Rik	940	1643	7131	940	937	445	10102	10799	9651	12750
0610037P05Rik	1188	1384	9960	796	597	596	11700	15245	11250	18250
0610038B21Rik	746	740	2924	448	199	294	4250	3450	3200	4050
0610038L08Rik	1138	940	2675	741	448	200	1900	2350	2500	2200
0610039K10Rik	2279	2435	33247	3428	2914	738	33202	53007	44407	49950
0610040B10Rik	1617	2730	13850	2088	1336	298	21500	26449	23199	29800
0610040F04Rik	3320	3473	45354	5608	5403	1523	42847	59863	54160	61962
0610040J01Rik	1426	1193	14234	1883	1785	534	21001	25650	22050	30399
0610043K17Rik	790	593	4656	645	342	149	5950	4500	5100	7099
0910001L09Rik	892	1138	7548	1090	746	297	13250	13400	11500	17901
100043387	1072	788	3358	300	299	249	6101	6000	6100	8700
1100001G20Rik	733	794	1835	448	296	148	3000	2250	3000	2200
1110001A16Rik	989	694	9365	991	1073	446	11849	12902	11299	14151
