Gene ID	CV-H3K9ac_F1.sort.bam	CV-H3K9ac_F2.sort.bam	CV-H3K9ac_F4.sort.bam	CV-H3K9ac_F5.sort.bam	CV-H3K9ac_F6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
0610005C13Rik	3279	4940	5178	3193	1890	14051	16400	11751	14250
0610007C21Rik	5790	6739	6732	6593	2098	24300	33349	23752	32199
0610007L01Rik	2886	2645	1695	1449	897	3898	2850	3598	3300
0610007N19Rik	4428	6223	6692	6539	2144	26751	33700	25799	34800
0610007P08Rik	6324	6979	7992	8684	2187	24047	31806	24050	32304
0610007P14Rik	4532	5138	5838	5038	1948	20100	23050	23650	28050
0610007P22Rik	3888	4889	3589	4390	1646	12200	13500	11399	15798
0610008F07Rik	4432	5884	6334	3496	1894	22750	25051	24450	30850
0610009B14Rik	3290	2790	2445	1747	1147	4300	3300	3750	5700
0610009B22Rik	5134	7486	6244	6243	1894	26200	25100	23401	37952
0610009D07Rik	4976	5685	4137	3942	1596	13551	14000	14100	19500
0610009L18Rik	25403	40690	51832	44518	8627	122452	194649	146755	186151
0610009O20Rik	4638	6988	6685	6779	2387	19901	22750	19200	25949
0610010B08Rik	1549	1544	1684	899	499	3500	3750	3800	4000
0610010F05Rik	3243	4638	3782	4091	1750	12141	13550	13850	16099
0610010K14Rik	6978	9724	9971	10733	3427	34000	34453	34349	47600
0610010O12Rik	10174	14720	13922	13630	3890	44049	65449	50799	63758
0610011F06Rik	4636	4243	3341	3294	1693	10950	10301	10550	18100
0610011L14Rik	5130	6191	4337	5184	1848	19555	22103	20555	29803
0610012G03Rik	5881	8789	7582	8043	2645	25950	31550	24450	35500
0610012H03Rik	3044	3289	2342	1701	948	4599	5050	4350	4950
0610030E20Rik	5571	8038	8983	8142	1746	23347	26350	26400	32498
0610031J06Rik	4067	5584	4289	3892	1488	14500	18650	17552	22001
0610031O16Rik	2589	3494	1446	1593	1644	5150	5550	5750	8400
0610037L13Rik	3641	4293	3690	3337	1495	10102	10799	9651	12750
0610037P05Rik	4038	4784	4096	3647	1446	11700	15245	11250	18250
0610038B21Rik	2296	2590	1648	1299	1291	4250	3450	3200	4050
0610038L08Rik	3588	2990	2241	1598	650	1900	2350	2500	2200
0610039K10Rik	8628	11536	13578	13567	3738	33202	53007	44407	49950
0610040B10Rik	4917	7830	6938	6136	1544	21500	26449	23199	29800
0610040F04Rik	10072	14925	20264	21853	5073	42847	59863	54160	61962
0610040J01Rik	3978	5245	6333	5733	1884	21001	25650	22050	30399
0610043K17Rik	2540	3393	2695	1592	699	5950	4500	5100	7099
0910001L09Rik	3992	4338	3640	3296	1997	13250	13400	11500	17901
100043387	2722	2388	2350	1549	899	6101	6000	6100	8700
1100001G20Rik	2533	1994	1798	1046	698	3000	2250	3000	2200
1110001A16Rik	3789	3994	3691	3323	1596	11849	12902	11299	14151
1110001J03Rik	8828	10976	9630	12017	4044	41701	45103	43100	59854
1110002B05Rik	4192	7225	6039	5188	1444	21251	24550	21404	29750
1110002L01Rik	6541	8818	9331	10941	2540	33394	42199	32350	43298
1110002N22Rik	3839	4639	4396	4297	1591	12749	13651	14698	18050
1110003E01Rik	7072	10081	10530	9634	3096	33100	45309	32651	47901
1110004E09Rik	4431	5525	5242	4132	1892	17499	16600	16450	20155
1110004F10Rik	4689	4832	3440	4791	1097	17601	20750	17800	23051
1110005A03Rik	8010	9927	11084	12085	4186	33448	42149	34251	48101
1110006O24Rik	5517	8334	7575	8469	2594	22706	26443	23052	31800
1110007C09Rik	5510	6439	7892	6983	2807	20350	22599	23900	30000
1110008F13Rik	8082	10131	11835	12674	2741	35198	44749	36801	49450
1110008J03Rik	6420	8386	6889	9077	2446	29450	33901	26800	42051
1110008L16Rik	5831	8406	6679	7687	1845	30951	38250	30500	46401
1110008P14Rik	3797	3888	3186	2597	1500	6300	6150	8000	9000
1110012J17Rik	3082	2597	1747	1749	1297	4050	2900	2850	4401
1110012L19Rik	2591	2443	2644	1747	695	5700	7900	5850	7750
1110014N23Rik	3584	5587	4388	4098	1779	14050	13800	15653	20500
1110015O18Rik	1993	1195	549	440	949	650	1350	1150	550
1110017D15Rik	3086	2394	1794	1147	899	2499	2300	3050	2500
1110017F19Rik	6024	7430	6923	6631	2197	23050	25700	23453	28150
1110018G07Rik	5083	6588	5392	5476	1732	24204	29006	27902	35501
1110018J18Rik	4418	4989	5245	4783	1999	13901	15900	12350	21750
1110019D14Rik	2694	2822	2494	3088	1239	12950	16450	12202	20950
1110020A21Rik	10316	17521	16708	17060	5035	60602	79049	63997	88001
1110020G09Rik	3585	6235	5641	5337	2293	15551	14998	14198	19700
1110021J02Rik	2942	2743	2693	1948	1095	4550	4300	4100	5300
1110021L09Rik	4480	4838	4140	4626	1744	22052	18551	20696	26102
1110028C15Rik	4689	6591	7687	7836	1795	20549	16148	16351	22897
1110028F11Rik	3083	2445	2099	1747	1046	4450	5301	4100	6200
1110028F18Rik	3132	2498	2148	1700	1144	6001	6600	5951	10300
1110031I02Rik	4131	4290	2996	3546	1500	8051	9650	8750	10200
1110032A03Rik	5091	6540	6492	6376	1996	24103	30603	22449	36500
1110032A04Rik	3186	3096	1899	1850	1144	8150	6950	8500	11151
1110032F04Rik	2082	2596	1943	1146	894	2850	2351	2401	2549
1110034A24Rik	5787	8194	7832	6982	2147	22148	20599	21152	28100
1110034B05Rik	7471	9507	7680	8026	2997	28850	31597	26351	34800
1110034G24Rik	3035	2091	1898	1698	746	3451	2950	2850	4450
1110035M17Rik	6424	7133	8684	8237	1988	22400	22450	21100	28704
1110036E04Rik	3812	3847	2725	2447	1247	10450	11650	10201	11700
1110037F02Rik	3474	5095	3644	4433	1296	16598	18200	14751	19752
1110038B12Rik	8875	13572	12830	14764	3245	39805	47252	43399	59153
1110038D17Rik	9052	12816	12822	10574	3143	50303	57300	43099	57752
1110038F14Rik	4436	4991	4189	3495	1199	15750	14600	14500	20700
1110046J04Rik	6978	8770	10070	7542	1997	30198	45751	36999	43400
1110049F12Rik	3992	7587	6589	6774	2087	20750	20400	21146	31499
1110050K14Rik	2273	2456	2094	1100	597	2000	2400	2300	2400
1110051M20Rik	2346	1896	1442	1198	700	2450	3250	3250	3650
1110054M08Rik	9972	14622	14832	14322	4489	49349	56748	50046	68248
1110054O05Rik	4636	6935	4941	4889	1595	17550	20399	19149	24250
1110057K04Rik	4791	5693	5599	5635	1798	17650	21205	16350	26404
1110058L19Rik	3881	3892	3541	2633	1945	12350	12650	12900	17700
1110059E24Rik	5937	11987	8137	10036	2349	32398	36751	31402	41495
1110059G10Rik	6983	8480	9277	8136	2489	32504	35899	32898	40299
1110059M19Rik	796	747	550	399	295	350	1200	200	200
1110065P20Rik	5987	8937	10880	11531	2495	27150	34150	28050	38896
1110067D22Rik	6437	9330	11532	11333	2840	30000	38999	38700	36400
1190002F15Rik	5978	7335	6582	8288	2633	26496	24097	27701	30147
1190002H23Rik	2926	2696	2394	1897	949	4650	5500	4450	5300
1190002N15Rik	5639	7138	6939	7939	2344	22151	23352	21601	31902
