Gene ID	merged_CV-H3K9ac_1.sort.bam	merged_CV-H3K9ac_2.sort.bam	merged_CV-H3K9ac_3.sort.bam	merged_CV-H3K9ac_4.sort.bam	merged_CV-H3K9ac_5.sort.bam	merged_CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
0610005C13Rik	1185.9698884792774	2101.565447521402	2206.411680414072	3374.0884638462708	2843.825404260366	1890.0	6986.609443792823	5733.74112632725	5125.716270935924	6391.5640105813145
0610007C21Rik	2094.1645789249824	2866.8926216288924	4709.19912025052	4386.705975012185	5872.014058969181	2098.0	12082.742116871796	11659.422733041918	10360.481054146034	14442.24347906721
0610007L01Rik	1043.8271113605351	1125.2308924482002	1072.7744006234886	1104.4959339937097	1290.542753139139	897.0	1938.2110605582823	996.4123298800404	1569.4261886501108	1480.1516656083045
0610007N19Rik	1601.547626162318	2647.3768785274665	4896.021697172124	4360.6411742099735	5823.919297982629	2144.0	13301.458204462444	11782.138777879774	11253.370272647084	15608.87211005121
0610007P08Rik	2287.305146307701	2968.9929672574626	5566.307231651476	5207.747200281846	7734.350081615102	2187.0	11956.942373844282	11119.96160146125	10490.466880776867	14489.33921388202
0610007P14Rik	1639.1630175626976	2185.798232664972	3792.5512357513176	3804.1576770827596	4487.063071300885	1948.0	9994.366936177905	8058.703229380677	10315.989261138166	12581.289157670588
0610007P22Rik	1406.2369400449622	2079.869124075331	2573.705925126801	2338.6642519784214	3909.9259394622636	1646.0	6066.232667729872	4719.847878379139	4972.175965653867	7085.889700993937
0610008F07Rik	1602.9943719854095	2503.160140327111	3198.476610837718	4127.3612070301815	3113.6904520182397	1894.0	11312.032228758573	8758.289570464874	10664.944500415566	13837.175419398845
0610009B14Rik	1189.9484394927792	1186.9165179321278	1029.1119003514425	1593.2109490351743	1555.9545822871469	1147.0	2138.09839928184	1153.7405924926784	1635.7276841128169	2556.625604232526
0610009B22Rik	1856.8982639379722	3184.6799473978167	5106.660183333026	4068.7154052252054	5560.288756278567	1894.0	13027.483270042841	8775.420870171583	10207.376942913075	17022.64121611102
0610009D07Rik	1799.7518039258568	2418.501937076755	2812.9235023748606	2695.752022968718	3510.9175520182785	1596.0	6737.993350853074	4894.657059059848	6150.336092264191	8746.3507513218
0610009L18Rik	9187.9210359985	17310.262765110496	31721.732621889823	33774.76887950558	39649.67721480206	8627.0	60887.075625316254	68052.86442063858	64013.657675193725	83494.45839534893
0610009O20Rik	1677.501781874623	2972.821730218534	4890.993894110494	4356.0798340695865	6037.673791256192	2387.0	9895.417731187885	7953.817720972252	8374.925742657622	11638.925930566633
0610010B08Rik	560.2523199921931	656.8455568771345	921.4110663470616	1097.3281137731017	800.6887060538895	499.0	1740.312650578242	1311.0688551053163	1657.5373865676545	1794.1232310403689
0610010F05Rik	1172.9491760714538	1973.089179272118	2232.34455936353	2464.4269158490915	3643.6234665922825	1750.0	6036.895968762982	4737.328796447209	6041.287579990004	7220.897474129725
0610010K14Rik	2523.8480883831653	4136.765670384233	6231.82958428297	6497.303219971256	9559.279067938149	3427.0	16905.894319902924	12045.401403984923	14982.829392424306	21350.066449380392
