Gene,ReadCount
Gm26206,11
Gm18956,8
LOC118567655,12
Gm7341,3
Xkr4,4
LOC108167595,3
Gm27396,3
Gm6101,3
Rp1,38
Sox17,45
Gm7357,8
Gm22307,2
Gm39586,6
Gm37323,27
Gm46082,4
Gm29874,24
Gm7369,6
Gm6085,9
Gm6119,3
Gm2053,13
Gm6123,9
Mrpl15,45
Lypla1,4
LOC118567656,7
Tcea1,14
Gm6104,7
Gm16041,4
Rgs20,82
Gm17101,9
Atp6v1h,138
Gm7182,11
Gm19070,6
Oprk1,20
Npbwr1,6
Gm19214,5
Gm46206,4
Rb1cc1,65
Alkal1,11
Gm2147,9
Gm7417,2
Gm19026,8
St18,201
Gm7449,5
Gm37108,9
Gm5694,6
Pcmtd1,26
Gm26983,5
Gm9826,3
Nras-ps2,7
Gm23274,9
Gm19002,8
Gm26901,114
Gm18984,3
Gm7470,5
Rps2-ps2,7
Gm17903,4
Gm39589,8
Gm15452,4
Gm7445,6
Gm6152,12
Gm7493,6
Sntg1,84
Gm6187,10
Gm30719,20
Gm18299,5
Gm7512,8
Gm24765,6
Gm18300,6
Rrs1,2
Adhfe1,31
Gm6161,4
Vxn,8
2610203C22Rik,7
Mybl1,39
1700034P13Rik,2
Vcpip1,10
Gm39590,48
Gm51615,11
Sgk3,23
Gm6195,11
Gm2352,6
Mcmdc2,14
Snord87,4
Snhg6,4
Tcf24,39
Ppp1r42,44
LOC115487608,6
Cspp1,214
Cops5,21
Arfgef1,24
Cpa6,40
Gm15604,8
Gm25253,11
Gm15603,13
Gm5522,6
Gm28659,6
Prex2,32
Gm24173,8
A830018L16Rik,80
Gm30898,5
Gm30974,7
Gm7560,8
Gm22633,7
Mir6341,6
Gm39591,7
Gm2383,8
Gm6216,6
Gm17644,3
Sulf1,106
Slco5a1,102
Gm5250,2
Gm39592,4
Prdm14,6
Ncoa2,236
Gm23169,10
Gm51852,5
Gm7593,8
Gm39595,8
Gm39600,5
Tram1,20
Lactb2,12
Xkr9,13
Gm26273,4
Gm2452,4
Gm5523,9
Gm31195,27
Gm19122,6
Gm39596,23
Eya1,112
Gm7617,8
Gm9947,28
Msc,23
Smt3h2-ps4,8
Rpl5-ps1,9
Gm33500,5
Trpa1,12
Gm26345,7
Gm5048,4
Gm10566,6
Kcnb2,25
Gm51616,6
Gm51617,9
Gm25227,2
Gm25168,4
Gm6060,10
Terf1,27
Sbspon,10
Gm31523,3
Gm7634,12
4930444P10Rik,38
Rdh10,12
Rpl7,8
Gm7568,18
C130013N14Rik,8
Stau2,94
Ube2w,50
Eloc,107
D030040B21Rik,8
Tmem70,31
Idi1-ps5,11
Ly96,14
Gm5828,7
LOC118567657,6
Gm46085,24
Jph1,20
Gm31982,16
Gdap1,17
Gm28784,6
Gm39597,9
Gm5251,2
Rbm6-ps1,9
Gm6075,6
Gm25166,6
Pi15,8
Gm28154,64
Crispld1,35
Gm16070,10
Gm7690,3
Gm17969,11
Gm18775,7
Crisp4,26
Defb44-ps,7
Defb18,9
Gm17837,7
Defb41,12
Gm5252,10
Gm24075,5
Gm28343,10
Tfap2d,26
Gm15825,20
Tfap2b,53
LOC118567642,4
Gm4849,3
Gm32651,10
4930486I03Rik,8
Gm15795,5
Gm24162,5
Pkhd1,28
Lincmd1,1
Mir206,7
Mir133b,7
Il17a,7
Il17f,10
Gm20587,15
Mcm3,28
Gm24723,2
Paqr8,16
6720483E21Rik,4
Gm24171,5
Efhc1,18
Gm51618,5
Tram2,10
Tmem14a,34
Gm32947,4
Gsta3,32
Gm7094,4
Gm28836,5
Gm4956,7
Gm21909,4
