gene	read_counts_per_gene_CV-H3K9ac_1.txt	read_counts_per_gene_CV-H3K9ac_2.txt	read_counts_per_gene_CV-H3K9ac_3.txt	read_counts_per_gene_CV-H3K9ac_4.txt	read_counts_per_gene_CV-H3K9ac_5.txt	read_counts_per_gene_CV-H3K9ac_6.txt	read_counts_per_gene_GF-H3K9ac_1.txt	read_counts_per_gene_GF-H3K9ac_2.txt	read_counts_per_gene_GF-H3K9ac_3.txt	read_counts_per_gene_GF-H3K9ac_4.txt
0610005C13Rik	25	40	50	34	22	17	89	71	66	110
0610007C21Rik	69	78	177	75	67	21	245	327	224	304
0610007L01Rik	25	25	38	18	15	13	45	16	31	21
0610007N19Rik	48	74	197	86	88	25	248	302	256	360
0610007P08Rik	59	74	224	78	66	31	266	373	277	382
0610007P14Rik	59	65	197	73	68	21	258	297	289	336
0610007P22Rik	38	42	92	30	39	16	89	107	74	117
0610008F07Rik	37	36	68	32	17	14	65	67	72	128
0610009B14Rik	28	25	36	26	17	17	43	28	38	44
0610009B22Rik	52	80	237	77	87	24	322	283	244	425
0610009D07Rik	55	49	111	32	38	18	98	101	116	156
0610009L18Rik	244	433	1187	505	383	86	1170	1985	1398	1670
0610009O20Rik	41	60	171	57	62	24	209	225	217	286
0610010B08Rik	9	10	15	8	8	5	9	22	11	13
0610010F05Rik	22	27	39	10	15	15	43	54	56	55
0610010K14Rik	91	122	332	135	144	47	480	462	499	663
0610010O12Rik	52	49	119	45	36	19	161	208	177	254
0610011F06Rik	46	39	90	25	26	17	113	91	86	177
0610011L14Rik	37	35	58	12	34	15	66	86	92	129
0610012G03Rik	44	66	150	54	56	19	206	252	190	292
0610012H03Rik	33	29	33	21	13	9	29	42	26	31
0610030E20Rik	24	34	56	37	15	10	71	87	100	122
0610031J06Rik	28	17	52	24	11	9	42	37	46	63
0610031O16Rik	31	26	66	14	15	6	58	57	58	94
0610037L13Rik	40	49	103	43	31	15	119	138	106	148
0610037P05Rik	38	29	78	31	33	12	73	101	58	107
0610038B21Rik	19	22	32	12	12	9	24	16	21	11
0610038L08Rik	34	25	34	20	14	7	20	25	22	19
0610039K10Rik	116	160	493	176	166	41	452	793	661	700
0610040B10Rik	70	103	224	99	82	20	290	353	312	388
0610040F04Rik	86	120	320	149	163	38	315	431	479	564
0610040J01Rik	23	36	112	37	57	16	124	148	106	169
0610043K17Rik	18	23	31	21	11	7	27	31	35	27
0910001L09Rik	34	33	54	27	19	12	68	87	69	122
100043387	20	12	22	12	7	9	19	19	13	22
1100001G20Rik	26	22	37	22	13	8	21	26	34	16
1110001A16Rik	29	23	62	12	15	10	43	47	41	68
1110001J03Rik	88	112	357	87	118	34	550	550	526	801
1110002B05Rik	31	29	49	22	17	14	50	46	50	83
1110002L01Rik	99	139	492	162	194	44	577	710	531	702
1110002N22Rik	42	42	99	32	39	15	106	115	124	123
1110003E01Rik	65	62	159	71	65	27	201	274	202	336
1110004E09Rik	39	39	106	29	27	16	111	104	112	132
1110004F10Rik	33	30	97	29	31	12	103	134	97	147
1110005A03Rik	92	116	367	152	163	53	431	538	429	545
1110006O24Rik	64	104	201	101	95	27	240	280	231	333
1110007C09Rik	57	42	140	56	50	20	167	203	213	252
1110008F13Rik	69	84	212	102	102	18	293	394	335	462
1110008J03Rik	86	117	319	103	147	39	438	550	407	666
1110008L16Rik	52	81	185	58	64	19	244	272	261	387
1110008P14Rik	37	36	63	23	25	14	37	47	59	55
1110012J17Rik	32	24	38	15	15	12	42	30	30	36
