GeneName	GF-H3K9ac_1	GF-H3K9ac_4	GF-H3K9ac_3	GF-H3K9ac_2	merged_CV-H3K9ac_6	merged_CV-H3K9ac_5	merged_CV-H3K9ac_4	merged_CV-H3K9ac_3	merged_CV-H3K9ac_2	merged_CV-H3K9ac_1
0610005C13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0610007C21Rik	676.235772796117	829.7819943561707	615.0336092264192	666.0229783935007	204.0	442.6499298206708	267.81582824272255	332.3642444950917	238.234139799997	170.71600712479994
0610007L01Rik	575.7948712484584	628.3916616718892	526.050023210682	436.67333334041064	322.0	495.1979094170885	387.71391193289514	338.4505324118012	351.8207743117813	292.96602917603377
0610007N19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0610007P08Rik	1058.6073237374508	1173.3565931004014	991.4690735969155	1004.1039338299915	514.0	722.3120585202496	635.3295195539038	693.042958863571	575.1652803742785	566.400989740332
0610007P14Rik	376.9019968966593	452.11905422217296	371.20113578133527	278.29621564368847	158.0	179.01938811660932	172.0276852945955	159.56659190329643	157.4046995107123	101.27220761640675
0610007P22Rik	1288.825825799658	1497.195836303188	1062.568703599686	981.0291219801379	382.0	842.548960986629	509.5668556832336	551.9998519241731	472.21409853213686	343.6021329842372
0610008F07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0610009B14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0610009B22Rik	297.34484715593965	390.67033355904033	238.5981448559229	196.83513744647814	52.0	131.81527085203075	99.04624304840347	125.95969775450929	85.08362135714178	56.42308710056947
0610009D07Rik	201.87626746707608	234.13308165076816	183.2015006206355	146.490093410434	99.0	124.6901210762453	123.15618379044905	105.58386429422102	120.39332422035562	103.08063989527115
0610009L18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0610009O20Rik	833.3611435340382	970.6206679928396	757.2328692319601	666.3725967548621	379.0	591.387431390192	503.70227550273603	525.5377305471753	399.46760227178066	271.2648418296609
0610010B08Rik	396.2940521459597	444.0454996824913	420.9272573783649	368.49775287493424	254.0	324.19431479823777	310.8227495663714	280.4984865961761	307.15187309928183	271.2648418296609
0610010F05Rik	520.1048664299547	535.9943152733102	530.8481577507462	450.65806779486735	348.0	390.1019502242532	378.59123165212117	384.75924482154727	357.77662780678116	354.09104020165074
0610010K14Rik	6031.426414718308	7635.33994050005	5229.966648670047	4395.751657397104	1440.0	3567.9187502245622	2566.7312589977714	2416.2563029336643	1757.4021991317634	1087.2294860532809
0610010O12Rik	548.447101025086	733.796401495511	544.3701732727454	531.4199092693549	125.0	304.60015291482785	230.02186707951594	256.1533349293382	171.018078927855	112.84617420113894
0610011F06Rik	609.6066598882643	923.97346398579	536.9548744381007	407.655009347413	195.0	359.820063677165	282.8030887039941	269.11977440406713	214.41072581999728	186.26852472303383
