gene	read_counts_per_gene_CV-H3K9ac_1.txt	read_counts_per_gene_CV-H3K9ac_2.txt	read_counts_per_gene_CV-H3K9ac_3.txt	read_counts_per_gene_CV-H3K9ac_4.txt	read_counts_per_gene_CV-H3K9ac_5.txt	read_counts_per_gene_CV-H3K9ac_6.txt	read_counts_per_gene_GF-H3K9ac_1.txt	read_counts_per_gene_GF-H3K9ac_2.txt	read_counts_per_gene_GF-H3K9ac_3.txt	read_counts_per_gene_GF-H3K9ac_4.txt
0610005C13Rik	9.042161394322031	17.016724271428355	13.231060688498875	22.155080681879724	19.594161883409978	17.0	44.2536645432753	24.822903656660653	28.78880724038558	49.33838885361015
0610007C21Rik	24.956365448328803	33.18261232928529	46.83795483728601	48.871501504146444	59.673129372203114	21.0	121.82188554047694	114.32520416518358	97.70746699767227	136.35336555906804
0610007L01Rik	9.042161394322031	10.635452669642723	10.055606123259144	11.729160360995147	13.359655829597711	13.0	22.375448364577398	5.593893781782683	13.522015521999286	9.419146962961937
0610007N19Rik	17.3609498770983	31.48093990214246	52.13037911268557	56.03932172475459	78.37664753363991	25.0	123.31358209811545	105.58474513114814	111.6656765687683	161.4710907936332
0610007P08Rik	21.339500890599993	31.48093990214246	59.27515188447496	50.82636156431231	58.78248565022993	31.0	132.2637614439464	130.4076487878088	120.82575159980009	171.33876856435523
0610007P14Rik	21.339500890599993	27.65217694107108	52.13037911268557	47.56826146403588	60.56377309417629	21.0	128.28590395691043	103.83665332434104	126.0600801889611	150.706351407391
0610007P22Rik	13.744085319369486	17.867560484999775	24.34515166683793	19.548600601658578	34.73510515695405	16.0	44.2536645432753	37.40916466567169	32.27835963315959	52.478104507930794
0610008F07Rik	13.382398863596606	15.31505184428552	17.99424253635847	20.85184064176915	15.140943273544073	14.0	32.320092082167356	23.424430211214982	31.405971534966085	57.41194339329181
0610009B14Rik	10.127220761640674	10.635452669642723	9.52636369571919	16.942120521437435	15.140943273544073	17.0	21.380983992818404	9.789314118119695	16.575373865676546	19.735355541444058
0610009B22Rik	18.807695700189825	34.03344854285671	62.71522766348467	50.17474154425702	77.48600381166672	24.0	160.10876385319827	98.9419962652812	106.4313479796073	190.6255932980392
