Gene,ReadCount
Gm26206,5
Gm18956,3
LOC118567655,10
Gm7341,4
Xkr4,4
LOC108167595,0
Gm27396,4
Gm6101,4
Rp1,16
Sox17,49
Gm7357,13
Gm22307,6
Gm39586,4
Gm37323,25
Gm46082,7
Gm29874,26
Gm7369,5
Gm6085,4
Gm6119,5
Gm2053,29
Gm6123,7
Mrpl15,52
Lypla1,14
LOC118567656,3
Tcea1,11
Gm6104,5
Gm16041,10
Rgs20,28
Gm17101,2
Atp6v1h,76
Gm7182,8
Gm19070,4
Oprk1,16
Npbwr1,4
Gm19214,6
Gm46206,2
Rb1cc1,39
Alkal1,3
Gm2147,2
Gm7417,5
Gm19026,4
St18,137
Gm7449,5
Gm37108,4
Gm5694,6
Pcmtd1,35
Gm26983,8
Gm9826,1
Nras-ps2,6
Gm23274,11
Gm19002,6
Gm26901,43
Gm18984,2
Gm7470,2
Rps2-ps2,4
Gm17903,3
Gm39589,1
Gm15452,4
Gm7445,3
Gm6152,3
Gm7493,5
Sntg1,86
Gm6187,9
Gm30719,8
Gm18299,3
Gm7512,5
Gm24765,5
Gm18300,10
Rrs1,9
Adhfe1,30
Gm6161,5
Vxn,2
2610203C22Rik,4
Mybl1,32
1700034P13Rik,5
Vcpip1,4
Gm39590,30
Gm51615,6
Sgk3,14
Gm6195,7
Gm2352,2
Mcmdc2,6
Snord87,6
Snhg6,3
Tcf24,70
Ppp1r42,37
LOC115487608,7
Cspp1,185
Cops5,33
Arfgef1,5
Cpa6,24
Gm15604,6
Gm25253,4
Gm15603,5
Gm5522,1
Gm28659,4
Prex2,27
Gm24173,5
A830018L16Rik,144
Gm30898,4
Gm30974,7
Gm7560,8
Gm22633,2
Mir6341,5
Gm39591,7
Gm2383,5
Gm6216,4
Gm17644,3
Sulf1,70
Slco5a1,68
Gm5250,4
Gm39592,5
Prdm14,6
Ncoa2,124
Gm23169,4
Gm51852,5
Gm7593,3
Gm39595,8
Gm39600,8
Tram1,16
Lactb2,7
Xkr9,17
Gm26273,6
Gm2452,6
Gm5523,7
Gm31195,18
Gm19122,3
Gm39596,12
Eya1,154
Gm7617,3
Gm9947,17
Msc,8
Smt3h2-ps4,6
Rpl5-ps1,3
Gm33500,6
Trpa1,6
Gm26345,6
Gm5048,2
Gm10566,3
Kcnb2,11
Gm51616,4
Gm51617,7
Gm25227,1
Gm25168,11
Gm6060,4
Terf1,54
Sbspon,6
Gm31523,5
Gm7634,8
4930444P10Rik,22
Rdh10,0
Rpl7,3
Gm7568,18
C130013N14Rik,5
Stau2,32
Ube2w,42
Eloc,86
D030040B21Rik,7
Tmem70,21
Idi1-ps5,8
Ly96,12
Gm5828,6
LOC118567657,4
Gm46085,28
Jph1,32
Gm31982,17
Gdap1,12
Gm28784,6
Gm39597,7
Gm5251,2
Rbm6-ps1,4
Gm6075,4
Gm25166,7
Pi15,4
Gm28154,22
Crispld1,25
Gm16070,6
Gm7690,3
Gm17969,2
Gm18775,4
Crisp4,10
Defb44-ps,1
Defb18,1
Gm17837,2
Defb41,8
Gm5252,4
Gm24075,0
Gm28343,1
Tfap2d,28
Gm15825,20
Tfap2b,5
LOC118567642,4
Gm4849,0
Gm32651,6
4930486I03Rik,4
Gm15795,5
Gm24162,4
Pkhd1,20
Lincmd1,6
Mir206,4
Mir133b,3
Il17a,9
Il17f,21
Gm20587,9
Mcm3,20
Gm24723,5
Paqr8,11
6720483E21Rik,6
Gm24171,6
Efhc1,18
Gm51618,4
Tram2,1
Tmem14a,30
Gm32947,9
Gsta3,36
Gm7094,5
Gm28836,6
Gm4956,4
Gm21909,5
Khdc1a,2
Khdc1c,5
Gm2709,1
Gm16533,2
Gm33147,8
Khdc1b,7
Gm7658,2
Kcnq5,16
LOC118567719,7
Gm5696,5
Rims1,293
Gm7759,3
Gm7761,2
Ppp1r14bl,3
Rn4.5s-ps4,3
Gm30442,6
Gm29506,6
Gm24176,3
LOC118567721,4
Mir30a,3
Mir30c-2,4
Gm20954,4
Ogfrl1,12
Gm19673,2
Gm7784,6
Gm28822,4
B3gat2,4
Smap1,25
Gm53062,7
Sdhaf4,6
Fam135a,119
Gm30756,5
Col9a1,22
Gm26418,7
Col19a1,35
Tubb4b-ps2,8
Gm10222,3
Gm10925,3
Lmbrd1,16
Gm9443,2
Gm29414,6
Gm20172,6
Gm22260,4
Gm25294,3
Adgrb3,41
Gm9884,5
Gm39614,6
Gm31076,7
Gm19071,5
Gm18443,3
Gm19123,3
Gm24064,2
Gm31136,18
4931408C20Rik,7
n-R5s209,3
Gm18179,3
Gm5524,5
Gm18776,0
Gm19028,4
Gm7846,4
Gm597,3
Gm5697,2
Gm45942,5
Gm6462,3
Gm18033,3
Mir6342,3
Gm5525,8
Gm7858,5
Gm31465,18
Gm31525,5
Gm31581,5
Gm46086,6
Gm39615,10
LOC115487655,3
Gm6473,5
Gm2914,8
Phf3,101
LOC115487084,8
Ptp4a1,16
Gm5698,4
Gm9458,5
Gm5699,9
Gm28644,36
Gm29669,6
Gm7893,4
Lgsn,18
Dnaaf6,7
4931428L18Rik,2
Gm26145,4
Gm4850,3
Gm6489,4
LOC115487662,4
Eef1a1-ps2,2
Gm19680,4
Gm23032,2
Gm7910,4
Gm51754,3
Khdrbs2,0
Gm25814,7
Gm46077,7
Gm9839,2
Gm5415,5
Gm24732,8
Gm7114,4
Gm4785,4
Gm39616,4
Gm24901,4
Gm2987,4
Gm25792,5
Gm18799,5
Gm39617,6
Gm7933,2
Gm23453,4
Gm29228,5
Prim2,48
Gm17813,7
1700001G17Rik,4
Rab23,24
Gm32229,4
Bag2,7
Zfp451,45
Gm15455,5
Gm38471,2
Dst,196
Bend6,22
LOC118567732,6
Gm23792,6
Mir6896,2
Gm51742,1
Gm26788,7
Gm5266,2
Gm3052,5
Mir5103,13
n-TEttc1,6
LOC118567733,6
Imp4,6
Ccdc115,4
Ptpn18,28
Gm32504,7
LOC118567734,2
Gm32566,4
Prss39,16
4930568A12Rik,18
Cfc1,6
Gm28419,5
Prss40,40
Gm19225,5
Amer3,18
AA619741,4
Gm38647,37
Arhgef4,102
Gm32920,1
Gm51813,5
Gm32790,24
Fam168b,28
Plekhb2,10
Gm19430,7
Gm8009,5
LOC118567735,8
Gm25096,3
Gm25634,4
1110002O04Rik,4
Gm33176,4
Gm8022,11
Gm39622,24
Gm33222,12
Gm39623,6
Gm39624,10
Hs6st1,6
LOC118567736,4
Gm33280,3
Mir6897,9
Gm18750,9
Gm39625,3
Uggt1,12
Neurl3,26
Arid5a,31
Mir6898,11
Kansl3,63
Fer1l5,58
Lman2l,54
Gm33401,9
Cnnm4,6
Gm33454,15
Cnnm3,33
Ankrd23,35
Ankrd39,15
Sema4c,72
Fam178b,143
Cox5b,7
4933424G06Rik,45
Actr1b,24
Gm33533,79
Zap70,39
Gm18828,8
Tmem131,18
Rpl12-ps1,7
n-R5s210,5
Vwa3b,41
Gm37020,21
Cnga3,47
Inpp4a,147
4930439A04Rik,40
Unc50,56
Coa5,7
4930594C11Rik,10
Gm39627,46
Mgat4a,62
4930556I23Rik,5
4930470B04Rik,27
Cracdl,49
Gm39628,2
Tsga10,135
Lipt1,34
Mrpl30,3
Mitd1,5
Lyg2,6
Lyg1,74
Eif5b,14
Txndc9,31
Gm34448,12
Rev1,145
Gm5099,5
Gm16150,40
Gm16152,21
Gm34727,4
Aff3,43
Gm34596,24
LOC115487659,3
Lonrf2,14
Chst10,18
Gm6621,7
Nms,6
Gm35171,5
Pdcl3,19
Gm35222,4
Mir6349,8
Npas2,6
Gm20428,9
Gm17904,9
Gm3617,4
Rpl31,27
LOC118567737,8
Tbc1d8,32
Gm24826,7
Cnot11,7
LOC118567738,12
Gm18446,5
Snord89,5
LOC115485772,3
Rnf149,57
Gm51620,6
Gm5100,5
D930019O06Rik,21
Creg2,8
Rfx8,18
Gm3646,7
1700066B17Rik,6
Gm35600,2
Map4k4,553
Il1r2,89
Gm16894,4
Gm35741,3
Il1r1,65
Il1rl2,18
Gm17970,4
Il1rl1,26
Il18r1,32
Il18rap,23
Slc9a4,56
Gm35801,18
LOC118567739,5
Slc9a2,4
Gm37915,17
Mfsd9,13
Tmem182,22
Gm5973,2
4930448I06Rik,6
LOC118567740,12
Gm39631,6
Gm35935,3
Gm29260,54
Gm5267,2
Gm8176,8
Gm28175,189
Gm46088,6
Gm36678,17
LOC118567741,5
Gm46089,10
Gm36822,5
Gm46091,16
Pou3f3,6
Pantr1,7
2900092D14Rik,5
Pantr2,4
Dalir,1
LOC118567742,5
Mrps9,18
Gm23126,7
Gpr45,19
Gm39633,3
Gm3418,6
Gm28782,40
8430432A02Rik,5
Tgfbrap1,76
AI597479,2
Fhl2,20
Gm8210,7
Gm29040,10
Gm29610,7
LOC115487086,8
Nck2,17
Gm38628,6
Gm30634,5
Ecrg4,13
Gm16103,4
Uxs1,9
Gm19587,3
Gm8241,7
Gm26352,5
Tpp2,16
Mettl21c,16
Gm8251,14
Tex30,5
Bivm,50
Poglut2,11
Ercc5,32
Gm15833,5
Mettl21e,4
Gm5700,3
Gm28893,2
Txn-ps1,3
Gulp1,21
Gm39635,6
Gm16102,3
4930521E06Rik,5
Gm3489,2
Gm19480,3
Gm3496,3
Gm5268,4
Col3a1,9
Col5a2,2
Gm8296,10
Gm7063,4
Gm8304,4
Gm23216,3
Gm39637,29
Gm23974,2
Gm51621,9
Gm8307,4
Wdr75,12
Gm30900,3
Gm5526,3
Gm5269,5
Gm18303,8
Slc40a1,22
Gm9496,4
Rpl23a-ps1,7
Gm3852,8
Stk-ps2,12
Gm18849,3
Dnah7b,43
Gm31046,14
n-R5s211,3
Gm8326,1
Dnah7c,16
Slc39a10,16
Gm39638,3
Gm4852,4
Gm39639,7
Mir6350,0
Gm18117,3
Gm8337,7
Gm19206,6
Gm5974,6
Gm23240,7
Gm8354,1
Gm19124,4
Gm8357,1
Gm8367,5
C230029F24Rik,6
Gm6757,6
Gm3605,4
Gm8384,1
Gm8391,7
Gm39640,5
Gm20118,2
Gm28321,12
Tmeff2,9
Cavin2,5
Gm5253,9
9330175M20Rik,4
Nabp1,32
Gm17767,5
Gm31636,10
Myo1b,46
Gm33795,3
Gm8419,5
Gm8420,9
Stat4,32
Gm3940,5
Gm31812,4
Stat1,50
Gm18301,7
Gls,38
Gm31867,11
Gm5975,4
Gm31955,11
Gm23460,11
Nab1,20
Gm5976,4
Gm53065,5
Rps27a-ps1,3
Gm28178,5
Gm5527,4
Nemp2,15
Mfsd6,30
Inpp1,39
Hibch,5
Gm16107,4
1700019D03Rik,41
Mstn,5
Gm24349,5
1700019A02Rik,20
Ormdl1,3
Pms1,65
Osgepl1,62
Gm18800,3
Asnsd1,4
Asdurf,2
Gm6801,7
LOC118567743,3
Gm32311,9
Dnah7a,33
Stk17b,18
Mir7681,5
Gm24251,9
Hecw2,16
Ccdc150,72
Gm25829,3
Gm51622,6
Gtf3c3,7
Gm34066,5
Gm51623,11
Pgap1,2
Gm19637,7
4930444A19Rik,25
Ankrd44,63
Sf3b1,30
Coq10b,24
Gm17971,5
Hspe1,4
Hspd1,13
Gm5147,5
Gm16581,5
Mob4,18
Gm6822,7
Gm10561,21
Rftn2,37
Mars2,5
Gm8292,5
Boll,28
Btf3-ps17,4
Plcl1,13
Gm8531,4
Gm6644,5
Gm39642,30
Gm32949,8
9130227L01Rik,4
1700003I22Rik,20
LOC118567744,4
Hsfy2,7
Gm51624,5
9130024F11Rik,8
Satb2,36
Gm38484,16
1700126A01Rik,5
BC055402,4
Gm5254,6
1700066M21Rik,12
4930558J18Rik,4
Maip1,5
Tyw5,81
Gm22371,3
LOC118567745,2
Gm8581,4
Gm17929,8
LOC115487664,3
Spats2l,112
LOC115487684,8
