only_hdac3_rank,only_hdac3,only_hdac3_pval,only_nfil3_rank,only_nfil3,only_nfil3_pval,only_nr1d1_rank,only_nr1d1,only_nr1d1_pval,nfil3_nr1d1_rank,nfil3_nr1d1,nfil3_nr1d1_pval,nfil3_hdac3_rank,nfil3_hdac3,nfil3_hdac3_pval,hdac3_nr1d1_rank,hdac3_nr1d1,hdac3_nr1d1_pval,all_3_rank,all_3,all_3_pval
84,Dmrt1,6.05e-06,116,Zfx,0.000861,60,ATF7,1.04e-10,53,Atf1,2.67e-06,115,Foxq1,0.000832,66,KLF17,1.39e-07,2,KLF5,1.78e-21
96,IRF7,2.85e-05,123,Arid3b,0.00124,65,FOSL1::JUND,6.74e-10,57,ELF1,5.98e-06,117,HOXA10,0.000868,67,PRDM9,1.6e-07,3,SP3,2.42e-21
99,Zfp809,3.59e-05,126,ELF3,0.00153,71,Zbtb2,2.48e-09,84,CREM,0.000198,125,BHLHE41,0.00153,69,TFE3,3.18e-07,7,KLF12,1.3e-19
101,MITF,3.78e-05,128,Hoxa13,0.00159,87,ELK3,2.16e-08,85,FOS::JUN,0.0002,130,MNT,0.00177,85,SP5,8.1e-06,12,KLF7,1.38e-17
130,MLXIPL,0.000207,136,ZNF610,0.00199,94,ELK1,6.31e-08,107,POU1F1,0.000665,146,IKZF2,0.0025,87,FOXE1,1.05e-05,14,KLF15,2.44e-17
138,SIX2,0.000269,142,IRF5,0.00217,105,Thap11,6.05e-07,110,USF1,0.000752,151,EHF,0.00305,88,ETV6,1.3e-05,16,KLF11,1.62e-16
143,Arntl,0.000324,144,ISL2,0.00239,106,E2F6,7.35e-07,111,JDP2,0.000752,183,Wt1,0.00719,91,NR5A1,2.01e-05,17,SP9,1.06e-15
147,Foxl2,0.000422,150,POU6F1,0.00298,116,ETV3,1.34e-06,119,ZNF93,0.00109,186,KLF13,0.00841,93,FOSL2::JUN,2.12e-05,19,KLF16,2.43e-15
150,CTCF,0.000472,158,IRF4,0.00351,124,ETV2::FOXI1,2.58e-06,134,ZNF143,0.0019,,,,106,ZBTB11,6.02e-05,20,KLF1,1.74e-14
151,FOXS1,0.000485,159,FOXG1,0.00363,146,ETS1,8.44e-06,157,FOXO6,0.00349,,,,107,SOHLH2,6.33e-05,21,KLF14,2.53e-14
154,FOXN3,0.000553,165,MYC,0.0041,150,POU4F1,1.11e-05,160,POU4F2,0.00382,,,,108,POU3F3,6.48e-05,22,SP4,1.25e-13
160,HOXC10,0.000631,175,Nr1H2,0.00595,162,SREBF1,2.62e-05,162,HIF1A,0.00399,,,,117,Foxf1,0.000106,24,ZNF148,4.1e-13
168,HES7,0.000712,178,PAX3,0.00664,167,CTCF,4.28e-05,163,ZNF449,0.00401,,,,118,USF2,0.000115,25,SP2,4.49e-13
171,FOXL1,0.000808,187,CDX4,0.00841,170,POU4F3,5.47e-05,167,CREB3,0.00437,,,,120,Npas4,0.000125,26,PATZ1,9.52e-13
180,CREB1,0.00111,193,RORA,0.00972,177,ETV4,6.39e-05,171,ZBTB17,0.00498,,,,121,Elf5,0.000131,27,KLF10,6.05e-12
182,HNF4G,0.00112,,,,179,MSX2,7.47e-05,172,MEF2D,0.00498,,,,122,ARNT2,0.000132,28,KLF4,8.57e-12
196,HMBOX1,0.00171,,,,182,HOXB2::ELK1,8.1e-05,177,Stat2,0.00641,,,,127,NR2C2,0.000166,31,SP8,1.45e-10
197,TCFL5,0.00184,,,,188,PHOX2A,0.00011,182,Hmx2,0.00703,,,,131,ZNF175,0.000209,32,KLF9,3.83e-10
202,CDX2,0.00199,,,,190,MSX1,0.000113,190,ZNF354A,0.00921,,,,141,ZNF135,0.000298,38,ZNF281,8e-09
203,TP73,0.00209,,,,191,FEV,0.000116,,,,,,,144,FOXP2,0.000355,39,ZNF460,1.15e-08
