only_hdac3_rank,only_hdac3,only_hdac3_pval,only_nfil3_rank,only_nfil3,only_nfil3_pval,only_nr1d1_rank,only_nr1d1,only_nr1d1_pval,nfil3_nr1d1_rank,nfil3_nr1d1,nfil3_nr1d1_pval,nfil3_hdac3_rank,nfil3_hdac3,nfil3_hdac3_pval,hdac3_nr1d1_rank,hdac3_nr1d1,hdac3_nr1d1_pval,all_3_rank,all_3,all_3_pval
32,ZBED4,2.01e-11,14,ZFP42,1.48e-08,53,POU3F2,9.7e-09,39,Spi1,1.04e-05,60,ZKSCAN5,0.000155,43,ZNF93,2.16e-08,10,PATZ1,5.77e-10
70,Npas4,8.19e-06,57,FOXS1,0.000123,59,PROP1,4.18e-08,52,Foxj2,4.44e-05,81,MEF2C,0.000427,48,ZNF460,7.99e-08,11,SP1,1.45e-09
91,FOXP2,5.3e-05,67,MEF2A,0.000267,74,Lhx3,5.72e-07,71,MEF2D,0.000339,87,Erg,0.000637,60,POU2F1,5.66e-07,18,SP9,7.1e-08
,,,,,,,,,,,,,,,60,SOX2,5.66e-07,,,
100,FOSB,9.73e-05,70,FOXG1,0.000336,90,RORB,5.77e-06,73,Mlxip,0.000363,124,Elf5,0.00304,65,Creb3l2,4.73e-06,19,KLF15,7.28e-08
100,JUN,9.73e-05,,,,,,,,,,,,,,,,,,
101,ETS2,0.000102,79,HNF1A,0.000418,92,PAX3,7.53e-06,75,Zfp809,0.000393,135,ETV6,0.00383,74,FOXA2,1.26e-05,22,FOXD3,2.24e-07
108,CREB3,0.000164,85,ZNF175,0.00048,103,ZNF384,1.33e-05,91,KLF17,0.000748,156,Pparg,0.00699,75,STAT1,1.5e-05,23,KLF1,4.09e-07
,,,,,,,,,,,,156,Rxra,0.00699,,STAT1,,,,
,,,,,,,,,,,,,,,75,STAT2,1.5e-05,,,
,,,,,,,,,,,,,,,,STAT2,,,,
109,EGR4,0.000164,93,MYCN,0.000775,122,Rfx6,5.59e-05,104,POU1F1,0.00123,,,,97,Irf1,7.51e-05,25,RREB1,1e-06
130,ETV2,0.000439,98,ESR1,0.000896,126,CREB3L1,7.05e-05,129,TCF7L1,0.00335,,,,104,JUN,0.000151,26,ZNF281,1.08e-06
130,FOXI1,0.000439,,,,,,,,,,,,,,JUN,,,,
,,,,,,,,,,,,,,,104,JUNB,0.000151,,,
,,,,,,,,,,,,,,,,JUNB,,,,
131,POU5F1B,0.000506,102,MEF2B,0.0011,127,ARNT,7.06e-05,145,FOXF2,0.00479,,,,107,POU4F3,0.000161,28,KLF10,1.57e-06
,,,,,,127,HIF1A,7.06e-05,,,,,,,,,,,,
137,ELK3,0.000657,111,Zbtb2,0.0019,128,HES2,7.18e-05,162,HES1,0.00811,,,,110,ZFP14,0.000173,29,KLF16,1.63e-06
152,RORA,0.00112,119,ETV2,0.00233,129,Nr5A2,8.94e-05,166,HES5,0.00929,,,,132,Creb5,0.000549,30,SP3,2.21e-06
,,,119,FIGLA,0.00233,,,,,,,,,,,,,,,
157,ETV5,0.00138,120,HEY1,0.00234,130,Arid3b,9.06e-05,167,ZNF76,0.00931,,,,133,POU4F2,0.000565,31,KLF5,2.44e-06
159,ZNF35,0.00143,122,GATA1,0.00286,134,POU3F1,9.89e-05,169,NR1H2,0.00961,,,,141,Thap11,0.000773,32,KLF12,2.64e-06
,,,122,TAL1,0.00286,,,,,NR1H2,,,,,,,,,,
,,,,,,,,,169,RXRA,0.00961,,,,,,,,,
,,,,,,,,,,RXRA,,,,,,,,,,
163,RXRA,0.00164,127,HNF4G,0.00317,135,HIF1A,0.000102,,,,,,,144,THRB,0.000884,33,SP8,4.14e-06
163,VDR,0.00164,,,,,,,,,,,,,,,,,,
168,HOXA2,0.00187,133,FEZF2,0.00369,139,ATF3,0.000131,,,,,,,145,JDP2,0.000909,34,KLF4,6.15e-06
172,FOXO1,0.00233,148,Foxn1,0.0051,141,DUX4,0.000138,,,,,,,146,ZBTB11,0.000916,35,KLF14,8.72e-06
172,ELF1,0.00233,,,,,,,,,,,,,,,,,,
177,JUNB,0.0029,165,NR2F2,0.00916,143,ZNF766,0.000148,,,,,,,148,LIN54,0.000969,36,SP4,9.22e-06
182,GSC,0.00334,168,ZNF418,0.00938,144,NR6A1,0.00015,,,,,,,150,NR5A1,0.00109,38,KLF7,1.03e-05
187,FOSB,0.00351,170,ZNF263,0.00996,145,CREB1,0.000166,,,,,,,153,FOS,0.0012,40,KLF2,1.31e-05
187,JUNB,0.00351,,,,,,,,,,,,,,FOS,,,,
,,,,,,,,,,,,,,,153,JUN,0.0012,,,
,,,,,,,,,,,,,,,,JUN,,,,
196,Crx,0.0046,,,,147,IRF2,0.000169,,,,,,,161,SPIB,0.00156,41,SP2,1.7e-05
201,SHOX,0.00497,,,,152,PHOX2A,0.00023,,,,,,,162,PHOX2B,0.00163,44,FOXC2,2.66e-05
