only_hdac3_rank,only_hdac3,only_hdac3_pval,only_nfil3_rank,only_nfil3,only_nfil3_pval,only_nr1d1_rank,only_nr1d1,only_nr1d1_pval,nfil3_nr1d1_rank,nfil3_nr1d1,nfil3_nr1d1_pval,nfil3_hdac3_rank,nfil3_hdac3,nfil3_hdac3_pval,hdac3_nr1d1_rank,hdac3_nr1d1,hdac3_nr1d1_pval,all_3_rank,all_3,all_3_pval
52,ZFX,2.48e-07,97,TFEB,0.000479,57,IRF4,9.6e-08,65,TCF7,0.00011,64,TYY1,0.000107,27,E2F1,2.42e-12,1,ZBT17,1.93e-16
54,SOX5,5.1e-07,113,NF2L1,0.00111,81,NR2E3,5.84e-06,99,FOXI1,0.000595,68,MEF2D,0.000125,48,SRY,5.73e-08,2,SP5,8.56e-15
72,E2F3,1.8e-05,133,XBP1,0.00225,88,IRF7,1.29e-05,103,FOXO3,0.000824,98,FOXA1,0.000584,65,EGR1,6.38e-06,4,WT1,1.48e-13
73,HNF1A,2.05e-05,150,CREM,0.00376,91,MAX,1.85e-05,125,ZN143,0.00181,107,NFYA,0.000937,75,ERG,2.18e-05,7,ZN281,2.56e-12
109,NFIL3,0.000174,155,ESR2,0.00438,93,ALX1,2.08e-05,135,HNF1B,0.00259,119,ETV6,0.00149,76,SPIB,2.26e-05,8,MAZ,5.94e-12
124,HSF2,0.000278,159,NR1H3,0.00463,106,PIT1,3.77e-05,146,HXB8,0.00347,157,NFYB,0.00461,84,NR5A2,3.98e-05,9,KLF5,7.71e-11
133,MYCN,0.000381,166,MXI1,0.00579,110,SPI1,5.07e-05,165,PO2F2,0.00577,181,MAF,0.00748,86,DLX5,5.08e-05,10,SP1,8.62e-11
138,RFX6,0.000441,172,FOXK1,0.00663,118,PROP1,7.68e-05,174,PRDM1,0.00705,187,TWST1,0.00844,98,IRF9,7.57e-05,12,IRF2,8.01e-10
149,ETS1,0.000682,173,GFI1,0.00692,151,MEIS1,0.000377,188,TAF1,0.00847,190,FOXC1,0.00903,107,ETS2,0.00014,14,KLF15,3.67e-09
153,GABPA,0.000742,177,ELF2,0.00735,153,DMRTB,0.000399,196,THA11,0.00977,195,CDX2,0.00973,110,RFX1,0.000174,15,IRF1,3.73e-09
166,JUN,0.00133,178,RORA,0.00735,156,ELF1,0.000466,,,,,,,123,EHF,0.000274,17,KLF3,2.8e-08
181,HIF1A,0.0022,185,BATF,0.00806,172,PRRX2,0.000818,,,,,,,130,FOXA2,0.000364,22,SP2,2.68e-07
187,MEF2C,0.00248,,,,188,EVI1,0.00132,,,,,,,137,BRAC,0.000427,24,EGR2,4.57e-07
