only_hdac3_rank,only_hdac3,only_hdac3_pval,only_nfil3_rank,only_nfil3,only_nfil3_pval,only_nr1d1_rank,only_nr1d1,only_nr1d1_pval,nfil3_nr1d1_rank,nfil3_nr1d1,nfil3_nr1d1_pval,nfil3_hdac3_rank,nfil3_hdac3,nfil3_hdac3_pval,hdac3_nr1d1_rank,hdac3_nr1d1,hdac3_nr1d1_pval,all_3_rank,all_3,all_3_pval
32,ZBED4,2.01e-11,14,ZFP42,1.48e-08,53,POU3F2,9.7e-09,39,Spi1,1.04e-05,60,ZKSCAN5,0.000155,43,ZNF93,2.16e-08,10,PATZ1,5.77e-10
70,Npas4,8.19e-06,57,FOXS1,0.000123,59,PROP1,4.18e-08,52,Foxj2,4.44e-05,81,MEF2C,0.000427,48,ZNF460,7.99e-08,11,SP1,1.45e-09
91,FOXP2,5.3e-05,67,MEF2A,0.000267,74,Lhx3,5.72e-07,71,MEF2D,0.000339,87,Erg,0.000637,60,POU2F1::SOX2,5.66e-07,18,SP9,7.1e-08
100,FOSB::JUN,9.73e-05,70,FOXG1,0.000336,90,RORB,5.77e-06,73,Mlxip,0.000363,124,Elf5,0.00304,65,Creb3l2,4.73e-06,19,KLF15,7.28e-08
101,ETS2,0.000102,79,HNF1A,0.000418,92,PAX3,7.53e-06,75,Zfp809,0.000393,135,ETV6,0.00383,74,FOXA2,1.26e-05,22,FOXD3,2.24e-07
108,CREB3,0.000164,85,ZNF175,0.00048,103,ZNF384,1.33e-05,91,KLF17,0.000748,156,Pparg::Rxra,0.00699,75,STAT1::STAT2,1.5e-05,23,KLF1,4.09e-07
109,EGR4,0.000164,93,MYCN,0.000775,122,Rfx6,5.59e-05,104,POU1F1,0.00123,,,,97,Irf1,7.51e-05,25,RREB1,1e-06
130,ETV2::FOXI1,0.000439,98,ESR1,0.000896,126,CREB3L1,7.05e-05,129,TCF7L1,0.00335,,,,104,JUN::JUNB,0.000151,26,ZNF281,1.08e-06
131,POU5F1B,0.000506,102,MEF2B,0.0011,127,ARNT::HIF1A,7.06e-05,145,FOXF2,0.00479,,,,107,POU4F3,0.000161,28,KLF10,1.57e-06
137,ELK3,0.000657,111,Zbtb2,0.0019,128,HES2,7.18e-05,162,HES1,0.00811,,,,110,ZFP14,0.000173,29,KLF16,1.63e-06
152,RORA,0.00112,119,ETV2::FIGLA,0.00233,129,Nr5A2,8.94e-05,166,HES5,0.00929,,,,132,Creb5,0.000549,30,SP3,2.21e-06
157,ETV5,0.00138,120,HEY1,0.00234,130,Arid3b,9.06e-05,167,ZNF76,0.00931,,,,133,POU4F2,0.000565,31,KLF5,2.44e-06
159,ZNF35,0.00143,122,GATA1::TAL1,0.00286,134,POU3F1,9.89e-05,169,NR1H2::RXRA,0.00961,,,,141,Thap11,0.000773,32,KLF12,2.64e-06
163,RXRA::VDR,0.00164,127,HNF4G,0.00317,135,HIF1A,0.000102,,,,,,,144,THRB,0.000884,33,SP8,4.14e-06
168,HOXA2,0.00187,133,FEZF2,0.00369,139,ATF3,0.000131,,,,,,,145,JDP2,0.000909,34,KLF4,6.15e-06
172,FOXO1::ELF1,0.00233,148,Foxn1,0.0051,141,DUX4,0.000138,,,,,,,146,ZBTB11,0.000916,35,KLF14,8.72e-06
177,JUNB,0.0029,165,NR2F2,0.00916,143,ZNF766,0.000148,,,,,,,148,LIN54,0.000969,36,SP4,9.22e-06
182,GSC,0.00334,168,ZNF418,0.00938,144,NR6A1,0.00015,,,,,,,150,NR5A1,0.00109,38,KLF7,1.03e-05
187,FOSB::JUNB,0.00351,170,ZNF263,0.00996,145,CREB1,0.000166,,,,,,,153,FOS::JUN,0.0012,40,KLF2,1.31e-05
196,Crx,0.0046,,,,147,IRF2,0.000169,,,,,,,161,SPIB,0.00156,41,SP2,1.7e-05
201,SHOX,0.00497,,,,152,PHOX2A,0.00023,,,,,,,162,PHOX2B,0.00163,44,FOXC2,2.66e-05
202,PITX2,0.00501,,,,154,TBP,0.000241,,,,,,,164,Stat2,0.00166,48,FOXC1,3.54e-05
203,OTX2,0.00502,,,,161,ATF7,0.000328,,,,,,,165,HMBOX1,0.0018,51,FOXB1,4.34e-05
205,ELF4,0.00552,,,,164,LMX1A,0.000367,,,,,,,166,EVX1,0.00187,53,Foxq1,5.45e-05
210,ESR2,0.00608,,,,165,Nr2e1,0.000372,,,,,,,167,EVX2,0.00187,59,Ikzf3,0.000148
212,ETV4,0.00624,,,,170,ZNF454,0.000415,,,,,,,169,HOXB5,0.00187,62,ZNF558,0.000178
213,RFX5,0.00641,,,,179,PBX2,0.000602,,,,,,,170,FOSL2::JUND,0.00215,64,Nrf1,0.000194
214,JUN,0.00652,,,,182,STAT3,0.000674,,,,,,,173,BARX2,0.00236,72,ZNF354A,0.000351
216,FOXP3,0.00672,,,,183,MYC,0.000676,,,,,,,179,POU6F1,0.00295,77,POU3F3,0.000396
219,NFIL3,0.00691,,,,187,FOSL1::JUND,0.000788,,,,,,,180,Npas2,0.00304,78,GABPA,0.0004
221,RFX2,0.00711,,,,189,RORC,0.000853,,,,,,,184,NR2C1,0.00342,82,ZNF148,0.000427
222,IRF4,0.00711,,,,191,MAX,0.000869,,,,,,,185,EWSR1-FLI1,0.00343,86,KLF9,0.000528
226,FEV,0.00776,,,,195,EPAS1,0.000907,,,,,,,191,ELK4,0.00398,90,ELF3,0.000747
227,ETS1,0.00804,,,,197,POU2F1,0.000953,,,,,,,192,ZNF135,0.00398,92,Foxj3,0.000767
233,MLX,0.00876,,,,201,Zic3,0.000985,,,,,,,193,MNT,0.00398,101,Pou5f1::Sox2,0.00108
235,ZNF675,0.00887,,,,203,Pax7,0.00104,,,,,,,195,LMX1B,0.00447,105,Hmga1,0.00124
238,FOSL1::JUN,0.00968,,,,204,POU2F3,0.00104,,,,,,,198,EGR1,0.00477,106,ELF2,0.00126
239,GSC2,0.00984,,,,209,SP5,0.00118,,,,,,,204,IRF9,0.00548,107,PRDM9,0.00146
,,,,,,213,IKZF2,0.00133,,,,,,,206,FOSL2::JUN,0.00553,108,ZNF213,0.00154
,,,,,,216,SNAI1,0.00138,,,,,,,209,ATF2,0.00605,113,KLF6,0.00213
,,,,,,221,MITF,0.00144,,,,,,,217,EGR3,0.00684,116,EHF,0.00223
,,,,,,223,Hmx2,0.00149,,,,,,,220,ZNF740,0.00709,131,ZBTB7A,0.00343
,,,,,,224,Atf1,0.00155,,,,,,,230,HOXA1,0.00838,132,Arnt,0.00361
,,,,,,227,ESRRB,0.00164,,,,,,,237,CREB3L4,0.00921,134,FOS,0.00375
,,,,,,228,Nr1H4,0.00169,,,,,,,,,,137,FOXD2,0.004
,,,,,,230,XBP1,0.00183,,,,,,,,,,138,FOXE1,0.00408
,,,,,,232,RAX,0.00188,,,,,,,,,,142,ZNF257,0.00436
,,,,,,235,HOXB6,0.00191,,,,,,,,,,144,ZNF320,0.00451
,,,,,,239,NR1I3,0.00218,,,,,,,,,,150,POU4F1,0.00598
,,,,,,240,NR2F1,0.00225,,,,,,,,,,155,ETV1,0.00685
