only_hdac3_rank,only_hdac3,only_hdac3_pval,only_nfil3_rank,only_nfil3,only_nfil3_pval,only_nr1d1_rank,only_nr1d1,only_nr1d1_pval,nfil3_nr1d1_rank,nfil3_nr1d1,nfil3_nr1d1_pval,nfil3_hdac3_rank,nfil3_hdac3,nfil3_hdac3_pval,hdac3_nr1d1_rank,hdac3_nr1d1,hdac3_nr1d1_pval,all_3_rank,all_3,all_3_pval
77,FOXA2,2.8e-06,94,P73,0.000396,117,PBX1,1.48e-06,45,CREB1,1.55e-06,109,CDX2,0.000715,50,THA11,1.27e-09,1,SP3,6.68e-23
139,SIX4,0.000269,105,ATF2,0.000662,134,RFX2,5.05e-06,68,ETV4,4.23e-05,127,FOXQ1,0.00158,83,PO3F2,5.25e-06,4,KLF15,1.3e-20
152,HXB7,0.0005,153,SRBP2,0.00316,143,MYCN,6.79e-06,71,NANOG,5.61e-05,133,FOXA3,0.00186,103,ELK1,4.13e-05,5,SP5,2.6e-20
177,HSF1,0.000972,154,PRDM1,0.0032,161,RFX3,2.21e-05,75,ELF2,8.84e-05,148,CREM,0.00254,123,TFE3,0.000132,6,SP2,3.7e-20
186,TWST1,0.00129,181,AIRE,0.00694,172,DMRT1,5.53e-05,100,FOXP2,0.000494,152,BATF,0.00311,124,FOXC1,0.000141,8,KLF3,5.6e-19
201,NR2C2,0.00199,,,,196,OLIG2,0.000135,104,MXI1,0.000606,184,PRDM5,0.00755,134,ETV2,0.00022,9,KLF1,1.49e-18
211,THA,0.00231,,,,201,CTCF,0.000162,122,ELF1,0.00119,189,FOXK1,0.00885,145,MITF,0.00037,10,SP1,2.97e-18
214,E2F3,0.00265,,,,208,MYC,0.000227,164,SOX2,0.00404,,,,148,TCF7,0.000439,11,SP4,5.88e-18
218,ERG,0.00284,,,,211,PO5F1,0.000247,192,TAF1,0.00939,,,,149,SPIB,0.00045,13,KLF6,2.38e-17
225,BACH2,0.00334,,,,212,PIT1,0.000258,,,,,,,157,USF1,0.000573,15,KLF5,1.57e-16
233,LEF1,0.00381,,,,214,NR2E3,0.000307,,,,,,,166,RXRG,0.000685,18,ZBT17,1.17e-15
239,RXRB,0.00401,,,,222,ARNT,0.000386,,,,,,,173,GABPA,0.000841,23,MAZ,1.73e-13
242,SPI1,0.00419,,,,230,ALX1,0.000527,,,,,,,187,SRY,0.00133,29,EGR2,3e-11
247,MYF6,0.00492,,,,233,ASCL1,0.000532,,,,,,,188,SMCA5,0.00136,30,STAT1,9.86e-11
257,HXA10,0.00562,,,,240,IRF7,0.000657,,,,,,,199,PO2F1,0.00184,33,E2F1,6.19e-10
263,DMRTB,0.00657,,,,243,NR1D2,0.000724,,,,,,,205,FOXA1,0.00215,34,ZN281,9.92e-10
264,TF2L1,0.00682,,,,248,PKNX1,0.000829,,,,,,,207,STF1,0.00219,35,E2F4,1.08e-09
275,STA5B,0.00836,,,,253,BMAL1,0.000874,,,,,,,220,NF2L1,0.00296,36,E2F7,1.17e-09
277,SOX4,0.00865,,,,256,CLOCK,0.001,,,,,,,243,CUX2,0.00425,37,KLF4,1.76e-09
283,P63,0.00943,,,,273,CUX1,0.00168,,,,,,,279,NKX61,0.00874,40,NFYC,1.02e-07
