only_hdac3_rank,only_hdac3,only_hdac3_pval,only_nfil3_rank,only_nfil3,only_nfil3_pval,only_nr1d1_rank,only_nr1d1,only_nr1d1_pval,nfil3_nr1d1_rank,nfil3_nr1d1,nfil3_nr1d1_pval,nfil3_hdac3_rank,nfil3_hdac3,nfil3_hdac3_pval,hdac3_nr1d1_rank,hdac3_nr1d1,hdac3_nr1d1_pval,all_3_rank,all_3,all_3_pval
84,Dmrt1,6.05e-06,116,Zfx,0.000861,60,ATF7,1.04e-10,53,Atf1,2.67e-06,115,Foxq1,0.000832,66,KLF17,1.39e-07,2,KLF5,1.78e-21
96,IRF7,2.85e-05,123,Arid3b,0.00124,65,FOSL1::JUND,6.74e-10,57,ELF1,5.98e-06,117,HOXA10,0.000868,67,PRDM9,1.6e-07,3,SP3,2.42e-21
99,Zfp809,3.59e-05,126,ELF3,0.00153,71,Zbtb2,2.48e-09,84,CREM,0.000198,125,BHLHE41,0.00153,69,TFE3,3.18e-07,7,KLF12,1.3e-19
101,MITF,3.78e-05,128,Hoxa13,0.00159,87,ELK3,2.16e-08,85,FOS::JUN,0.0002,130,MNT,0.00177,85,SP5,8.1e-06,12,KLF7,1.38e-17
130,MLXIPL,0.000207,136,ZNF610,0.00199,94,ELK1,6.31e-08,107,POU1F1,0.000665,146,IKZF2,0.0025,87,FOXE1,1.05e-05,14,KLF15,2.44e-17
138,SIX2,0.000269,142,IRF5,0.00217,105,Thap11,6.05e-07,110,USF1,0.000752,151,EHF,0.00305,88,ETV6,1.3e-05,16,KLF11,1.62e-16
143,Arntl,0.000324,144,ISL2,0.00239,106,E2F6,7.35e-07,111,JDP2,0.000752,183,Wt1,0.00719,91,NR5A1,2.01e-05,17,SP9,1.06e-15
147,Foxl2,0.000422,150,POU6F1,0.00298,116,ETV3,1.34e-06,119,ZNF93,0.00109,186,KLF13,0.00841,93,FOSL2::JUN,2.12e-05,19,KLF16,2.43e-15
150,CTCF,0.000472,158,IRF4,0.00351,124,ETV2::FOXI1,2.58e-06,134,ZNF143,0.0019,,,,106,ZBTB11,6.02e-05,20,KLF1,1.74e-14
151,FOXS1,0.000485,159,FOXG1,0.00363,146,ETS1,8.44e-06,157,FOXO6,0.00349,,,,107,SOHLH2,6.33e-05,21,KLF14,2.53e-14
154,FOXN3,0.000553,165,MYC,0.0041,150,POU4F1,1.11e-05,160,POU4F2,0.00382,,,,108,POU3F3,6.48e-05,22,SP4,1.25e-13
160,HOXC10,0.000631,175,Nr1H2,0.00595,162,SREBF1,2.62e-05,162,HIF1A,0.00399,,,,117,Foxf1,0.000106,24,ZNF148,4.1e-13
168,HES7,0.000712,178,PAX3,0.00664,167,CTCF,4.28e-05,163,ZNF449,0.00401,,,,118,USF2,0.000115,25,SP2,4.49e-13
171,FOXL1,0.000808,187,CDX4,0.00841,170,POU4F3,5.47e-05,167,CREB3,0.00437,,,,120,Npas4,0.000125,26,PATZ1,9.52e-13
180,CREB1,0.00111,193,RORA,0.00972,177,ETV4,6.39e-05,171,ZBTB17,0.00498,,,,121,Elf5,0.000131,27,KLF10,6.05e-12
182,HNF4G,0.00112,,,,179,MSX2,7.47e-05,172,MEF2D,0.00498,,,,122,ARNT2,0.000132,28,KLF4,8.57e-12
196,HMBOX1,0.00171,,,,182,HOXB2::ELK1,8.1e-05,177,Stat2,0.00641,,,,127,NR2C2,0.000166,31,SP8,1.45e-10
197,TCFL5,0.00184,,,,188,PHOX2A,0.00011,182,Hmx2,0.00703,,,,131,ZNF175,0.000209,32,KLF9,3.83e-10
202,CDX2,0.00199,,,,190,MSX1,0.000113,190,ZNF354A,0.00921,,,,141,ZNF135,0.000298,38,ZNF281,8e-09
203,TP73,0.00209,,,,191,FEV,0.000116,,,,,,,144,FOXP2,0.000355,39,ZNF460,1.15e-08
204,BHLHE40,0.00211,,,,192,ELK1::HOXA1,0.000119,,,,,,,158,FOS,0.000594,41,KLF3,5.48e-07
209,Stat5b,0.00224,,,,193,FLI1,0.000121,,,,,,,159,ELK1::SREBF2,0.00063,43,RREB1,1.17e-06
213,ZNF384,0.0026,,,,203,FOXO1::ELK1,0.000181,,,,,,,161,Arnt,0.000653,46,SP1,1.72e-06
215,HNF4A,0.00267,,,,205,GBX2,0.000194,,,,,,,164,ZFP14,0.000666,50,Creb3l2,2.35e-06
219,Gfi1B,0.00288,,,,206,POU2F2,0.000209,,,,,,,165,HEY2,0.000666,51,KLF6,2.44e-06
221,THRA,0.00298,,,,213,LIN54,0.000267,,,,,,,172,TCF7L1,0.000811,52,EGR3,2.47e-06
223,SIX1,0.00322,,,,219,MYCN,0.00038,,,,,,,174,Nr2f6,0.000896,54,Creb5,2.74e-06
227,EGR2,0.00372,,,,226,ATF2,0.000446,,,,,,,178,ERF,0.000999,62,STAT1::STAT2,1.75e-05
230,FOXP4,0.00377,,,,227,GBX1,0.000458,,,,,,,181,ZBTB7A,0.00112,63,ATF3,2.07e-05
234,Tfcp2l1,0.00382,,,,228,ZNF24,0.00048,,,,,,,184,ZNF76,0.00123,64,FOXC2,2.29e-05
237,HES5,0.00391,,,,231,DBP,0.000528,,,,,,,190,MAZ,0.00141,65,ELK4,2.29e-05
238,ZSCAN4,0.00398,,,,232,LHX6,0.000529,,,,,,,191,Dux,0.00151,66,ETV1,2.61e-05
240,ZNF680,0.00401,,,,235,TEF,0.000557,,,,,,,198,CREB3L4,0.00184,67,CREB3L4,2.62e-05
246,ZNF530,0.0048,,,,239,Msx3,0.000646,,,,,,,206,ZNF213,0.00217,70,ZNF257,4.79e-05
253,FOXI1,0.00537,,,,242,POU2F1::SOX2,0.000718,,,,,,,210,PPARD,0.00225,72,ELF4,6.74e-05
255,PAX5,0.0055,,,,244,MNX1,0.000739,,,,,,,216,EWSR1-FLI1,0.00267,74,EGR4,8.1e-05
258,MEIS1,0.00585,,,,246,TCF3,0.000805,,,,,,,222,JUND,0.00302,79,GABPA,0.00012
265,RARA::RXRG,0.00703,,,,249,PROP1,0.000832,,,,,,,226,Nrf1,0.00367,80,HNF1A,0.000157
267,PBX2,0.0073,,,,254,POU5F1B,0.000906,,,,,,,229,POU3F2,0.00373,87,NFYA,0.000239
268,NR1H2::RXRA,0.00766,,,,257,ZBTB12,0.0011,,,,,,,232,RFX3,0.00381,89,Erg,0.000247
274,HOXD11,0.00826,,,,261,HES1,0.00124,,,,,,,235,FOXD1,0.00387,90,NFYB,0.000282
276,TBX20,0.00851,,,,264,CREB3L1,0.00129,,,,,,,236,IRF3,0.00389,92,NFYC,0.000327
280,MEF2A,0.0088,,,,265,RFX1,0.00131,,,,,,,244,TFEC,0.00439,93,FOXD3,0.000357
285,MYB,0.00956,,,,269,POU3F4,0.00149,,,,,,,245,HES2,0.00451,96,FEZF2,0.000443
286,FOXA2,0.00961,,,,271,TFEB,0.00161,,,,,,,248,BARX2,0.00512,97,KLF2,0.00047
287,CLOCK,0.00967,,,,272,Lhx4,0.00165,,,,,,,249,FOXJ2::ELF1,0.00521,99,FOSL2::JUNB,0.00049
,,,,,,274,ZKSCAN3,0.00172,,,,,,,250,ZBTB24,0.00524,101,JUN::JUNB,0.0005
,,,,,,278,TCF12,0.00191,,,,,,,251,ETV5,0.00525,102,FOXC1,0.000521
,,,,,,279,PROX1,0.00199,,,,,,,252,HEY1,0.00533,103,FOSL2::JUND,0.000566
,,,,,,280,LHX5,0.00221,,,,,,,260,ONECUT3,0.00612,112,HNF1B,0.000756
,,,,,,281,ESRRA,0.00227,,,,,,,261,Hmga1,0.00652,113,FOSB::JUNB,0.000771
,,,,,,283,EN1,0.00234,,,,,,,269,ZNF558,0.00808,114,JUNB,0.000782
,,,,,,284,ZKSCAN5,0.00235,,,,,,,270,ETV7,0.00812,118,EGR1,0.00108
,,,,,,287,IKZF1,0.0024,,,,,,,278,Npas2,0.00865,120,XBP1,0.00115
,,,,,,291,ELK1::HOXB13,0.0026,,,,,,,281,BACH2,0.00901,129,Lhx3,0.0016
,,,,,,292,ETV2,0.0026,,,,,,,284,RXRG,0.00945,131,Ikzf3,0.00182
,,,,,,294,Alx1,0.00287,,,,,,,,,,139,Foxj3,0.0021
,,,,,,297,HOXB1,0.00294,,,,,,,,,,140,ZBED4,0.00214
,,,,,,298,SPIC,0.00299,,,,,,,,,,141,SPIB,0.00214
,,,,,,299,CUX2,0.00301,,,,,,,,,,145,FOSL1::JUN,0.00241
,,,,,,300,RFX2,0.00309,,,,,,,,,,147,ELF2,0.0025
,,,,,,302,MAX,0.00349,,,,,,,,,,156,Foxj2,0.00337
,,,,,,303,RAX,0.00354,,,,,,,,,,161,JUN,0.00385
,,,,,,304,HOXA1,0.00371,,,,,,,,,,166,SREBF2,0.00421
,,,,,,305,Pou5f1::Sox2,0.00374,,,,,,,,,,168,FOSB::JUN,0.00437
