	peak	chr	chromStart	chromEnd	Name	Start_b	End_b	gene	Strand	Distance	CV_amplitude	CV_phase	CV_mean	CV_pvalue	CV_qvalue	CV_fdr_BH	GF_amplitude	GF_phase	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH	rAMP
2	chr1_4855961_4859931	chr1	4855961	4859931	7	4855694	4857694	Tcea1	+	0	62.6408230098	11.4720833929	129.0272404	0.0182297276787	0.00112030267104	0.0339085331416	85.35121128	0.465708587955	388.566760592	0.0732348810481	0.00303100579363	0.271815973754	0.4854852573426037
3	chr1_5082507_5084687	chr1	5082507	5084687	8	5081173	5083173	Atp6v1h	+	0	47.665297001	10.6999076771	86.8242827095	0.00780415156082	0.0007150545743	0.0216427688316	59.9361700152	2.1214509047	272.175974225	0.285308914058	0.00400980721566	0.359593391469	0.5489857850076386
4	chr1_6211969_6217033	chr1	6211969	6217033	9	6212662	6214662	Rb1cc1	+	0	143.804559311	11.287286472	255.993447541	0.00619135066715	0.000649662469829	0.0196635266152	86.0279614174	1.01415459352	660.824893506	0.0539913956422	0.00303100579363	0.271815973754	0.5617509381288683
5	chr1_7087748_7091089	chr1	7087748	7091089	10	7086920	7088920	Pcmtd1	+	0	56.1727926837	10.9557031435	116.653390958	0.0113056220491	0.00085452217837	0.0258640761595	59.2624754102	0.328419400607	327.929637533	0.121177594525	0.0030697380793	0.275289426021	0.48153587497447464
6	chr1_9544502_9549581	chr1	9544502	9549581	13	9543408	9545408	Rrs1	+	0	67.6748051686	12.0306577482	153.391602165	0.0131423332184	0.000925118654165	0.028000840626	71.7991783555	1.02083621479	363.596290909	0.0555378323713	0.00303100579363	0.271815973754	0.4411897666718657
12	chr1_10229923_10234443	chr1	10229923	10234443	21	10232670	10234670	Arfgef1	-	0	146.499085463	11.3185158379	258.92608505	0.0085176259629	0.000744807982519	0.0225433240608	131.912462739	0.683674843014	647.277340119	0.0149079785935	0.0028555817609	0.256084214225	0.5657950045269107
14	chr1_13371129_13375229	chr1	13371129	13375229	23	13374083	13376083	Ncoa2	-	0	180.171684157	11.4275247905	329.047553736	0.0177624579592	0.00110136976498	0.0333354852597	133.302741346	0.193512313881	776.766269408	0.161823653046	0.00313312700015	0.280974047701	0.5475551546010111
15	chr1_13586938_13590760	chr1	13586938	13590760	25	13589864	13591864	Tram1	-	0	114.498593907	10.8644784283	197.944405904	0.00650593019697	0.000662136416276	0.0200410792511	40.5727964541	0.429370914947	466.997046005	0.0878852601348	0.00304455700197	0.273031225437	0.5784381396589204
17	chr1_13667604_13670153	chr1	13667604	13670153	27	13666771	13668771	Xkr9	+	0	27.0334922559	9.54176604239	48.4912861769	0.00220725740299	0.000436379848213	0.0132080382632	56.3368215416	3.08139749634	244.785916123	0.420982840208	0.0050629829429	0.454040583367	0.5574917554729258
18	chr1_15804909_15806977	chr1	15804909	15806977	28	15803658	15805658	Terf1	+	0	63.3036326361	10.5413776364	107.951255836	0.00641845342848	0.000658139678477	0.019920108803	47.7287089598	0.645745214238	243.316322574	0.0238935382336	0.0029624061684	0.265664064058	0.5864094136363837
