peak,chr,chromStart,chromEnd,CV_amplitude,CV_phase,CV_mean,CV_pvalue,CV_qvalue,CV_fdr_BH,GF_amplitude,GF_phase,GF_mean,GF_pvalue,GF_qvalue,GF_fdr_BH
chr1_4536689_4539694,chr1,4536689,4539694,4.93377025838,8.58668409745,39.8253006546,0.418773951035,0.0145580114484,0.440631649316,25.2013714906,1.16937425742,113.564229913,0.0802345893182,0.00303460222973,0.272138496655
chr1_4571028_4572577,chr1,4571028,4572577,12.7042460702,11.2853662244,32.5806822861,0.000127595512992,0.00013198085953,0.00399470381097,19.6988225751,19.7984371842,102.917914375,0.301255077431,0.00411639189157,0.369151742538
chr1_4774286_4777435,chr1,4774286,4777435,9.32887016153,8.81241891751,31.8391504097,0.00180939771552,0.00040783328116,0.0123440108534,14.8588969793,0.916019139317,89.5479375763,0.0312402087624,0.0029998021339,0.269017677172
chr1_4783493_4786944,chr1,4783493,4786944,52.605422381,10.4718240632,109.151861688,0.0293062640005,0.00152128933755,0.0460453154793,74.2572685814,0.933137986395,355.239153017,0.0352133468391,0.0029998021339,0.269017677172
chr1_4800555_4802981,chr1,4800555,4802981,1.74849220921,3.79515071831,26.0678578869,0.448282582226,0.015506283789,0.469333289437,11.4398949505,21.2074434906,64.61810924,0.670809230202,0.00784940797909,0.703922928064
chr1_4806713_4811238,chr1,4806713,4811238,108.759644847,10.8685175807,205.718644934,0.00473792749791,0.000583131705808,0.0176498202526,88.1605546006,20.3942611281,565.18338908,0.188223763766,0.00342417589353,0.307074868271
chr1_4855961_4859931,chr1,4855961,4859931,62.6408230098,11.4720833929,129.0272404,0.0182297276787,0.00112030267104,0.0339085331416,85.35121128,0.465708587955,388.566760592,0.0732348810481,0.00303100579363,0.271815973754
chr1_5082507_5084687,chr1,5082507,5084687,47.665297001,10.6999076771,86.8242827095,0.00780415156082,0.0007150545743,0.0216427688316,59.9361700152,2.1214509047,272.175974225,0.285308914058,0.00400980721566,0.359593391469
chr1_6211969_6217033,chr1,6211969,6217033,143.804559311,11.287286472,255.993447541,0.00619135066715,0.000649662469829,0.0196635266152,86.0279614174,1.01415459352,660.824893506,0.0539913956422,0.00303100579363,0.271815973754
chr1_7087748_7091089,chr1,7087748,7091089,56.1727926837,10.9557031435,116.653390958,0.0113056220491,0.00085452217837,0.0258640761595,59.2624754102,0.328419400607,327.929637533,0.121177594525,0.0030697380793,0.275289426021
