chr	chromStart	chromEnd	name
chr1	4536689	4539694	1
chr1	4571028	4572577	2
chr1	4774286	4777435	3
chr1	4783493	4786944	4
chr1	4800555	4802981	5
chr1	4806713	4811238	6
chr1	4855961	4859931	7
chr1	5082507	5084687	8
chr1	6211969	6217033	9
chr1	7087748	7091089	10
chr1	7396573	7399084	11
chr1	9236766	9239286	12
chr1	9544502	9549581	13
chr1	9699210	9701658	14
chr1	9742202	9749359	15
chr1	9797348	9800531	16
chr1	9847962	9849652	17
chr1	9942270	9945022	18
chr1	9966836	9968882	19
chr1	10036444	10041820	20
chr1	10229923	10234443	21
chr1	12657471	12657698	22
chr1	13371129	13375229	23
chr1	13426024	13427408	24
chr1	13586938	13590760	25
chr1	13658677	13661489	26
chr1	13667604	13670153	27
chr1	15804909	15806977	28
chr1	16101964	16107932	29
chr1	16171572	16173345	30
chr1	16517762	16520614	31
chr1	16617217	16620001	32
chr1	16655381	16658059	33
chr1	16664566	16667690	34
chr1	16687514	16689878	35
chr1	19176063	19176521	36
chr1	20818399	20820890	37
chr1	20890091	20891906	38
chr1	21071874	21073250	39
chr1	21077871	21080257	40
chr1	21165693	21167342	41
chr1	21217864	21220149	42
chr1	21227482	21231013	43
chr1	21267610	21272862	44
chr1	22555824	22556067	45
chr1	23255677	23258272	46
chr1	23919346	23922990	47
chr1	24004419	24006332	48
chr1	24096255	24101740	49
chr1	24106623	24109835	50
chr1	24611284	24616566	51
chr1	24677538	24680512	52
chr1	24683821	24684582	53
chr1	24698639	24701226	54
chr1	26686670	26688547	55
chr1	30871290	30874885	56
chr1	30944881	30951696	57
chr1	31018402	31020508	58
chr1	33528207	33528368	59
chr1	33668876	33671071	60
chr1	33719567	33721026	61
chr1	33756202	33758489	62
chr1	33813132	33815008	63
chr1	34119532	34124780	64
chr1	34432626	34435493	65
chr1	34438447	34440962	66
chr1	34458767	34461044	67
chr1	34801442	34802920	68
chr1	34827667	34829568	69
chr1	34839960	34844242	70
chr1	34848182	34853914	71
chr1	34856727	34859938	72
chr1	36067574	36072876	73
chr1	36086724	36091455	74
chr1	36241124	36245121	75
chr1	36269751	36276855	76
chr1	36307321	36309486	77
chr1	36367117	36369992	78
chr1	36444082	36445592	79
chr1	36470697	36479107	80
chr1	36489848	36494669	81
chr1	36511176	36514068	82
chr1	36546028	36547533	83
chr1	36555921	36558696	84
chr1	36690738	36692994	85
chr1	36707314	36710674	86
chr1	36904065	36906353	87
chr1	36917654	36921453	88
chr1	36925241	36928928	89
chr1	36934892	36940976	90
chr1	36970264	36972179	91
chr1	37028360	37030232	92
chr1	37298571	37302826	93
chr1	37428319	37432490	94
chr1	37499851	37505924	95
chr1	37511209	37513429	96
chr1	37515762	37519160	97
chr1	37522202	37524062	98
chr1	37536919	37542093	99
chr1	37565822	37569682	100
chr1	37582865	37584941	101
chr1	37613319	37617564	102
chr1	37663138	37667614	103
chr1	37676838	37679663	104
chr1	37693358	37695504	105
