peak,chr,chromStart,chromEnd,Name,Start_b,End_b,gene,Strand,Distance,CV_amplitude,CV_phase,CV_mean,CV_pvalue,CV_qvalue,CV_fdr_BH,GF_amplitude,GF_phase,GF_mean,GF_pvalue,GF_qvalue,GF_fdr_BH
chr1_4774286_4777435,chr1,4774286,4777435,3,4785726,4787726,Mrpl15,-,8292,9.32887016153,8.81241891751,31.8391504097,0.00180939771552,0.00040783328116,0.0123440108534,14.8588969793,0.916019139317,89.5479375763,0.0312402087624,0.0029998021339,0.269017677172
chr1_4783493_4786944,chr1,4783493,4786944,4,4785726,4787726,Mrpl15,-,0,52.605422381,10.4718240632,109.151861688,0.0293062640005,0.00152128933755,0.0460453154793,74.2572685814,0.933137986395,355.239153017,0.0352133468391,0.0029998021339,0.269017677172
chr1_4800555_4802981,chr1,4800555,4802981,5,4805893,4807893,Lypla1,+,2913,1.74849220921,3.79515071831,26.0678578869,0.448282582226,0.015506283789,0.469333289437,11.4398949505,21.2074434906,64.61810924,0.670809230202,0.00784940797909,0.703922928064
chr1_4806713_4811238,chr1,4806713,4811238,6,4805893,4807893,Lypla1,+,0,108.759644847,10.8685175807,205.718644934,0.00473792749791,0.000583131705808,0.0176498202526,88.1605546006,20.3942611281,565.18338908,0.188223763766,0.00342417589353,0.307074868271
chr1_4855961_4859931,chr1,4855961,4859931,7,4855694,4857694,Tcea1,+,0,62.6408230098,11.4720833929,129.0272404,0.0182297276787,0.00112030267104,0.0339085331416,85.35121128,0.465708587955,388.566760592,0.0732348810481,0.00303100579363,0.271815973754
chr1_5082507_5084687,chr1,5082507,5084687,8,5081173,5083173,Atp6v1h,+,0,47.665297001,10.6999076771,86.8242827095,0.00780415156082,0.0007150545743,0.0216427688316,59.9361700152,2.1214509047,272.175974225,0.285308914058,0.00400980721566,0.359593391469
chr1_6211969_6217033,chr1,6211969,6217033,9,6212662,6214662,Rb1cc1,+,0,143.804559311,11.287286472,255.993447541,0.00619135066715,0.000649662469829,0.0196635266152,86.0279614174,1.01415459352,660.824893506,0.0539913956422,0.00303100579363,0.271815973754
chr1_7087748_7091089,chr1,7087748,7091089,10,7086920,7088920,Pcmtd1,+,0,56.1727926837,10.9557031435,116.653390958,0.0113056220491,0.00085452217837,0.0258640761595,59.2624754102,0.328419400607,327.929637533,0.121177594525,0.0030697380793,0.275289426021
chr1_9544502_9549581,chr1,9544502,9549581,13,9543408,9545408,Rrs1,+,0,67.6748051686,12.0306577482,153.391602165,0.0131423332184,0.000925118654165,0.028000840626,71.7991783555,1.02083621479,363.596290909,0.0555378323713,0.00303100579363,0.271815973754
chr1_9699210_9701658,chr1,9699210,9701658,14,9700209,9702209,Mybl1,-,0,17.9042191516,11.0034074965,56.3247951467,0.0333892014072,0.00167174954964,0.0505993393337,37.7070249963,0.335579754742,144.583285873,0.114461971058,0.00306567600694,0.274925145572
