Chromosome,Start,End,Name,Start_b,End_b,Name_b,Strand,Distance
chr1,4536689,4539694,1,4496413,4498413,Sox17,-,38277
chr1,4571028,4572577,2,4496413,4498413,Sox17,-,72616
chr1,4774286,4777435,3,4785726,4787726,Mrpl15,-,8292
chr1,4783493,4786944,4,4785726,4787726,Mrpl15,-,0
chr1,4800555,4802981,5,4805893,4807893,Lypla1,+,2913
chr1,4806713,4811238,6,4805893,4807893,Lypla1,+,0
chr1,4855961,4859931,7,4855694,4857694,Tcea1,+,0
chr1,5082507,5084687,8,5081173,5083173,Atp6v1h,+,0
chr1,6211969,6217033,9,6212662,6214662,Rb1cc1,+,0
chr1,7087748,7091089,10,7086920,7088920,Pcmtd1,+,0
chr1,7396573,7399084,11,7086920,7088920,Pcmtd1,+,307654
chr1,9236766,9239286,12,9299730,9301730,Sntg1,-,60445
chr1,9544502,9549581,13,9543408,9545408,Rrs1,+,0
chr1,9699210,9701658,14,9700209,9702209,Mybl1,-,0
chr1,9742202,9749359,15,9745648,9747648,1700034P13Rik,+,0
chr1,9797348,9800531,16,9796130,9798130,Sgk3,+,0
chr1,9847962,9849652,17,9796130,9798130,Sgk3,+,49833
chr1,9942270,9945022,18,9942543,9944543,Snord87,-,0
chr1,9966836,9968882,19,9944118,9946118,Snhg6,-,20719
chr1,10036444,10041820,20,10036218,10038218,Cspp1,+,0
chr1,10229923,10234443,21,10232670,10234670,Arfgef1,-,0
chr1,12657471,12657698,22,12665563,12667563,4932411L15,+,7866
chr1,13371129,13375229,23,13374083,13376083,Ncoa2,-,0
chr1,13426024,13427408,24,13374083,13376083,Ncoa2,-,49942
chr1,13586938,13590760,25,13589864,13591864,Tram1,-,0
chr1,13658677,13661489,26,13660509,13662509,Lactb2,-,0
chr1,13667604,13670153,27,13666771,13668771,Xkr9,+,0
chr1,15804909,15806977,28,15803658,15805658,Terf1,+,0
chr1,16101964,16107932,29,16103882,16105882,Rdh10,+,0
chr1,16171572,16173345,30,16104433,16106433,Rpl7,-,65140
chr1,16517762,16520614,31,16519302,16521302,Stau2,-,0
chr1,16617217,16620001,32,16619286,16621286,Ube2w,-,0
chr1,16655381,16658059,33,16655552,16657552,D030040B21Rik,+,0
chr1,16664566,16667690,34,16663191,16665191,Tmem70,+,0
chr1,16687514,16689878,35,16686456,16688456,Ly96,+,0
chr1,19176063,19176521,36,19206914,19208914,Tfap2b,+,30394
chr1,20818399,20820890,37,20820213,20822213,Mcm3,-,0
chr1,20890091,20891906,38,20888622,20890622,Paqr8,+,0
chr1,21071874,21073250,39,21079225,21081225,Tram2,-,5976
chr1,21077871,21080257,40,21079225,21081225,Tram2,-,0
chr1,21165693,21167342,41,21216631,21218631,Tmem14a,+,49290
chr1,21217864,21220149,42,21216631,21218631,Tmem14a,+,0
chr1,21227482,21231013,43,21238589,21240589,Gsta3,+,7577
chr1,21267610,21272862,44,21298312,21300312,Gm4956,-,25451
chr1,22555824,22556067,45,22805724,22807724,Rims1,-,249658
chr1,23255677,23258272,46,23270269,23272269,Mir30a,+,11998
chr1,23919346,23922990,47,23922289,23924289,Smap1,-,0
chr1,24004419,24006332,48,24005640,24007640,1110058L19Rik,-,0
chr1,24096255,24101740,49,24100341,24102341,Fam135a,-,0
