peak,chr,chromStart,chromEnd,Name,Start_b,End_b,Name_b,Strand,Distance,CV_amplitude,CV_phase,CV_mean,CV_pvalue,CV_qvalue,CV_fdr_BH,GF_amplitude,GF_phase,GF_mean,GF_pvalue,GF_qvalue,GF_fdr_BH
chr1_4774296_4777042,chr1,4774296,4777042,5,4785726,4787726,Mrpl15,-,8685,13.5444716469,10.9886929225,67.4592506117,0.00223156158824,0.000642056952032,0.0344431309887,15.8915982325,3.56166050719,66.4304828236,0.880761522392,0.541445479813,0.894427172188
chr1_4783354_4786691,chr1,4783354,4786691,6,4785726,4787726,Mrpl15,-,0,23.4833557787,12.6766696241,114.089159414,0.0931009342586,0.00322897711363,0.173218405832,34.0866098786,2.05000410524,116.162148514,0.81999051995,0.541445479813,0.894427172188
chr1_4800415_4804054,chr1,4800415,4804054,7,4805893,4807893,Lypla1,+,1840,10.6918516343,10.1433333955,69.4888530225,0.11755007662,0.00363958110605,0.195245247922,30.7152968834,1.13831521181,90.7899500159,0.728054998264,0.541445479813,0.894427172188
chr1_4806851_4810880,chr1,4806851,4810880,8,4805893,4807893,Lypla1,+,0,43.8534178294,11.7101330925,166.949630562,0.0210676469242,0.00169489167827,0.0909224265878,47.4797206595,1.57961562836,170.67027017,0.780948809612,0.541445479813,0.894427172188
chr1_4856717_4859940,chr1,4856717,4859940,10,4855694,4857694,Tcea1,+,0,26.3470040669,11.9963256924,91.4549607425,0.0144969490243,0.00143755300835,0.0771174993326,33.9711855097,1.69639165388,104.346859715,0.792046956872,0.541445479813,0.894427172188
chr1_5082619_5084238,chr1,5082619,5084238,11,5081173,5083173,Atp6v1h,+,0,15.3274099687,11.1758647717,57.4654633197,0.148037905361,0.00413267274546,0.221697138011,26.101534369,1.65272105283,68.6303148737,0.788018091864,0.541445479813,0.894427172188
chr1_6212000_6216172,chr1,6212000,6216172,12,6212662,6214662,Rb1cc1,+,0,30.6818511267,10.1219239172,175.482119158,0.266459754928,0.00604870656,0.324482729607,58.1391639573,2.25091968408,187.0510207,0.83273061958,0.541445479813,0.894427172188
chr1_7087885_7091293,chr1,7087885,7091293,13,7086920,7088920,Pcmtd1,+,0,26.437203225,12.4936583586,96.733682432,0.0321215558071,0.00204318990057,0.109606877018,37.6852849467,0.959449854147,103.065216735,0.700494999192,0.541445479813,0.894427172188
chr1_9544620_9549089,chr1,9544620,9549089,16,9543408,9545408,Rrs1,+,0,34.3314582048,12.1407463615,108.922969414,0.00388469527582,0.000803086698815,0.0430815681927,41.8771461856,1.16878016848,120.265021562,0.732354882536,0.541445479813,0.894427172188
chr1_9699431_9701343,chr1,9699431,9701343,17,9700209,9702209,Mybl1,-,0,6.13698381372,11.5905258605,34.9265994756,0.00692577775563,0.00103260974993,0.0553943271927,17.3322448361,0.876623768628,39.4333830246,0.686276985975,0.541445479813,0.894427172188
chr1_9742749_9749558,chr1,9742749,9749558,18,9745648,9747648,1700034P13Rik,+,0,47.4944688396,11.5070118862,196.34774919,0.027570354952,0.00191244375266,0.102593002806,72.4810739305,1.6344238581,223.831030211,0.786287610699,0.541445479813,0.894427172188
chr1_9796783_9800021,chr1,9796783,9800021,19,9796130,9798130,Sgk3,+,0,7.01582110297,11.4610820905,50.0173825103,0.00028030924581,0.000257367290239,0.0138064625916,29.9541554486,1.36478777423,86.6454315769,0.757578258451,0.541445479813,0.894427172188
chr1_9942468_9945054,chr1,9942468,9945054,20,9942543,9944543,Snord87,-,0,22.2874944468,14.0752836715,98.1249504535,0.295334224457,0.00650597006584,0.349012620262,25.5621412148,2.36033242239,91.3048011725,0.838875964444,0.541445479813,0.894427172188
chr1_10036533_10041367,chr1,10036533,10041367,21,10036218,10038218,Cspp1,+,0,55.7330441706,10.7293726467,215.569065278,0.0637447469261,0.00272490272871,0.146177346604,74.61495864,1.82603005252,225.372165968,0.803210637452,0.541445479813,0.894427172188
chr1_10230944_10234174,chr1,10230944,10234174,22,10232670,10234670,Arfgef1,-,0,32.6823906948,9.40724514272,147.763156651,0.197810743286,0.00492217661453,0.264050055602,48.6391038407,1.99304130681,167.504997778,0.815999397188,0.541445479813,0.894427172188
chr1_13371299_13374948,chr1,13371299,13374948,25,13374083,13376083,Ncoa2,-,0,47.428723749,8.11191749114,173.184888921,0.241416113811,0.00563303063479,0.302183803794,56.9711769386,1.48623009417,185.743208868,0.771289174227,0.541445479813,0.894427172188
chr1_13587755_13590685,chr1,13587755,13590685,26,13589864,13591864,Tram1,-,0,25.1318418255,10.5400958784,113.079482407,0.134431991124,0.00391404165277,0.20996867788,44.2044782857,1.31298076988,112.129890926,0.751301837874,0.541445479813,0.894427172188
chr1_13658888_13661666,chr1,13658888,13661666,28,13660509,13662509,Lactb2,-,0,35.3095713041,10.4588888474,108.676680466,0.0307839488724,0.00199969976952,0.1072738499,47.7301448208,2.08013713341,144.41694966,0.822030852307,0.541445479813,0.894427172188
chr1_13667781_13670382,chr1,13667781,13670382,29,13666771,13668771,Xkr9,+,0,29.1599922438,13.5219373227,83.1160913435,0.0601059778959,0.00266026845776,0.142710042568,31.2373821906,2.82436777692,95.7786707676,0.859860791298,0.541445479813,0.894427172188
chr1_15805040_15806841,chr1,15805040,15806841,32,15803658,15805658,Terf1,+,0,18.1617342875,9.18844940667,69.4422103662,0.167479603243,0.00444040701662,0.23820553618,19.9249717402,1.93286254503,69.9537558783,0.811584308686,0.541445479813,0.894427172188
chr1_16102805_16107491,chr1,16102805,16107491,33,16103882,16105882,Rdh10,+,0,54.7649037093,11.8705013528,202.396293841,0.180224600341,0.0046350361554,0.248646412024,70.2688872636,1.74933821594,209.18938243,0.796746293463,0.541445479813,0.894427172188
chr1_16518415_16520398,chr1,16518415,16520398,35,16519302,16521302,Stau2,-,0,8.4456043452,9.33642095249,41.2225202258,0.266368551857,0.00604782230636,0.32443529384,16.4133540695,2.43929642975,50.0083291465,0.842998720004,0.541445479813,0.894427172188
chr1_16618007_16619493,chr1,16618007,16619493,36,16619286,16621286,Ube2w,-,0,12.8159738526,12.4666071252,54.7281656244,0.1313434379,0.00385956449788,0.207046252111,19.352433022,1.0829350722,61.332482787,0.719955038099,0.541445479813,0.894427172188
chr1_16655373_16658230,chr1,16655373,16658230,37,16655552,16657552,D030040B21Rik,+,0,25.9534924409,10.5649018087,84.5894800537,0.00528859917408,0.000917763376109,0.0492333960094,25.989817172,2.11062474691,91.4218724358,0.824046844198,0.541445479813,0.894427172188
chr1_16664814_16666487,chr1,16664814,16666487,38,16663191,16665191,Tmem70,+,0,21.6437391862,11.1632094402,72.479763219,8.1300900733e-05,0.000152602197466,0.00818634150732,21.8043089204,1.31764918538,69.9641259451,0.751878420576,0.541445479813,0.894427172188
chr1_16687399_16689747,chr1,16687399,16689747,39,16686456,16688456,Ly96,+,0,17.4145701558,11.7363981908,78.9020122081,0.00511584102174,0.000903842126851,0.0484865909009,33.1130154058,1.22511138402,80.142300973,0.74002574827,0.541445479813,0.894427172188
chr1_20819361_20820264,chr1,20819361,20820264,40,20820213,20822213,Mcm3,-,0,6.15375813808,12.4772771708,26.5589910166,0.121836394316,0.00370692995024,0.198858175179,5.58854091085,3.42634734697,21.2432560402,0.877821446124,0.541445479813,0.894427172188
chr1_21071789_21074314,chr1,21071789,21074314,43,21079225,21081225,Tram2,-,4912,5.37390777986,15.5073461278,38.6567328548,0.637541876565,0.0122609558633,0.657738706062,31.1498396687,3.38668628258,65.2886082092,0.443275033959,0.541445479813,0.894427172188
chr1_21077956_21080251,chr1,21077956,21080251,44,21079225,21081225,Tram2,-,0,9.45722446054,8.66452121439,52.3811075098,0.559231768413,0.0109212616318,0.585870838648,24.9443215882,1.25792990073,70.6813586862,0.744333047057,0.541445479813,0.894427172188
