Chromosome,Start,End,Name,Start_b,End_b,Name_b,Score,Strand,Distance
chr1,3513428,3517132,1,3671498,3673498,Xkr4,.,-,154367
chr1,4536336,4540298,2,4496413,4498413,Sox17,.,-,37924
chr1,4542527,4545662,3,4496413,4498413,Sox17,.,-,44115
chr1,4571130,4572490,4,4496413,4498413,Sox17,.,-,72718
chr1,4774296,4777042,5,4785726,4787726,Mrpl15,.,-,8685
chr1,4783354,4786691,6,4785726,4787726,Mrpl15,.,-,0
chr1,4800415,4804054,7,4805893,4807893,Lypla1,.,+,1840
chr1,4806851,4810880,8,4805893,4807893,Lypla1,.,+,0
chr1,4840870,4842610,9,4855694,4857694,Tcea1,.,+,13085
chr1,4856717,4859940,10,4855694,4857694,Tcea1,.,+,0
chr1,5082619,5084238,11,5081173,5083173,Atp6v1h,.,+,0
chr1,6212000,6216172,12,6212662,6214662,Rb1cc1,.,+,0
chr1,7087885,7091293,13,7086920,7088920,Pcmtd1,.,+,0
chr1,7497612,7499637,14,7086920,7088920,Pcmtd1,.,+,408693
chr1,9236719,9238600,15,9299730,9301730,Sntg1,.,-,61131
chr1,9544620,9549089,16,9543408,9545408,Rrs1,.,+,0
chr1,9699431,9701343,17,9700209,9702209,Mybl1,.,-,0
chr1,9742749,9749558,18,9745648,9747648,1700034P13Rik,.,+,0
chr1,9796783,9800021,19,9796130,9798130,Sgk3,.,+,0
chr1,9942468,9945054,20,9942543,9944543,Snord87,.,-,0
chr1,10036533,10041367,21,10036218,10038218,Cspp1,.,+,0
chr1,10230944,10234174,22,10232670,10234670,Arfgef1,.,-,0
chr1,10253386,10258474,23,10232670,10234670,Arfgef1,.,-,18717
chr1,12644357,12644984,24,12665563,12667563,4932411L15,.,+,20580
chr1,13371299,13374948,25,13374083,13376083,Ncoa2,.,-,0
chr1,13587755,13590685,26,13589864,13591864,Tram1,.,-,0
chr1,13638612,13640955,27,13660509,13662509,Lactb2,.,-,19555
chr1,13658888,13661666,28,13660509,13662509,Lactb2,.,-,0
