peak	gene	CV_amplitude	CV_phase	GF_LAG	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH
chr1_4783493_4786944	Mrpl15	52.60542238	10.47182406	0.933137986	355.239153	0.035213347	0.002999802	0.269017677
chr1_4806713_4811238	Lypla1	108.7596448	10.86851758	20.39426113	565.1833891	0.188223764	0.003424176	0.307074868
chr1_4855961_4859931	Tcea1	62.64082301	11.47208339	0.465708588	388.5667606	0.073234881	0.003031006	0.271815974
chr1_5082507_5084687	Atp6v1h	47.665297	10.69990768	2.121450905	272.1759742	0.285308914	0.004009807	0.359593391
chr1_6211969_6217033	Rb1cc1	143.8045593	11.28728647	1.014154594	660.8248935	0.053991396	0.003031006	0.271815974
chr1_7087748_7091089	Pcmtd1	56.17279268	10.95570314	0.328419401	327.9296375	0.121177595	0.003069738	0.275289426
chr1_9544502_9549581	Rrs1	67.67480517	12.03065775	1.020836215	363.5962909	0.055537832	0.003031006	0.271815974
chr1_9699210_9701658	Mybl1	17.90421915	11.0034075	0.335579755	144.5832859	0.114461971	0.003065676	0.274925146
chr1_9742202_9749359	1700034P13Rik	110.9222044	9.98784256	0.359672758	717.1718239	0.109173106	0.003058811	0.274309525
chr1_9797348_9800531	Sgk3	24.5630747	11.38757621	1.303355401	241.7684454	0.100666372	0.003044557	0.273031225
chr1_9942270_9945022	Snord87	60.11437212	10.03464676	1.824725399	354.9212177	0.170757358	0.003172004	0.284460499
chr1_10036444_10041820	Cspp1	165.7459852	10.50480294	1.387601488	861.913339	0.119170675	0.003065676	0.274925146
chr1_10229923_10234443	Arfgef1	146.4990855	11.31851584	0.683674843	647.2773401	0.014907979	0.002855582	0.256084214
chr1_12657471_12657698	4932411L15	3.710084353	13.55501439	3.56247637	4.024600309	0.880778199	0.009895391	0.887403588
chr1_13371129_13375229	Ncoa2	180.1716842	11.42752479	0.193512314	776.7662694	0.161823653	0.003133127	0.280974048
chr1_13586938_13590760	Tram1	114.4985939	10.86447843	0.429370915	466.997046	0.08788526	0.003044557	0.273031225
chr1_13658677_13661489	Lactb2	89.41972758	11.18919928	1.999729627	390.193574	0.26060438	0.003845216	0.344833136
chr1_13667604_13670153	Xkr9	27.03349226	9.541766042	3.081397496	244.7859161	0.42098284	0.005062983	0.454040583
chr1_15804909_15806977	Terf1	63.30363264	10.54137764	0.645745214	243.3163226	0.023893538	0.002962406	0.265664064
chr1_16101964_16107932	Rdh10	172.1925067	11.10528251	1.359177885	826.6518843	0.112940058	0.003065275	0.274889219
chr1_16517762_16520614	Stau2	51.60096874	12.32675498	0.695666537	198.2361007	0.012066295	0.002819423	0.252841584
chr1_16617217_16620001	Ube2w	49.54083339	10.97057534	1.185588609	270.3563889	0.083894855	0.003039127	0.272544248
chr1_16655381_16658059	D030040B21Rik	48.90287207	10.8548904	1.222808518	283.6463964	0.092284236	0.003044557	0.273031225
chr1_16664566_16667690	Tmem70	58.69367422	10.17652984	0.559461973	292.1509927	0.051565856	0.003031006	0.271815974
chr1_16687514_16689878	Ly96	39.98427873	9.460485221	0.459299542	209.2122141	0.081133175	0.003035693	0.272236308
chr1_20818399_20820890	Mcm3	29.57269816	10.95962701	0.929395779	120.3701443	0.034344945	0.002999802	0.269017677
chr1_20890091_20891906	Paqr8	15.10406445	10.04744558	19.99870919	79.75817212	0.260924732	0.003847137	0.345005389
chr1_21077871_21080257	Tram2	30.57816845	11.76564122	0.366176578	209.6083323	0.107743833	0.003058019	0.274238448
chr1_21217864_21220149	Tmem14a	47.49363671	10.39187073	20.37595888	285.2175226	0.192251994	0.003453252	0.309682342
chr1_21227482_21231013	Gsta3	8.848098324	10.02718294	1.710350011	138.4042756	0.157704852	0.003132851	0.280949289
chr1_23919346_23922990	Smap1	112.1607505	11.3773118	1.604985885	466.1670525	0.18805783	0.00342248	0.306922783
chr1_24004419_24006332	1110058L19Rik	26.01998828	10.72866015	0.19734929	211.9509498	0.161060003	0.003132851	0.280949289
chr1_24096255_24101740	Fam135a	128.9297357	11.13967992	0.286168223	696.7176977	0.134877642	0.003083617	0.276534089
chr1_24677538_24680512	Lmbrd1	83.6706773	10.68974048	1.204190538	445.3066419	0.737218461	0.0085008	0.762338751
chr1_26686670_26688547	4931408C20Rik	3.109662239	18.69146205	7.471430688	54.58586761	0.847366547	0.009590532	0.860064251
chr1_30871290_30874885	Phf3	104.9725335	10.85139687	1.786946935	399.9556156	0.163258877	0.003142954	0.28185528
chr1_30944881_30951696	Gm13363	321.1038604	10.44675038	1.781874408	1136.839644	0.799537046	0.009112538	0.817198516
chr1_33668876_33671071	1700001G17Rik	33.81984109	10.92575231	0.314727473	150.8219868	0.12411427	0.003078792	0.276101353
chr1_33719567_33721026	Rab23	20.60287131	12.53340857	19.84049648	119.9176524	0.292915185	0.004063205	0.364382067
chr1_33756202_33758489	Bag2	25.28288706	13.49260054	18.76295395	96.23428645	0.433021215	0.005158728	0.46262684
chr1_33813132_33815008	Zfp451	46.35667953	11.47751643	1.632798225	233.6487781	0.194175959	0.00346479	0.310717055
chr1_34432626_34435493	Mir5103	21.4851177	10.32259558	0.795977163	160.79956	0.011709162	0.002819423	0.252841584
chr1_34438447_34440962	Imp4	31.06590896	11.56899696	1.799921181	199.7951771	0.230440173	0.003672806	0.329371617
chr1_34458767_34461044	Ptpn18	49.44536905	11.36158052	0.375068569	206.738653	0.100105512	0.003044557	0.273031225
chr1_34801442_34802920	Arhgef4	6.071002506	13.31996507	19.88431375	54.89323558	0.284151662	0.004003129	0.358994506
chr1_34839960_34844242	Fam168b	108.2627412	10.90045698	1.730359038	518.5643459	0.215453927	0.00358347	0.321360114
chr1_34848182_34853914	Plekhb2	116.1369456	11.25113399	0.757024722	722.962125	0.002476859	0.002716355	0.243598609
chr1_36067574_36072876	Hs6st1	111.7123891	11.33013099	0.21448996	476.3540513	0.153879303	0.003124096	0.280164123
chr1_36241124_36245121	Uggt1	58.62979856	10.72973535	19.8800028	383.1901383	0.285017205	0.00400762	0.359397263
chr1_36269751_36276855	Neurl3	157.6633968	10.42375253	1.690590123	859.2953678	0.153683735	0.003121812	0.279959306
chr1_36307321_36309486	Arid5a	25.88093301	11.65958376	0.486574886	167.4908165	0.068419809	0.003031006	0.271815974
chr1_36367117_36369992	4632411B12Rik	82.55879858	10.51134437	0.334300126	374.6137448	0.114742613	0.003065676	0.274925146
chr1_36444082_36445592	Lman2l	20.29612766	11.2746617	1.788511706	114.011145	0.163570009	0.003143883	0.281938669
chr1_36470697_36479107	Cnnm4	340.1510273	10.70981484	0.220924943	1682.214971	0.148499328	0.003108708	0.27878421
chr1_36511176_36514068	Cnnm3	39.26512581	11.76972447	0.270133451	152.360507	0.13823256	0.003088325	0.276956304
chr1_36546028_36547533	Ankrd39	17.55190196	12.70688509	20.14418065	83.5990547	0.242363655	0.003744563	0.335806655
chr1_36555921_36558696	Sema4c	34.45734606	12.20189402	0.404208905	164.3626889	0.093552886	0.003044557	0.273031225
