	peak	chr	chromStart	chromEnd	Name	Start_b	End_b	gene	Strand	Distance	CV_amplitude	CV_phase	CV_mean	CV_pvalue	CV_qvalue	CV_fdr_BH	GF_amplitude	GF_phase	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH	rAMP
4	chr1_6211969_6217033	chr1	6211969	6217033	9	6212662	6214662	Rb1cc1	+	0	143.804559311	11.287286472	255.993447541	0.00619135066715	0.000649662469829	0.0196635266152	86.0279614174	1.01415459352	660.824893506	0.0539913956422	0.00303100579363	0.271815973754	0.5617509381288683
5	chr1_7087748_7091089	chr1	7087748	7091089	10	7086920	7088920	Pcmtd1	+	0	56.1727926837	10.9557031435	116.653390958	0.0113056220491	0.00085452217837	0.0258640761595	59.2624754102	0.328419400607	327.929637533	0.121177594525	0.0030697380793	0.275289426021	0.48153587497447464
11	chr1_10036444_10041820	chr1	10036444	10041820	20	10036218	10038218	Cspp1	+	0	165.745985246	10.5048029364	274.571292078	0.00336329785555	0.000506820692757	0.0153400921925	154.778649428	1.38760148807	861.913339001	0.119170675268	0.00306567600694	0.274925145572	0.6036537323024834
16	chr1_13658677_13661489	chr1	13658677	13661489	26	13660509	13662509	Lactb2	-	0	89.4197275754	11.1891992786	135.490684555	0.000906580361617	0.00031943784884	0.00966852009202	56.7585075971	1.99972962656	390.193574029	0.260604379764	0.0038452163687	0.344833135506	0.6599695607789308
17	chr1_13667604_13670153	chr1	13667604	13670153	27	13666771	13668771	Xkr9	+	0	27.0334922559	9.54176604239	48.4912861769	0.00220725740299	0.000436379848213	0.0132080382632	56.3368215416	3.08139749634	244.785916123	0.420982840208	0.0050629829429	0.454040583367	0.5574917554729258
20	chr1_16517762_16520614	chr1	16517762	16520614	31	16519302	16521302	Stau2	-	0	51.6009687392	12.3267549779	94.4905041968	0.00174755512211	0.000402085266508	0.0121700339895	40.3186638831	0.695666536638	198.236100699	0.0120662954501	0.00281942335592	0.25284158365	0.546096871615037
24	chr1_16687514_16689878	chr1	16687514	16689878	35	16686456	16688456	Ly96	+	0	39.9842787279	9.46048522077	74.9508702492	0.0040032051787	0.000542188773647	0.0164105883843	51.5117493632	0.459299542206	209.212214054	0.0811331753019	0.00303569292063	0.272236308151	0.5334731750940114
25	chr1_20818399_20820890	chr1	20818399	20820890	37	20820213	20822213	Mcm3	-	0	29.5726981587	10.9596270137	56.4501765006	0.0156058442855	0.00101990739989	0.0308698397	18.4219181744	0.929395779006	120.370144262	0.0343449454223	0.0029998021339	0.269017677172	0.5238725543822822
27	chr1_21077871_21080257	chr1	21077871	21080257	40	21079225	21081225	Tram2	-	0	30.5781684506	11.7656412249	75.1930574162	0.00301468202743	0.000486245354233	0.0147173323202	75.5362058387	0.366176578339	209.608332282	0.107743833041	0.00305801867314	0.274238447563	0.4066621241552557
32	chr1_24096255_24101740	chr1	24096255	24101740	49	24100341	24102341	Fam135a	-	0	128.929735719	11.1396799223	240.156660991	0.0055231380648	0.00061983221615	0.0187606454817	152.146349965	0.286168222652	696.717697746	0.13487764204	0.00308361724832	0.276534088717	0.5368567966717014
