	peak	chr	chromStart	chromEnd	Name	Start_b	End_b	gene	Strand	Distance	CV_amplitude	CV_phase	CV_mean	CV_pvalue	CV_qvalue	CV_fdr_BH	GF_amplitude	GF_phase	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH	rAMP
2	chr1_4856717_4859940	chr1	4856717	4859940	10	4855694	4857694	Tcea1	+	0	26.3470040669	11.9963256924	91.4549607425	0.0144969490243	0.00143755300835	0.0771174993326	33.9711855097	1.69639165388	104.346859715	0.792046956872	0.541445479813	0.894427172188	0.28808720547245603
5	chr1_7087885_7091293	chr1	7087885	7091293	13	7086920	7088920	Pcmtd1	+	0	26.437203225	12.4936583586	96.733682432	0.0321215558071	0.00204318990057	0.109606877018	37.6852849467	0.959449854147	103.065216735	0.700494999192	0.541445479813	0.894427172188	0.2732988402833142
6	chr1_9544620_9549089	chr1	9544620	9549089	16	9543408	9545408	Rrs1	+	0	34.3314582048	12.1407463615	108.922969414	0.00388469527582	0.000803086698815	0.0430815681927	41.8771461856	1.16878016848	120.265021562	0.732354882536	0.541445479813	0.894427172188	0.3151902522443291
22	chr1_16664814_16666487	chr1	16664814	16666487	38	16663191	16665191	Tmem70	+	0	21.6437391862	11.1632094402	72.479763219	8.1300900733e-05	0.000152602197466	0.00818634150732	21.8043089204	1.31764918538	69.9641259451	0.751878420576	0.541445479813	0.894427172188	0.29861768616438117
30	chr1_24004180_24006281	chr1	24004180	24006281	52	24005640	24007640	1110058L19Rik	-	0	21.3982599157	10.2416393489	60.9690332577	0.00624357993261	0.000985623905187	0.0528737725906	18.378865563	1.85822832541	67.7787213605	0.805809345499	0.541445479813	0.894427172188	0.3509693162634744
31	chr1_24095942_24103381	chr1	24095942	24103381	53	24100341	24102341	Fam135a	-	0	54.2953663963	11.9036094571	223.024818878	0.0364357061289	0.00215161390765	0.115423280479	104.775716987	1.25905856197	280.424483595	0.744479116337	0.541445479813	0.894427172188	0.24344988449918162
34	chr1_30872165_30874653	chr1	30872165	30874653	65	30863256	30865256	Phf3	-	6910	27.7759270256	9.89769077104	92.1020846625	0.0178253977089	0.00157862706643	0.0846854140578	34.7668805832	1.61738132028	96.0519993597	0.784652712638	0.541445479813	0.894427172188	0.3015776149625977
41	chr1_34840256_34844189	chr1	34840256	34844189	80	34843050	34845050	Fam168b	-	0	38.7636118817	9.84228913746	134.492941891	0.0336575910237	0.00208035979889	0.111600855391	48.2485651495	1.85155408805	150.004183778	0.805276109067	0.541445479813	0.894427172188	0.2882204176418122
48	chr1_36444390_36445332	chr1	36444390	36445332	90	36445239	36447239	Lman2l	-	0	8.21692417236	11.7418018655	26.8765202868	0.00821809658608	0.00111274490093	0.0596931755953	11.1888019058	1.73519901014	28.0081015807	0.795510753871	0.541445479813	0.894427172188	0.30572872100543536
59	chr1_37539141_37541550	chr1	37539141	37541550	110	37536259	37538259	Mgat4a	-	883	38.8867127355	12.593947352	111.431540057	0.00552059200595	0.000938373016069	0.0503389996891	37.3318201321	1.50225416418	120.014457797	0.772999090863	0.541445479813	0.894427172188	0.34897402221676627
76	chr1_43097345_43100177	chr1	43097345	43100177	151	43096710	43098710	AI597479	+	0	48.7621140691	12.1764341992	153.810399805	0.0458251280097	0.00237380821936	0.127342889416	54.8271479683	2.80579171554	172.964202088	0.859157757124	0.541445479813	0.894427172188	0.3170274190231632
80	chr1_43932568_43936355	chr1	43932568	43936355	168	43932007	43934007	Tpp2	+	0	42.1889005735	11.0845362903	165.521476173	0.0447737174451	0.00235490203749	0.126328667708	51.552011901	2.62263215639	181.145487208	0.851654127589	0.541445479813	0.894427172188	0.2548847530178195
