peak	chr	chromStart	chromEnd	Name	Start_b	End_b	gene	Strand	Distance	CV_amplitude	CV_phase	CV_mean	CV_pvalue	CV_qvalue	CV_fdr_BH	GF_amplitude	GF_phase	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH
chr1_4783354_4786691	chr1	4783354	4786691	6	4785726	4787726	Mrpl15	-	0	23.48335578	12.67666962	114.0891594	0.093100934	0.003228977	0.173218406	34.08660988	2.050004105	116.1621485	0.81999052	0.54144548	0.894427172
chr1_4806851_4810880	chr1	4806851	4810880	8	4805893	4807893	Lypla1	+	0	43.85341783	11.71013309	166.9496306	0.021067647	0.001694892	0.090922427	47.47972066	1.579615628	170.6702702	0.78094881	0.54144548	0.894427172
chr1_4856717_4859940	chr1	4856717	4859940	10	4855694	4857694	Tcea1	+	0	26.34700407	11.99632569	91.45496074	0.014496949	0.001437553	0.077117499	33.97118551	1.696391654	104.3468597	0.792046957	0.54144548	0.894427172
chr1_5082619_5084238	chr1	5082619	5084238	11	5081173	5083173	Atp6v1h	+	0	15.32740997	11.17586477	57.46546332	0.148037905	0.004132673	0.221697138	26.10153437	1.652721053	68.63031487	0.788018092	0.54144548	0.894427172
chr1_6212000_6216172	chr1	6212000	6216172	12	6212662	6214662	Rb1cc1	+	0	30.68185113	10.12192392	175.4821192	0.266459755	0.006048707	0.32448273	58.13916396	2.250919684	187.0510207	0.83273062	0.54144548	0.894427172
chr1_7087885_7091293	chr1	7087885	7091293	13	7086920	7088920	Pcmtd1	+	0	26.43720323	12.49365836	96.73368243	0.032121556	0.00204319	0.109606877	37.68528495	0.959449854	103.0652167	0.700494999	0.54144548	0.894427172
chr1_9544620_9549089	chr1	9544620	9549089	16	9543408	9545408	Rrs1	+	0	34.3314582	12.14074636	108.9229694	0.003884695	0.000803087	0.043081568	41.87714619	1.168780168	120.2650216	0.732354883	0.54144548	0.894427172
chr1_9699431_9701343	chr1	9699431	9701343	17	9700209	9702209	Mybl1	-	0	6.136983814	11.59052586	34.92659948	0.006925778	0.00103261	0.055394327	17.33224484	0.876623769	39.43338302	0.686276986	0.54144548	0.894427172
chr1_9742749_9749558	chr1	9742749	9749558	18	9745648	9747648	1700034P13Rik	+	0	47.49446884	11.50701189	196.3477492	0.027570355	0.001912444	0.102593003	72.48107393	1.634423858	223.8310302	0.786287611	0.54144548	0.894427172
chr1_9796783_9800021	chr1	9796783	9800021	19	9796130	9798130	Sgk3	+	0	7.015821103	11.46108209	50.01738251	0.000280309	0.000257367	0.013806463	29.95415545	1.364787774	86.64543158	0.757578258	0.54144548	0.894427172
chr1_9942468_9945054	chr1	9942468	9945054	20	9942543	9944543	Snord87	-	0	22.28749445	14.07528367	98.12495045	0.295334224	0.00650597	0.34901262	25.56214121	2.360332422	91.30480117	0.838875964	0.54144548	0.894427172
chr1_10036533_10041367	chr1	10036533	10041367	21	10036218	10038218	Cspp1	+	0	55.73304417	10.72937265	215.5690653	0.063744747	0.002724903	0.146177347	74.61495864	1.826030053	225.372166	0.803210637	0.54144548	0.894427172
chr1_10230944_10234174	chr1	10230944	10234174	22	10232670	10234670	Arfgef1	-	0	32.68239069	9.407245143	147.7631567	0.197810743	0.004922177	0.264050056	48.63910384	1.993041307	167.5049978	0.815999397	0.54144548	0.894427172
chr1_13371299_13374948	chr1	13371299	13374948	25	13374083	13376083	Ncoa2	-	0	47.42872375	8.111917491	173.1848889	0.241416114	0.005633031	0.302183804	56.97117694	1.486230094	185.7432089	0.771289174	0.54144548	0.894427172
chr1_13587755_13590685	chr1	13587755	13590685	26	13589864	13591864	Tram1	-	0	25.13184183	10.54009588	113.0794824	0.134431991	0.003914042	0.209968678	44.20447829	1.31298077	112.1298909	0.751301838	0.54144548	0.894427172
chr1_13658888_13661666	chr1	13658888	13661666	28	13660509	13662509	Lactb2	-	0	35.3095713	10.45888885	108.6766805	0.030783949	0.0019997	0.10727385	47.73014482	2.080137133	144.4169497	0.822030852	0.54144548	0.894427172
chr1_13667781_13670382	chr1	13667781	13670382	29	13666771	13668771	Xkr9	+	0	29.15999224	13.52193732	83.11609134	0.060105978	0.002660268	0.142710043	31.23738219	2.824367777	95.77867077	0.859860791	0.54144548	0.894427172
chr1_15805040_15806841	chr1	15805040	15806841	32	15803658	15805658	Terf1	+	0	18.16173429	9.188449407	69.44221037	0.167479603	0.004440407	0.238205536	19.92497174	1.932862545	69.95375588	0.811584309	0.54144548	0.894427172
chr1_16102805_16107491	chr1	16102805	16107491	33	16103882	16105882	Rdh10	+	0	54.76490371	11.87050135	202.3962938	0.1802246	0.004635036	0.248646412	70.26888726	1.749338216	209.1893824	0.796746293	0.54144548	0.894427172
chr1_16518415_16520398	chr1	16518415	16520398	35	16519302	16521302	Stau2	-	0	8.445604345	9.336420952	41.22252023	0.266368552	0.006047822	0.324435294	16.41335407	2.43929643	50.00832915	0.84299872	0.54144548	0.894427172
chr1_16618007_16619493	chr1	16618007	16619493	36	16619286	16621286	Ube2w	-	0	12.81597385	12.46660713	54.72816562	0.131343438	0.003859564	0.207046252	19.35243302	1.082935072	61.33248279	0.719955038	0.54144548	0.894427172
chr1_16655373_16658230	chr1	16655373	16658230	37	16655552	16657552	D030040B21Rik	+	0	25.95349244	10.56490181	84.58948005	0.005288599	0.000917763	0.049233396	25.98981717	2.110624747	91.42187244	0.824046844	0.54144548	0.894427172
chr1_16664814_16666487	chr1	16664814	16666487	38	16663191	16665191	Tmem70	+	0	21.64373919	11.16320944	72.47976322	8.13009E-05	0.000152602	0.008186342	21.80430892	1.317649185	69.96412595	0.751878421	0.54144548	0.894427172
