	peak	chr	chromStart	chromEnd	Name	Start_b	End_b	gene	Strand	Distance	CV_amplitude	CV_phase	CV_mean	CV_pvalue	CV_qvalue	CV_fdr_BH	GF_amplitude	GF_phase	GF_mean	GF_pvalue	GF_qvalue	GF_fdr_BH	rAMP
9	chr1_9796783_9800021	chr1	9796783	9800021	19	9796130	9798130	Sgk3	+	0	7.01582110297	11.4610820905	50.0173825103	0.00028030924581	0.000257367290239	0.0138064625916	29.9541554486	1.36478777423	86.6454315769	0.757578258451	0.541445479813	0.894427172188	0.1402676579792084
15	chr1_13658888_13661666	chr1	13658888	13661666	28	13660509	13662509	Lactb2	-	0	35.3095713041	10.4588888474	108.676680466	0.0307839488724	0.00199969976952	0.1072738499	47.7301448208	2.08013713341	144.41694966	0.822030852307	0.541445479813	0.894427172188	0.3249047647820524
23	chr1_16687399_16689747	chr1	16687399	16689747	39	16686456	16688456	Ly96	+	0	17.4145701558	11.7363981908	78.9020122081	0.00511584102174	0.000903842126851	0.0484865909009	33.1130154058	1.22511138402	80.142300973	0.74002574827	0.541445479813	0.894427172188	0.22071135663650715
30	chr1_24004180_24006281	chr1	24004180	24006281	52	24005640	24007640	1110058L19Rik	-	0	21.3982599157	10.2416393489	60.9690332577	0.00624357993261	0.000985623905187	0.0528737725906	18.378865563	1.85822832541	67.7787213605	0.805809345499	0.541445479813	0.894427172188	0.3509693162634744
41	chr1_34840256_34844189	chr1	34840256	34844189	80	34843050	34845050	Fam168b	-	0	38.7636118817	9.84228913746	134.492941891	0.0336575910237	0.00208035979889	0.111600855391	48.2485651495	1.85155408805	150.004183778	0.805276109067	0.541445479813	0.894427172188	0.2882204176418122
48	chr1_36444390_36445332	chr1	36444390	36445332	90	36445239	36447239	Lman2l	-	0	8.21692417236	11.7418018655	26.8765202868	0.00821809658608	0.00111274490093	0.0596931755953	11.1888019058	1.73519901014	28.0081015807	0.795510753871	0.541445479813	0.894427172188	0.30572872100543536
87	chr1_51477115_51479727	chr1	51477115	51479727	181	51478399	51480399	Obfc2a	-	0	28.1658986588	11.0352632118	114.699010437	0.00916068572381	0.0011579537264	0.0621184020373	48.0801260085	0.966768319736	119.928011809	0.701704836139	0.541445479813	0.894427172188	0.24556357157301287
88	chr1_51915097_51915838	chr1	51915097	51915838	184	51915974	51917974	Myo1b	-	137	4.26968885717	16.227413307	25.2259714167	0.0344341414847	0.00210031887121	0.112671559385	6.2924622464	1.48275027499	26.5187730275	0.77091489346	0.541445479813	0.894427172188	0.16925765857101532
90	chr1_52227354_52234703	chr1	52227354	52234703	186	52233232	52235232	Gls	-	0	45.1223231035	11.173252505	196.415627791	0.0425937749977	0.00230059337782	0.123415280861	59.0961126714	1.61957563739	222.963292131	0.78486447498	0.541445479813	0.894427172188	0.2297287828416246
98	chr1_53312868_53314873	chr1	53312868	53314873	201	53311663	53313663	Osgepl1	+	0	23.2519257752	11.3789216883	70.327729632	0.00311891391722	0.000736423815811	0.0395054393086	28.7876869097	1.89441862344	81.026356515	0.808652196543	0.541445479813	0.894427172188	0.3306224429093483
